Index,lambda_hom,lambda_sec,lambda_eff,lambda_kin,lambda_div,fraction_kinetic_target,obj_total,obj_homeo,obj_kin,obj_eff,obj_sec,obj_div,obj_hom_w,obj_kin_w,obj_eff_w,obj_sec_w,obj_div_w,toya_pearson_r_squared,toya_r_squared,kin_hom_ratio
25,0.0038363314625091895,9.713205840315158e-7,7.727566299115857e-6,0.000038295405827599436,0.000024413069860260885,1.0,0.0019025393910100372,0.008111406992799797,21.533551479618893,135.05336033801788,3.18576925741164,0.0023369920719885813,0.000031118045851694914,0.0008246360928215098,0.0010436337959304173,3.0944032556987226e-6,5.705315071633307e-8,0.6921555129258522,0.6181162689333553,0.009982298506227602
9481,0.011838118169762938,0.00009505998714062032,0.000016793089361570434,0.00011754107837685262,0.00001756424924930454,1.0,0.0051449650133863845,0.007819028435693542,22.30160720630257,133.16596441339266,2.048512049516834,0.0027328710238375673,0.00009256258259447681,0.0026213549605657916,0.0022362679403138113,0.00019473152908447598,4.8000827828885116e-8,0.6515622895496922,0.587788487243422,0.00992903404842481
1025,0.008080548539805955,1.7055029342329566e-6,0.00001659526060512027,0.00008016898612581204,0.0014058501851016707,1.0,0.0040412081637617135,0.008111282090366642,21.533641534087234,135.05833583879112,3.186239788454262,0.0018294440661465639,0.00006554360865126637,0.0017263302093844493,0.0022413282801385936,5.434141308378539e-6,2.5719242790253e-6,0.6921832502093874,0.6181411507845955,0.009921230685130839
9098,0.04676463173062483,0.00007955514460423078,0.00007823261218259548,0.0004595487762149111,0.000012389164487134377,1.0,0.02109379775890213,0.008111381792898562,21.533558277664028,135.0489219643527,3.1857357985705717,0.006458275445526175,0.00037932578237139664,0.009895720354052973,0.010565229937714804,0.00025344167212615646,8.001263679784484e-8,0.6914804137010684,0.6170882868117133,0.009826844758706089
9645,0.031147864963038212,0.00009737133858398359,0.00007411343002378363,0.0003052713598106271,0.0010334102731897159,1.0,0.01709813236026524,0.009191765576918205,22.232243129469925,132.43756837838325,2.131704572753329,0.0019276093294735288,0.0002863038729617513,0.006786867091773756,0.009815402456531367,0.00020756692771459046,1.9920112837742844e-6,0.6524991288151507,0.5835962841090926,0.009800715399687236
3701,0.005397446377209733,5.655311986546322e-7,0.000012756171102742966,0.000052633822695000987,0.00008255498851070413,1.0,0.0029014464026702745,0.009198322015567376,21.54990368716882,134.4910309255225,3.145317625909939,0.0021290724150054606,0.00004964744983933266,0.0011342538097647917,0.0017155906022702607,1.7787752471303896e-6,1.757655487592329e-7,0.6871725825366218,0.6127520934837838,0.009751615674635122
8043,0.023623749054123813,3.026237547312546e-6,0.00005409741072020967,0.00023011570488186447,0.0000652519621978387,1.0,0.012461370374583738,0.0084541409307175,21.572519954092208,134.71513748497,3.1586798420353936,0.002715583661317165,0.00019971850381546695,0.004964175635314015,0.0072877401227539355,9.55891553790677e-6,1.7719716241333606e-7,0.6885477956848022,0.6140151074484069,0.00974086307616339
1929,0.020774737245118864,0.000011161315067624822,0.00003936681293579909,0.00020087510803660632,0.0031629958034316377,1.0,0.009852247716160731,0.00811128208946195,21.533641534087234,135.0583358387911,3.1862397884542544,0.001829444066146556,0.0001685097541296107,0.004325572569581326,0.0053168162423860195,0.0000355626261599402,5.7865239038344685e-6,0.6921832502093884,0.6181411507845957,0.009669200898500076
5027,0.009253755131104362,0.000021266855859128955,0.000016906616784439813,0.00008831480256803161,0.00025044404066865985,1.0,0.0043283376098533135,0.008111409142185428,21.55079657572741,134.97702449279956,3.175513376521897,0.0019335978285660034,0.00007506099396998525,0.001903254344769178,0.0022820048278037086,0.00006753318525722707,4.842580532142165e-7,0.6909562853031259,0.6167687214910418,0.009543671873397837
2176,0.017387003164662584,0.000025892799345171253,0.0000388882635093252,0.00016568132884263643,0.00020807348631637408,1.0,0.009042198322352538,0.008454084343977833,21.598977535283666,134.6143681700126,3.1393209608064137,0.0021867378417924003,0.00014699119124306697,0.00357854729968805,0.005234919021536768,0.0000812858077182507,4.550021664016884e-7,0.6873402474859693,0.6126347276240092,0.009529033110166325
6795,0.046405421457157925,0.00007452954497689231,0.00008902614804695707,0.0004417148788862386,0.0005208743288062096,1.0,0.022149804879221163,0.008111541957534494,21.550697210262243,134.97525637513044,3.1753408932615406,0.00218455615258787,0.000376419523206808,0.009519263608144986,0.01201632715672835,0.0002366567119213014,1.1378792197186825e-6,0.6909457814394798,0.616759239642342,0.009518605046913223
839,0.03497431004048239,0.00007292213917772302,0.00007625243637885594,0.0003327805268885632,0.0014924304200426858,1.0,0.017976253495310988,0.008448278711828657,22.13699675322323,132.99310014220364,2.3335137520495524,0.0018805640846417334,0.0002954727189759026,0.007366761443268039,0.0101410479074202,0.00017016481460008811,2.806611046759051e-6,0.6766814586816786,0.6120681705120625,0.00951499905225788
2539,0.033822365594599994,0.0000884800392126464,0.00006229070542418922,0.0003214476159267787,0.000982974919016199,1.0,0.015891376578190848,0.008110770280619104,21.635365450092692,134.7215203331025,3.035983584077916,0.0019247825107910454,0.0002743254376849157,0.006954636643636893,0.008391898537368206,0.0002686239465681648,1.892012932668624e-6,0.696793896397581,0.6229064561514019,0.009503995663097566
3232,0.0358849898340113,0.00007193683412560498,0.00007383582373438569,0.0003402529346691287,0.001042146069184786,1.0,0.017819672139590542,0.008453582856195758,21.647842805257113,134.49085055210242,3.0348332578101105,0.001932866352652111,0.00030335673485555695,0.007365742043744716,0.009930242735252642,0.0002183162966659553,2.014329071675932e-6,0.6938643530521469,0.6193687964518508,0.009481762047112012
6200,0.03294276439891833,0.00003360445049210729,0.00007558548520860293,0.000312192765774467,0.000055139223949768074,1.0,0.017301807584075693,0.008980137032183654,21.584266352661587,134.44421197040248,3.1287767627285428,0.0064095317971458446,0.0002958305385212278,0.006738451809850187,0.010162030995271134,0.00010514082382396702,3.5341660917598415e-7,0.6863420121377518,0.6117292584115611,0.009476823559613528
7057,0.002636835301828427,1.2567836861933734e-7,5.3793958805203645e-6,0.000024935759363764483,0.00597440122894748,1.0,0.0012962016851878566,0.008111151892050701,21.533634645574118,135.05880244491752,3.1862887331528302,0.0018279938528559178,0.000021387771647451727,0.0005369575317492581,0.0007265347655002031,4.004475699328228e-7,0.000010921168721010834,0.6921867184578083,0.6181437931362708,0.009456699607470212
8711,0.0024760869781316783,2.7853484630989086e-7,5.620486394634758e-6,0.00002340483692629101,0.00022397100517641675,1.0,0.0012843214331232633,0.008454321616702194,21.572629254802486,134.7197950867013,3.159095639570716,0.0018450338590209727,0.00002093363566405346,0.000504903869779987,0.0007571907753727873,8.799182184460758e-7,4.132340879894504e-7,0.6885705037859385,0.6140378925638111,0.009452348456656818
4534,0.03232038703849165,6.914733323637485e-6,0.00007825012645775332,0.0003054643374883708,0.005479615484587482,1.0,0.01743602293767113,0.009198697275390263,21.576735836742635,134.39140603916437,3.1262304549607776,0.0018308942794371947,0.00029730545619053195,0.006590923317532176,0.010516144517399885,0.000021617049904287666,0.000010032596644246694,0.6859971737857455,0.611384321227765,0.009451134886614476
1686,0.032257062147730414,0.0000200126235562132,0.000058500847965518534,0.00030401747695435086,0.000039540789168996804,1.0,0.014772713526513182,0.008111381751721766,21.533552227555454,135.04898200661765,3.18574379740327,0.006396117324207386,0.0002616493452692554,0.006546576218086151,0.007900479964267187,0.00006375509136397277,2.5290752661665225e-7,0.6914808474439871,0.6170890564589038,0.009424834647433673
9968,0.0034590726257948553,4.378404377037004e-7,9.210117665951608e-6,0.000032545618655389546,0.0011650360842123855,1.0,0.001975281657983793,0.009198676357876055,21.58736833942706,134.3513797694359,3.1197913657808334,0.0018287189595012337,0.00003181888958307538,0.0007025742577484229,0.001237392016259455,1.3659708171377054e-6,2.130523575702265e-6,0.6863237087316864,0.6122046244302031,0.009408769972822105
