lambda_hom,lambda_sec,lambda_eff,lambda_kin,lambda_div,fraction_kinetic_target,obj_total,obj_homeo,obj_kin,obj_eff,obj_sec,obj_div,obj_hom_w,obj_kin_w,obj_eff_w,obj_sec_w,obj_div_w,toya_pearson_r_squared,toya_r_squared
0.2098302729986613,0.000016684694685956225,0.00005376878858877935,0.00029679651937338647,0.0014527308525193996,1.0,0.014495287306732265,0.0007162325551332241,18.620736473386213,161.61503226323703,7.545436640634127,0.0018533725854421664,0.00015028727257413317,0.0055265697734700955,0.008689844502530745,0.0001258933066212076,2.692451536085482e-6,0.7460374698480391,-0.6213017471207434
0.020731719263694524,0.00009714476387982137,6.116279588979752e-6,0.00003658981814343724,0.0013605461709955515,1.0,0.0019337724310080043,0.0014422241687815078,25.068837318324018,133.9812484377372,1.6948999408467293,0.0018308942794372004,0.000029899786582493407,0.0009172641985448887,0.0008194667751257574,0.0001646506545534787,2.4910162013859423e-6,0.6259571774954044,0.5281817335480636
0.3765249501831184,1.3271864108631838e-7,0.0001,0.0035965590736467823,0.00004055879963241085,1.0,0.06623983032942729,0.004198024978000243,10.509978466020737,268.5585529335163,24.869801682129683,0.006281948342528898,0.001580661145709028,0.03779975841579917,0.026855855293351633,3.3006862833384866e-6,2.54788284125785e-7,0.6917906889367859,-37.43979898805732
0.12362436879527075,5.429480828648646e-7,0.000010002419535527485,0.00007954504436669623,0.000012881492515180458,1.0,0.0031536212122344797,0.0001508514449973561,17.90214347972934,170.59183956596573,8.435830404659216,0.0026498163148573205,0.000018648914669652652,0.0014240267973540319,0.0017063311486761861,4.580217945582856e-6,3.4133589026437636e-8,0.7543373620967992,-1.2277570768039792
0.0019166024706981722,6.211868380474991e-6,0.00008628249115475956,1.338947391110854e-6,0.00008154523064222017,1.0,0.0015612111350054353,0.07297831226403398,77.554834335555,15.145912602187813,1.6329527245140816,0.006476415380383485,0.00013987041359263025,0.00010384184310162585,0.0013068270701290315,0.000010143687396219512,5.281207859281934e-7,0.4763173750672994,-0.06442472301603064
0.8450201302139063,1.7602865068203542e-6,0.0001,0.0015569222762518416,0.000029607989261753423,1.0,0.04385639394214686,0.00011857154450530676,14.238106052399004,215.58210241507987,17.14270641590722,0.0063428573007359166,0.0001001953419775383,0.02216762448461618,0.02155821024150799,0.000030176074794304194,1.8779925084902332e-7,0.7012835451157808,-14.27627481527741
0.1920521201812556,8.178405119399363e-6,0.00003470305477480726,0.0001594337208081403,0.00015394494671822537,1.0,0.008688847617053116,0.0004962543939834654,22.234065606055456,144.51853205453702,4.047387802128673,0.0022435896501271225,0.00009530670851378867,0.0035448598082657204,0.005015234533863337,0.000033101177121123676,3.4538928914638176e-7,0.7350549272173169,0.5807159961514838
0.2281355236625611,5.743981062738014e-6,0.0001,0.0008874573714017984,0.008670384503488279,1.0,0.03279777606700985,0.0017830129536355948,17.848760982546533,164.88971564571656,8.032853759149326,0.0018316193860825154,0.0004067685938747862,0.015840014504349728,0.01648897156457166,0.0000461405598722976,0.000015880844341378556,0.7553470063113863,-0.6815813693170234
0.002422930171575036,0.00002311896586245238,0.000011237340222289908,3.5691367711978118e-6,0.00003493124885429862,1.0,0.0005682575447011445,0.02140347960719806,78.21533077244447,18.984080699174555,1.0306295340240663,0.0022768271241712696,0.000051859136516971175,0.0002791612131313313,0.00021333057362403176,0.000023827089013937593,7.953241487264368e-8,0.7637666607903721,0.22941738301639092
0.022446974525094095,1.631957183989949e-7,0.00002514280225913822,0.0001416019101921258,0.00009049442612262586,1.0,0.0065741741468902815,0.007451848804229079,18.34813015908827,151.43578504312924,6.398969526465306,0.002299864417279568,0.00016727146027338302,0.0025981302789806525,0.0038075199982967596,1.044284428884782e-6,2.0812491060156186e-7,0.738870521709242,0.01703065654357827
