lambda_sec,lambda_eff,lambda_kin,lambda_div,obj_total,obj_homeo,obj_kin,obj_eff,obj_sec,obj_div
5.977126013423276e-8,5.7449788667786505e-6,2.0243661706826454e-7,0.004153041201148087,0.0007181081376510867,4.3876132990260044e-11,109.25515495265174,118.56873167484135,8.961132542340904,0.0034385341248540082
0.000027025815702814484,8.817691682301291e-6,8.529659884776986e-10,8.74352824220885e-8,0.0012750288966678737,4.9997247154128753e-11,108.97709418265471,119.34915451887912,8.234747992557207,0.012171505042563759
2.5809784030894954e-6,5.059573254843721e-8,1.256068798683532e-9,2.3512663700905268e-7,0.000027435076825411932,7.948866538770475e-10,109.9573389075243,131.96139428643048,7.988704896549241,0.0034438356127539293
3.942734501355129e-10,6.21540447703823e-8,3.646042811688629e-6,0.0002759979219741719,0.00011007661075772439,5.838180446911897e-10,22.19892397331693,453.12369244215085,64.1875565908754,0.003438511553977195
0.00014863280363205884,1.9709558376745623e-6,6.837695769990776e-8,1.0260656294510475e-6,0.0014251267755586612,2.5362159764207336e-12,108.51479161833896,126.25043146285718,7.864087765202562,0.011134039125993289
6.53469604914104e-6,4.87925640042551e-9,0.00044773544718417933,0.00006945822155796562,0.010141316692594896,1.4088285199772128e-9,22.04555018924364,559.521485576592,40.97379039739222,0.003738885626964787
9.39521674210843e-6,3.1339109989069458e-6,2.007540297615961e-8,4.4251941717423835e-7,0.0004535952770818428,1.2938107454374379e-12,108.9324402851378,119.35105363067524,8.234787244770512,0.011801647236302797
6.463829148405348e-10,4.499385084416648e-8,0.000017349071299403213,5.117772616240378e-9,0.0004028509909267386,1.0738918890771066e-10,22.045559242273004,452.1349214043398,58.16050645728002,0.0037585373782155
2.2171385736940436e-8,2.43725581442394e-10,5.77358527899872e-6,1.0969452754578732e-9,0.00013004020717664546,4.883791211289152e-10,22.154332005205536,4273.757852314605,49.079732333311135,0.0035291573553650705
0.0000729502162455925,3.317747270438374e-6,2.121819103030453e-6,3.758001195210099e-9,0.0012170108341523775,3.4986196096896822e-12,101.80150250698324,126.10701243034904,7.986476915492103,0.011606629721280438
0.000016034901594674467,3.2111705534047436e-9,0.0007153893060197137,0.0000844420363353994,0.016430182984096535,3.154557284535428e-10,22.045547042037608,534.8979366438334,40.97306919337507,0.0037574693311157015
6.385385875901239e-8,6.223236589163045e-9,2.969104047874376e-8,0.001246591121863917,9.615329064370349e-6,7.26986946688038e-11,75.82768731696325,343.38980654940525,14.727864537040759,0.003438518345369843
2.7389775628666104e-9,8.488765146101726e-10,1.899881290003975e-9,1.4516757350168824e-8,7.154848716193861e-7,4.3694741028336413e-10,105.6168841359255,518.0241172538558,27.236426139725356,0.0034384333698103085
3.224702290052317e-7,4.8457528368020445e-9,7.80445828306063e-6,7.553503790347688e-10,0.00018783795397127757,2.2656087789616122e-10,22.079269871028504,494.25588627248476,40.704352862512586,0.003878233391755868
2.533549511473555e-10,9.720233695676859e-7,0.00012700255238326066,0.0038225865562910733,0.003233022689150608,2.496766118833929e-10,22.07254082331882,428.5743359233253,99.17983607994732,0.0034385145550745824
0.00001721364186115289,1.199044652279561e-10,1.9517511681429396e-10,1.6777283388132434e-9,0.0001356005429433633,4.9159481691219164e-11,107.53879787808022,1740.4366136918807,7.864158725162182,0.004131070074500392
9.911083618503525e-7,2.7623116036395586e-6,1.7540001894873347e-7,3.6956153422769073e-9,0.0003551171553578376,1.1479673322227249e-11,109.2540554212761,118.55417065552498,8.546365747419793,0.012087222851087164
6.2505416848627595e-6,3.971835295354775e-6,0.000274890238064472,2.044179588430519e-8,0.008023279200023646,4.379002864165938e-12,22.163258440375564,422.7514829536871,40.27111825603549,0.011846854045729393
1.7492438101984593e-8,9.971322020674334e-9,0.000025608331382105123,1.5797044673658057e-6,0.0005706239980456178,2.0259155938867145e-9,22.045642047910658,521.3099999666381,49.5073036113633,0.0036156823584187576
0.00004468730643393126,1.6828362016496054e-7,6.824450206755821e-7,0.00010760977965637976,0.0004228581899643647,3.3681532565050855e-12,44.245649760889926,242.77418286867652,7.8643714462488585,0.0034426994182725165
1.7035302012190137e-9,9.106066554881566e-9,1.5217664164815773e-8,2.4510273360341794e-9,3.3163339034729618e-6,8.671379126732348e-11,88.73063704038053,211.329682329183,24.41023065638243,0.003442074067348847
1.8928549465622683e-10,0.000022123999077298845,4.395956092116019e-8,6.225942208067485e-7,0.002627692554807283,1.3661267853716826e-11,109.25399113508979,118.55328886288225,49.26424923347183,0.012215413575349986
9.464270547643356e-10,1.3982918496397718e-6,0.000021293128360591563,1.4764805251225892e-9,0.0010228611475617466,4.6609554306495246e-12,24.36052326734719,360.5202492503786,38.93656127023166,0.011694079725096163
2.0950630030493263e-6,4.673254901051773e-9,8.102025795839932e-8,1.474202119204469e-8,0.000023250691194600656,5.809622119272617e-10,50.459980582399645,512.8394110616634,8.002217362771427,0.003443132283902397
5.147727331039335e-6,4.922912158708421e-7,1.1309303296719371e-6,2.788527457475353e-8,0.00020919738306016456,1.6410545473255738e-11,44.907543226311965,238.74616650637267,7.940807289945462,0.011212836907718208
0.0001320661495890183,6.130262103574784e-7,0.000015599784349419467,1.0219297487988383e-9,0.0018581445467176605,6.8770231038903406e-12,42.68418961602101,246.8886606709662,7.88189221914009,0.009601589139829697
1.1515442937019937e-8,1.2089428744042852e-8,4.6976475925707397e-7,2.3116546411948476e-6,0.00002096211245159458,2.781742997725204e-10,31.73439396824063,473.43952344056225,28.01057729033507,0.0034463396153613744
2.206238826830875e-8,2.761019155118775e-7,0.0003503371602420994,0.000039042956076567786,0.007844455487591084,2.361005377308944e-10,22.04554765727343,434.5696838047496,43.01773238499557,0.0037418586604094826
9.344751729697044e-8,1.141823669551089e-10,1.059720054701804e-7,3.5861149376426026e-10,6.292785577949165e-6,3.3044653791776e-10,41.984837192702514,2424.646546003286,16.762185479787025,0.0034453773921308013
6.636316317228262e-10,6.596482928469584e-8,2.95183104297716e-8,0.00015983692699770912,0.000013197435854152888,1.8415727023805532e-10,107.11862899672333,143.60780962790778,19.02979397635084,0.003438487866272625
