gene_id	tpm_mean
EG10001	106.58711803985337
EG10002	347.0112667071616
EG10003	31.76086034807143
EG10004	81.42518214360196
EG10006	96.04224678250053
EG10007	22.231520460922262
EG10008	82.61225592690695
EG10011	43.44935426146628
EG10012	72.07945739216525
EG10013	103.09636022613586
EG10014	11.19211123743824
EG10015	311.9768220729417
EG10016	4.065788899362581
EG10017	123.56546134161108
EG10018	37.17012404369775
EG10020	186.35540809307125
EG10021	72.1075511732838
EG10022	585.3513563650843
EG10023	648.776081178563
EG10024	1378.7464464962752
EG10025	1169.6910990419294
EG10026	116.10112795044006
EG10027	2692.9755353279534
EG10028	311.09055477516415
EG10029	17.50064716141536
EG10030	58.005726304933965
EG10031	15263.155469861958
EG10032	258.2404109002769
EG10033	64.98456737681798
EG10034	180.40525932858148
EG10035	8.928636954694907
EG10036	1.9467655226941443
EG10037	8.70273526743269
EG10039	306.3620089849088
EG10040	49.075399552247646
EG10041	130.9082001646182
EG10042	91.40610726970718
EG10043	67.82805127216841
EG10044	332.80804739062773
EG10045	45.08672198684956
EG10046	144.6879844046534
EG10047	187.1041960646956
EG10048	79.63530426503412
EG10049	7.191118181236895
EG10050	2.351453530320194
EG10051	147.59461977867977
EG10052	1.6091797929027338
EG10053	0.41958226044340236
EG10054	28.47756861858647
EG10055	1.2666440005145343
EG10056	17.945240840654787
EG10057	13.02631908054641
EG10058	7.4487672151160815
EG10059	14.978264570325967
EG10060	14.036149914215407
EG10061	756.6648694414689
EG10062	105.81223700355312
EG10063	16.416813083511443
EG10064	65.83235550559483
EG10065	56.069818295411025
EG10066	45.904980526237246
EG10067	81.08263759294752
EG10068	112.5745496489154
EG10069	31.23450551658503
EG10070	176.39654832395777
EG10071	31.178925559067885
EG10072	17.091573725668756
EG10073	221.0589054896089
EG10074	269.61215554664125
EG10075	155.57452903886627
EG10076	36.20801180251396
EG10077	135.2073396566745
EG10078	164.23438547699516
EG10079	3328.0473383744625
EG10080	27.66060000759747
EG10081	456.0400796208627
EG10082	612.0327657860386
EG10083	154.5276132427027
EG10084	168.75613655886394
EG10085	9.831678248180081
EG10086	9.026475820484018
EG10087	38.56635863575148
EG10088	1936.3828920237613
EG10089	6.583866802598256
EG10090	2.643622996862499
EG10091	366.39756913601923
EG10092	140.8073581171684
EG10093	22.68649213825663
EG10094	342.66935512717123
EG10095	842.7557288981278
EG10096	942.6901877858612
