gene_id	tpm_mean
EG10001	27.705990333333332
EG10002	53.307287
EG10003	10.216092166666668
EG10004	19.530986166666665
EG10006	4.261451999999999
EG10007	7.962658833333333
EG10008	3.359205333333333
EG10011	9.033983166666667
EG10012	20.673035333333335
EG10013	15.150735
EG10014	6.905140499999999
EG10015	189.03118000000003
EG10016	1.7398953333333331
EG10017	65.44841916666667
EG10018	10.095549666666669
EG10020	113.34766066666668
EG10021	28.791056166666664
EG10022	111.4674235
EG10023	189.1876935
EG10024	256.8489691666667
EG10025	250.418459
EG10026	13.055440666666668
EG10027	487.6748801666667
EG10028	98.4457325
EG10029	14.230687833333334
EG10030	110.72575666666668
EG10031	1104.362079666667
EG10032	61.29660833333333
EG10033	22.565758666666667
EG10034	25.198432666666665
EG10035	4.0401359999999995
EG10036	4.1700083333333335
EG10037	7.636651166666667
EG10039	210.21124666666665
EG10040	7.605439833333333
EG10041	119.8488565
EG10042	91.23439533333334
EG10043	98.43766316666668
EG10044	1312.695455
EG10045	8.100509166666667
EG10046	29.50725483333333
EG10047	97.800471
EG10048	38.491256166666666
EG10049	13.367771666666668
EG10050	12.840260333333331
EG10051	16.9065005
EG10052	0.9880621666666668
EG10053	0.1887815
EG10054	23.82688333333333
EG10055	0.864551
EG10056	8.831035166666666
EG10057	6.088408666666666
EG10058	6.196298333333334
EG10059	30.06322916666667
EG10060	13.515322666666668
EG10061	176.4666435
EG10062	50.759175666666664
EG10063	5.196881333333333
EG10064	3.824039833333334
EG10065	2.4835903333333333
EG10066	4.033955166666666
EG10067	15.6659755
EG10068	32.442718166666666
EG10069	27.708254666666665
EG10070	99.1487955
EG10071	7.373372
EG10072	6.425609833333333
EG10073	37.92384466666667
EG10074	115.29539266666666
EG10075	104.1811375
EG10076	39.74957716666667
EG10077	81.08489466666667
EG10078	55.44802166666667
EG10079	2179.1302201666667
EG10080	23.929557666666668
EG10081	224.903517
EG10082	111.720765
EG10083	49.445489333333335
EG10084	39.064818
EG10085	8.489576833333333
EG10086	8.5237665
EG10087	11.378138833333333
EG10088	1165.7571558333332
EG10089	1.7103968333333337
EG10090	0.5923753333333334
EG10091	9.358391
EG10092	48.79371616666666
EG10093	12.854611166666666
EG10094	71.85756383333334
EG10095	116.08342333333331
EG10096	195.91416516666663
EG10097	216.4725065
EG10098	306.386074
EG10099	64.8995515
EG10100	217.5347685
EG10101	336.7412458333333
EG10102	253.9264585
EG10103	304.5811771666667
EG10104	233.01483683333333
EG10105	230.67708216666665
EG10106	10.1931545
EG10107	43.3118455
EG10108	124.4527135
EG10109	4.521516833333334
EG10110	4.969686666666667
EG10111	3.7571255
EG10112	1.3488933333333335
EG10113	271.76357733333333
EG10114	0.6797216666666667
EG10115	0.7586311666666666
EG10116	0.1752768333333333
EG10117	1.5295641666666668
EG10118	0.6831126666666667
EG10119	0.9559006666666666
EG10120	1.107761
EG10121	0.8340155
EG10122	14.681839833333331
EG10123	23.225143000000003
EG10124	17.491049
EG10125	130.51946433333333
EG10126	11.672477833333334
EG10127	12.1437935
EG10128	25.785502499999996
EG10129	38.63246016666667
EG10130	41.12426083333333
EG10131	0.7942888333333333
EG10132	0.4370328333333333
EG10133	8.004758833333334
EG10134	1.5058563333333332
EG10135	3.348070333333333
EG10136	37.69336166666667
EG10137	222.73422516666665
EG10138	2.1148855
EG10139	33.35003066666667
EG10140	23.490529999999996
EG10141	3.534602166666667
EG10142	5.317337333333334
EG10143	12.692046
EG10144	2.954410166666667
EG10145	1.4815759999999998
EG10146	121.3426705
EG10147	122.69808416666667
EG10148	134.6102295
EG10149	766.1284535
EG10150	228.8624363333333
EG10151	319.10508450000003
EG10152	67.95731783333333
EG10153	91.7791715
EG10154	59.5333095
EG10155	3.840078
EG10156	1092.0245188333336
EG10157	44.95710033333333
EG10158	782.1180051666666
EG10159	714.0164066666666
EG10160	14.8519235
EG10161	0.9548431666666666
EG10162	0.7595736666666667
EG10163	34.690377500000004
EG10164	1227.721722
EG10165	2450.5297743333335
EG10166	17952.942242666668
EG10167	12.663822
EG10168	37.111510833333334
EG10169	13.779885833333331
EG10170	190.71793416666665
EG10172	37.1706485
EG10173	1927.6809973333336
EG10174	1502.0228951666668
EG10175	3.1378651666666664
EG10176	1.157976
EG10177	1.0145946666666668
EG10178	27.1301115
EG10179	32.82398633333333
EG10180	46.054065
EG10181	42.820563666666665
EG10182	54.67736
EG10183	239.72713216666668
EG10184	145.62789266666667
EG10185	60.208806
EG10186	104.45412116666668
EG10187	28.23365133333333
EG10188	16.8571845
EG10189	209.29075133333333
EG10190	129.05458433333334
EG10191	63.729642000000005
EG10192	1321.9034005
EG10193	168.0343465
EG10194	144.83900483333335
EG10195	123.5625195
EG10196	13.436275666666669
EG10197	49.38431383333333
EG10198	80.05879233333333
EG10200	4.786658
EG10201	45.07771316666666
EG10202	5.6312446666666665
EG10203	118.72790116666664
EG10204	32.9453935
EG10205	423.239423
EG10206	59.702102333333336
EG10207	381.7807918333333
EG10208	45.678107833333335
EG10209	123.51343866666669
EG10210	2.585491
EG10211	8.380867
EG10212	21.780896166666665
EG10213	38.5102355
EG10214	116.64330866666668
EG10215	2279.8938981666665
EG10216	109.55465483333334
EG10217	103.68892533333332
EG10218	61.12031366666667
EG10219	107.39535116666666
EG10220	204.4527875
EG10221	92.8638635
EG10222	130.6912385
EG10223	35.30593483333333
EG10224	40.148298833333335
EG10225	16.6613795
EG10226	129.283673
EG10227	0.709191
EG10228	0.8232761666666667
EG10229	3.348136
EG10230	239.0557653333333
EG10231	175.03828516666667
EG10232	196.08856733333337
EG10233	209.6056851666667
EG10234	180.1313345
EG10235	62.715673
EG10236	16.6004375
EG10237	59.56240616666667
EG10238	24.939573666666664
EG10239	12.135794666666667
EG10240	18.753187666666665
EG10241	104.395296
EG10242	37.43687383333333
EG10243	50.73290583333333
EG10244	60.17177816666666
EG10245	28.369452999999996
EG10246	25.2529035
EG10247	61.89881833333334
EG10248	232.47860666666665
EG10249	9.957810166666668
EG10250	1.7263311666666663
EG10251	24.927658833333336
EG10252	0.5778631666666666
EG10253	0.6909885
EG10254	27.947245166666665
EG10255	55.60952716666666
EG10256	259.26500816666663
EG10257	22.33880716666667
EG10258	1626.0422530000003
EG10259	1.644046
EG10260	0.7326438333333333
EG10261	0.3161308333333333
EG10262	0.9803573333333334
EG10263	0.3292033333333333
EG10264	1.0245703333333334
EG10265	1134.3888388333332
EG10266	0.0826658333333333
EG10267	2.4195621666666667
EG10268	1.712127
EG10269	16.721073333333333
EG10270	60.43147183333334
EG10271	26.848151333333337
EG10272	20.1860365
EG10273	112.69979566666666
EG10274	97.10638383333333
EG10275	37.3155395
EG10276	18.685934
EG10277	68.85076766666667
EG10278	1.4237955
EG10279	0.4549134999999999
EG10280	2.654730333333333
EG10281	71.2378755
EG10282	2094.98267
EG10283	92.61171766666666
EG10284	56.8555665
EG10285	71.94574466666667
EG10286	0.803754
EG10287	2.326387
EG10288	0.1773901666666666
EG10289	0.356463
EG10290	1.7515536666666665
EG10291	5.562098333333334
EG10292	1.7542118333333334
EG10293	2.065042333333333
EG10294	2.138017
EG10295	0.6905316666666668
EG10296	0.7190085
EG10297	0.1014553333333333
EG10298	0.2573441666666666
EG10299	0.2147716666666666
EG10300	203.71274733333337
EG10301	12.111170166666668
EG10302	4.089082
EG10303	1.778361
EG10304	5.9325415
EG10305	2.8359725
EG10306	2.083734833333333
EG10307	21.233993333333338
EG10308	1520.7470973333336
EG10309	29.590857999999997
EG10310	33.184694
EG10311	8.297824499999999
EG10312	2.6842848333333333
EG10313	11.423482
EG10314	12.759708000000002
EG10315	13.483261
EG10316	258.03259533333335
