lambda_sec,lambda_eff,lambda_kin,lambda_div,obj_total,obj_homeo,obj_kin,obj_eff,obj_sec,obj_div
0.00035311169138214097,1.330841125983663e-6,0.004846898638993078,0.0045545165276858505,0.06714614340462056,0.00014056729287249836,12.067657265332606,275.62448052549996,23.027949295731776,0.0036478114817005114
0.00007546696410796931,8.251332405918757e-6,0.0007812301295464927,0.0015423820910732914,0.013529672804806188,0.00013288417570489247,12.241666798394064,265.3352417698225,21.708433348674607,0.0036248158915781893
0.0005214297905300546,1.8115908328401537e-6,0.008052863230590396,0.0003088228982181243,0.10982713772496056,0.00014043862420908814,12.06764175466725,275.6174596775778,23.0270472867021,0.004326195073541191
0.0002481624443014984,2.0167562908830356e-6,0.0020025767949766295,0.003099916539799685,0.03057328630395584,0.00013601493104938416,12.182591857885932,268.37019457094925,22.115440255909952,0.0036248158915781967
0.00001542960100551973,0.000018389318130993397,0.00017052879790779746,0.00014755767083059437,0.006505075444080939,0.00009679855834335255,19.434223754115273,162.29905472236982,7.064004297590551,0.004190586713668131
0.0008938089586343595,6.107377758191157e-6,0.005890958678759732,0.0035386341866157837,0.0932807671476449,0.00013640215970102087,12.235548299487618,265.5837166497647,21.738650248028808,0.003683658353551915
0.0003328736391557839,0.00006977581217954965,0.000951766427899981,0.0015134582479138506,0.032256635340231,0.00010828997427214867,18.986432794600795,165.8366182550031,7.512266314797412,0.003750279943058266
0.0003733607072503032,4.348234817361244e-6,0.00019198970263324935,0.00016653312696078744,0.0060656182542119935,0.00007795035430357148,23.852223394489425,142.72846246090464,2.1076886089842204,0.0044534301216817935
0.000018039615030067847,0.000028337416717822243,0.00020201344165808504,0.00014421522975327503,0.008746422693946957,0.00009634525928284659,19.628452183362697,160.93459691559968,6.8601917326107245,0.00443988947703276
0.00007957412573105527,8.359857224364547e-6,0.002371744325685415,0.003174480523473066,0.03290750205061873,0.00013758556793279283,12.06870032190971,275.3759071526782,23.028023050065965,0.0036248158915781568
0.00005515641726960958,0.00002088827624077591,0.00012437841365994855,0.0003853645961016733,0.006127237012349761,0.00007758060866286182,23.77603962658105,141.75006132523086,2.3578148297127735,0.003807446587091464
0.0007137234690401974,0.000015826712506308796,0.0003742721653729113,0.006006254100868838,0.012790038298434944,0.00007815027276090383,23.8664739615375,142.241972704747,2.110776412031921,0.0035958626489297632
0.00019396806804067654,8.822018121112349e-6,0.0001903597741833247,0.0033430744011718008,0.006296999754815304,0.00007817963276288544,23.85238920268526,142.34211538135196,2.116072160130345,0.0036162969227804716
0.00044210276038027994,0.00007945517513228743,0.0007623507979948192,0.002491038784792474,0.030496421473057502,0.00007977330992778085,23.807277690266545,141.84928107192445,2.2332158113403087,0.003685479828557644
0.00007705989229173012,4.846489604249119e-6,0.0006740739501574803,0.0003607547891891605,0.011344720313094159,0.00013281432490614803,12.2415962367624,265.3386167283727,21.708219842304544,0.003800160687068967
0.000028475898979226043,2.26188751027508e-6,0.001105994250700332,0.0026175141496187658,0.014773539308097394,0.00013701273993419887,12.068714355781905,275.603683246469,23.0280361537396,0.0036176756486209502
0.00012857886092104668,0.00002270848293959795,0.0003624704927568638,0.007875812513031103,0.011747354546212353,0.00011992034827590362,18.45301422685195,170.6821325487858,8.046064278170801,0.0035901011318131147
0.000013416354101688918,0.00004920566693424283,0.00011590099884195633,0.00015244727605248897,0.009725543091121528,0.00006130165707232522,26.51517279611436,133.34222015251942,2.1775636655359265,0.004582464294640498
0.0004521289791589675,1.2036701204951969e-6,0.0016934493553381724,0.0004490816234879587,0.030837767911462973,0.00012313572869014118,12.621119488966931,254.11316904543622,19.980179398155638,0.004273114128684311
0.0001833702167104593,7.92985738596615e-6,0.0005590311470473715,0.0002946758404901701,0.012828087410454254,0.00012072131741422206,12.96483822462281,247.5664823232894,19.06114047095545,0.0040904329548262066
0.000328227889435858,0.000060950234291164565,0.00200756676545199,0.0006116461815255745,0.047280408252334656,0.00018271935604144386,12.70366664215837,248.01529562666482,19.727182876188536,0.004296552467971771
0.00005117430300313629,0.000031567285480451004,0.00016494301986995667,0.0030525677364042366,0.008600492127362816,0.00006933027342208639,23.04630429671055,143.868746081331,3.463571299814758,0.0036176756486208357
