lambda_hom,lambda_sec,lambda_eff,lambda_kin,lambda_div,fraction_kinetic_target,obj_total,obj_homeo,obj_kin,obj_eff,obj_sec,obj_div,obj_hom_w,obj_kin_w,obj_eff_w,obj_sec_w,obj_div_w,Index,toya_pearson_r_squared,toya_r_squared
0.0017907488598280696,0.000044696773862454105,4.3678204854750165e-6,0.00011026037812327705,0.000014547148962716277,1.0,0.002829418549989883,0.046094485423635735,16.21680091368028,151.1736121841927,6.677701501529821,0.0022951565779660834,0.00008254364721673726,0.0017880706006922925,0.0006602992001613724,0.00029847171393484865,3.3387984632430753e-8,4289,0.6739388865680034,0.5275105923386451
0.0017907488598280696,0.000044696773862454105,4.3678204854750165e-6,0.00011026037812327705,0.000014547148962716277,0.5,0.0016684830240483851,0.031205461512439345,9.058242594640735,89.33217460850005,5.002960239291147,0.002305680770620376,0.000055881144623809465,0.0009987652536174616,0.00039018690226703766,0.00022361618245844567,3.3541081630685074e-8,4289,0.7218207771343503,0.5347390754408814
0.0017907488598280696,0.000044696773862454105,4.3678204854750165e-6,0.00011026037812327705,0.000014547148962716277,0.1,0.0007866605397588762,0.02628527255089779,3.8389858324091284,38.2784177772157,3.33524953884047,0.0023397495645753395,0.00004707032185079028,0.000423288029491334,0.00016719325731889378,0.00014907489441240684,3.403668545132801e-8,4289,0.7117730821977234,0.5421834245245611
0.002295819301542834,0.00004351982862086227,6.885399220792588e-6,0.00014020608128305454,0.007879624503105668,1.0,0.003724671000996652,0.0460948893398362,16.146361376378508,151.63105092115032,6.819241883167012,0.0018040010459878211,0.00010582553664887696,0.0022638180555620974,0.0010440403198604495,0.00029677223807963445,0.00001421485084559389,7561,0.6791929364807552,0.5009535970968655
0.002295819301542834,0.00004351982862086227,6.885399220792588e-6,0.00014020608128305454,0.007879624503105668,0.5,0.002187282117310838,0.034610835038271406,8.949251225632308,88.90886996270952,5.208994194129844,0.0018040010459878099,0.0000794602231233785,0.0012547394447634788,0.0006121730639627896,0.0002266945346155974,0.000014214850845593803,7561,0.7164606082816583,0.5148770162098049
0.002295819301542834,0.00004351982862086227,6.885399220792588e-6,0.00014020608128305454,0.007879624503105668,0.1,0.001019496268276808,0.03435497882690931,3.62298146081353,37.80714150612068,3.6334540621798017,0.0018040010459878047,0.00007887282349491378,0.0005079640331818214,0.0002603172626666384,0.0001581272980878408,0.00001421485084559376,7561,0.7097351975033329,0.5322757443616852
0.0037261343858325593,0.00006335248392040383,0.000013650625388375834,0.00022419983110748715,0.00006204214983070446,1.0,0.006293659882446027,0.04609711450199304,16.14736053864009,151.61284035245856,6.817594140783623,0.0022359399082835054,0.000171764043433537,0.003620235505594811,0.002069610087719043,0.0004319115231798338,1.3872251880217682e-7,3123,0.6788969214455702,0.5010570667172423
0.0037261343858325593,0.00006335248392040383,0.000013650625388375834,0.00022419983110748715,0.00006204214983070446,0.5,0.003673686805007063,0.0620225925671756,8.415113018124558,87.1911007281989,5.770297958151682,0.00225025857316932,0.0002311045148630359,0.0018866669174139423,0.0011902130532407866,0.00036556270860974347,1.3961087955439818e-7,3123,0.6852984245055885,0.5492167015173925
0.0037261343858325593,0.00006335248392040383,0.000013650625388375834,0.00022419983110748715,0.00006204214983070446,0.1,0.001682304741626278,0.0624337434697587,3.100730282613212,35.91343048013216,4.168779020507924,0.0022843472669385346,0.00023263651837891687,0.000695183205671753,0.0004902407858957626,0.00026410250586444506,1.417258154007608e-7,3123,0.6494240528768024,0.38450593711207104
0.010669422871105609,0.00008415038118433214,0.00004509500255495078,0.0004729308800875724,0.00032151034215574775,1.0,0.01553145844112433,0.046427034493471034,16.577107216103663,147.65159953940056,6.384500519569669,0.002100901558587425,0.0004953496636622488,0.007839825905017953,0.006658349258471838,0.0005372581523933543,6.754615789369868e-7,1013,0.723192218038156,0.5884940223149637
0.010669422871105609,0.00008415038118433214,0.00004509500255495078,0.0004729308800875724,0.00032151034215574775,0.5,0.009046681556083245,0.03448004581211679,8.94034339007927,88.86986446249938,5.256705648547067,0.0021596501223393283,0.00036788218938456807,0.0042281644677553,0.004007586764994539,0.0004423537840990676,6.943498497700199e-7,1013,0.717288811335768,0.5137102250009098
0.010669422871105609,0.00008415038118433214,0.00004509500255495078,0.0004729308800875724,0.00032151034215574775,0.1,0.004084971139752051,0.0341858998999698,3.6390631407808756,37.520134682473966,3.6426084940413306,0.0021912855878673163,0.00036474382226206475,0.001721025333863745,0.0016919705693682608,0.000306526893278864,7.045209791161797e-7,1013,0.7128257993159236,0.535369995755425
0.015160012658859997,4.59414018425322e-7,0.00008136169269482002,0.0006659568716081414,0.00014856044162947884,1.0,0.023742936400469976,0.055098446311199395,16.49036646170481,146.53559919734946,6.572810828366346,0.002466095380652634,0.0008352931435613007,0.010981872860508751,0.011922384390746062,3.0196414350092525e-6,3.6636421885017306e-7,6719,0.7124720805400516,0.613482577451783
0.015160012658859997,4.59414018425322e-7,0.00008136169269482002,0.0006659568716081414,0.00014856044162947884,0.5,0.01356743651738732,0.0957164001303325,7.894387940796049,84.26022910612974,6.819331188681145,0.0024570481951218244,0.0014510618376363494,0.005257321896313574,0.006855554866928058,3.1328963443651326e-6,3.650201649722121e-7,6719,0.5525516599127925,0.4164387163720489
0.015160012658859997,4.59414018425322e-7,0.00008136169269482002,0.0006659568716081414,0.00014856044162947884,0.1,0.005795464967199543,0.09412221861334162,2.100050279951555,36.46197545356975,6.636077002127223,0.002499172588232095,0.001426894025658247,0.0013985429146563392,0.002966608041899413,3.0487068021271316e-6,3.712781834160477e-7,6719,0.4515021693580444,0.17928570986420866
0.011166432842260716,0.000010936827667747793,0.00005981500994729909,0.0004837859413651478,0.00011115822554716319,1.0,0.017428803500718452,0.0551004964197096,16.617553172114086,145.5126381061783,6.407269204880446,0.002463231318662576,0.0006152759928459143,0.008039338604556611,0.008703839895778788,0.00007007519911464487,2.7380842249473086e-7,8268,0.7083087940707087,0.6129952197832039
0.011166432842260716,0.000010936827667747793,0.00005981500994729909,0.0004837859413651478,0.00011115822554716319,0.5,0.010001711968652158,0.08530470396583825,8.098435631181703,84.58718975875426,6.528077497802485,0.0024591958168060906,0.0009525492479634642,0.003917909305416295,0.005059583596833962,0.000071396458595168,2.7335984326917163e-7,8268,0.6299968862369811,0.5142188546620672
0.011166432842260716,0.000010936827667747793,0.00005981500994729909,0.0004837859413651478,0.00011115822554716319,0.1,0.004319421602971102,0.08784471963415479,2.3774871334029033,35.56647661957211,5.54346413258777,0.0024966665339907945,0.0009809121623420107,0.0011501948509168502,0.002127409152790086,0.000060627911900453444,2.775250217014029e-7,8268,0.48975456988503946,0.23549361846910544
0.008219900134902888,0.00005856153653854458,0.00004804170992641341,0.00034592030246811397,0.00021609502689989688,1.0,0.013539310622777783,0.04845721266989984,17.063289723429936,143.55779695915902,5.826673542239753,0.0022112348601991925,0.0003983134489623277,0.005902538342229944,0.006896762039186871,0.00034121895554204426,4.778368565967343e-7,4419,0.6857531093221382,0.5229975942857619
0.008219900134902888,0.00005856153653854458,0.00004804170992641341,0.00034592030246811397,0.00021609502689989688,0.5,0.007925745436772887,0.046118175058693714,9.244965394240289,84.70021983587722,4.764362780854116,0.0022472556543500586,0.00037908679338643147,0.0031980212254828473,0.004069143392058661,0.0002790084050738702,4.856207710777213e-7,4419,0.7273436250667228,0.6225621551450583
0.008219900134902888,0.00005856153653854458,0.00004804170992641341,0.00034592030246811397,0.00021609502689989688,0.1,0.0035372572961900636,0.0451326382996206,3.6786942197200534,35.24964630308238,3.411661469249337,0.002272513561863309,0.00037098577964757464,0.0012725350171732634,0.0016934532827013544,0.00019979213778858974,4.910788792812322e-7,4419,0.7300670227630504,0.48730463067971097
0.0027518003254517536,0.000011509286899451964,0.00001558825577623635,0.00011362746795529512,0.0022049761387594805,1.0,0.004380726740739268,0.048458245493988784,17.029343555120985,143.73746056509498,5.88926963329993,0.0018052540731084716,0.00013334741572117932,0.0019350011891092211,0.0022406162999153863,0.00006778129383787917,3.980542155602543e-6,5402,0.6851725909665557,0.5120149230332252
0.0027518003254517536,0.000011509286899451964,0.00001558825577623635,0.00011362746795529512,0.0022049761387594805,0.5,0.0025510593215820796,0.07776808634292884,8.386591801124053,83.98632544029213,6.162762144522687,0.0018052643670919682,0.00021400224530823166,0.0009529471911363642,0.0013092003226694998,0.00007092899761439345,3.980564853590525e-6,5402,0.6193862370141224,0.4967360563220965
0.0027518003254517536,0.000011509286899451964,0.00001558825577623635,0.00011362746795529512,0.0022049761387594805,0.1,0.0011311489072055052,0.08374519616268854,2.607442398214091,34.70365398081385,5.1672875428927485,0.0018052540731084568,0.00023045005805550728,0.0002962770775483495,0.000540969434622929,0.00005947179482311684,3.98054215560251e-6,5402,0.5015721738309189,0.23418095674344297
0.00250512447380873,0.00003834928322411907,9.737539939471187e-6,0.00009651499132633297,0.0028077927038435632,1.0,0.0033907619243267934,0.038434959957627565,17.301898425286637,144.0606457590718,5.6512116999651205,0.001805254073108479,0.00009628435883971136,0.001669892576445634,0.0014027962917849723,0.00021671991804141783,5.068779215057862e-6,7809,0.6948416334807586,0.5045341912177036
