Index,lambda_hom,lambda_kin,lambda_eff,lambda_sec,obj_homeo_1.0,obj_homeo_0.5,obj_homeo_0.1,obj_kin_1.0,obj_kin_0.5,obj_kin_0.1,toya_r_squared_1.0,toya_r_squared_0.5,toya_r_squared_0.1,delta_homeo,delta_kin,delta_toya_r2
6719,0.015160012658859997,0.0006659568716081414,0.00008136169269482002,4.59414018425322e-7,0.055098446311199395,0.0957164001303325,0.09412221861334162,16.49036646170481,7.894387940796049,2.100050279951555,0.613482577451783,0.4164387163720489,0.17928570986420866,0.039023772302142226,-14.390316181753255,-0.43419686758757436
5402,0.0027518003254517536,0.00011362746795529512,0.00001558825577623635,0.000011509286899451964,0.048458245493988784,0.07776808634292884,0.08374519616268854,17.029343555120985,8.386591801124053,2.607442398214091,0.5120149230332252,0.4967360563220965,0.23418095674344297,0.03528695066869975,-14.421901156906895,-0.2778339662897822
8268,0.011166432842260716,0.0004837859413651478,0.00005981500994729909,0.000010936827667747793,0.0551004964197096,0.08530470396583825,0.08784471963415479,16.617553172114086,8.098435631181703,2.3774871334029033,0.6129952197832039,0.5142188546620672,0.23549361846910544,0.03274422321444519,-14.240066038711182,-0.3775016013140985
3123,0.0037261343858325593,0.00022419983110748715,0.000013650625388375834,0.00006335248392040383,0.04609711450199304,0.0620225925671756,0.0624337434697587,16.14736053864009,8.415113018124558,3.100730282613212,0.5010570667172423,0.5492167015173925,0.38450593711207104,0.016336628967765658,-13.046630256026878,-0.11655112960517122
1087,0.027658135046553827,0.00046922976876161875,0.00009014512022682185,0.00003993496771304765,0.019101701733284255,0.019374166198092263,0.0223976498051559,20.318135236867015,11.386314658496765,4.39650956837238,0.5337114745028968,0.607252567949946,0.5578232002416236,0.003295948071871644,-15.921625668494634,0.024111725738726775
3364,0.009793854716169417,0.00014522258807616372,0.00003069211123876256,5.280533694517165e-7,0.016923991675614092,0.019369803814746518,0.019632068560676588,20.28754830572669,11.386388340411818,4.470453102031475,0.5596522307502432,0.608784291361057,0.5653385339888602,0.0027080768850624957,-15.817095203695217,0.005686303238617074
781,0.02308725452791369,0.0003922169473756152,0.00009482087574409263,5.999202707160097e-7,0.023505238079720436,0.024661883493181436,0.025851891893504966,20.246221456675023,11.269921371143795,4.3209830466245664,0.5185649800732743,0.5935763195809337,0.5484309111234418,0.00234665381378453,-15.925238410050458,0.029865931050167438
4186,0.0025220107357819843,0.000041511968268283135,8.923918556267735e-6,2.0483495551299148e-6,0.023323177522205238,0.024377640110766895,0.02521218738279301,20.23401843859464,11.27022349429503,4.321697478253168,0.5194297157733467,0.5958039625928729,0.5527646112163205,0.0018890098605877717,-15.912320960341471,0.033334895442973744
908,0.007661641886500706,0.0001220587291539823,0.00001155145128274903,0.00006130056472846663,0.00821139680530071,0.00866781915784397,0.00928574838473227,18.61453640866131,10.921124864231627,4.328519493217174,0.5573114271147629,0.6824031809294975,0.6522729658777657,0.0010743515794315595,-14.286016915444135,0.09496153876300284
7469,0.0034040896559645296,0.000052157656121835996,2.9149423456632266e-7,0.00007736988378652967,0.007932465287516989,0.00793364636916687,0.008658778213923309,21.11346065179503,12.176952453790832,5.25437464595729,0.5815423812184047,0.6506534106691166,0.5892698252383799,0.0007263129264063195,-15.85908600583774,0.00772744401997516
5959,0.0011048527687010884,0.00001628943861977797,7.644708060081764e-7,0.00001814875980563262,0.00793242224547992,0.008294549251852898,0.008658029697697618,21.113443117165367,12.16094768667968,5.219983088979959,0.5780929439228124,0.6473028938830252,0.5910148498163048,0.000725607452217697,-15.893460028185409,0.012921905893492402
9380,0.01805626952597902,0.0003005031361549136,0.00005856465246377331,0.00003608102830818599,0.019103045851063153,0.019375489663948055,0.019634522736564495,20.318146086279025,11.386347215384017,4.470940910097094,0.5337577376196432,0.608841202626915,0.563805310895117,0.0005314768855013419,-15.84720517618193,0.030047573275473805
4386,0.0029022235796050595,0.000044455282347055,9.527216122271343e-6,1.6675316554412564e-6,0.019103330624166706,0.019375741252785503,0.019634745609437454,20.334093374013925,11.386513341133758,4.4706457092256695,0.5310742719451965,0.6072938352288164,0.5638087069524595,0.0005314149852707478,-15.863447664788255,0.03273443500726303
9323,0.025669679923038556,0.0004469848372597945,0.0000778041438658251,0.00007776966056247413,0.01910307630708873,0.01937551640070764,0.01963441210734984,20.318157348606125,11.385874659763067,4.4709192357113015,0.5337507850152322,0.6073633858201303,0.5637978799404443,0.0005313358002611117,-15.847238112894823,0.03004709492521207
930,0.012994450265808949,0.00019418445191966984,0.00004524672621695036,0.00002324777897674877,0.019517281235428577,0.019790249604687102,0.020001490794636992,20.36273393137874,11.392998526981298,4.476661949655604,0.5299784628742772,0.6037626496725732,0.5624818208217846,0.000484209559208415,-15.886071981723138,0.03250335794750736
4419,0.008219900134902888,0.00034592030246811397,0.00004804170992641341,0.00005856153653854458,0.04845721266989984,0.046118175058693714,0.0451326382996206,17.063289723429936,9.244965394240289,3.6786942197200534,0.5229975942857619,0.6225621551450583,0.48730463067971097,-0.0033245743702792416,-13.384595503709882,-0.0356929636060509
7561,0.002295819301542834,0.00014020608128305454,6.885399220792588e-6,0.00004351982862086227,0.0460948893398362,0.034610835038271406,0.03435497882690931,16.146361376378508,8.949251225632308,3.62298146081353,0.5009535970968655,0.5148770162098049,0.5322757443616852,-0.011739910512926888,-12.523379915564977,0.031322147264819744
7809,0.00250512447380873,0.00009651499132633297,9.737539939471187e-6,0.00003834928322411907,0.038434959957627565,0.031217555772126232,0.026201345982012146,17.301898425286637,9.482982369399288,3.992470850448566,0.5045341912177036,0.6372186349213971,0.5787120011686762,-0.01223361397561542,-13.309427574838072,0.07417780995097256
1013,0.010669422871105609,0.0004729308800875724,0.00004509500255495078,0.00008415038118433214,0.046427034493471034,0.03448004581211679,0.0341858998999698,16.577107216103663,8.94034339007927,3.6390631407808756,0.5884940223149637,0.5137102250009098,0.535369995755425,-0.012241134593501235,-12.938044075322788,-0.05312402655953874
4289,0.0017907488598280696,0.00011026037812327705,4.3678204854750165e-6,0.000044696773862454105,0.046094485423635735,0.031205461512439345,0.02628527255089779,16.21680091368028,9.058242594640735,3.8389858324091284,0.5275105923386451,0.5347390754408814,0.5421834245245611,-0.019809212872737944,-12.377815081271152,0.014672832185916085
