"gene_id"	"11_J3_Modified_M9_N_Fe"	"MG1655 rph+ ?trpR ?tnaA [+cymR +vio_J3 +vioE]_Modified_M9_N_Fe_5gperL_Trp"	"MG1655 rph+ ?trpR ?tnaA [+cymR +vio_J3]_Modified_M9_N_Fe_5gperL_Trp"	"MG1655 rph+ ?trpR ?tnaA [+cymR +vio_M5]_Modified_M9_N_Fe"	"MG1655 rph+ ?trpR ?tnaA [+cymR +vio_M5]_Modified_M9_N_Fe_5gperL_Trp"	"MG1655 rph+ [+cymR +vio_J3]_Modified_M9_N_Fe"	"MG1655 rph+ [+cymR +vio_M5]_Modified_M9_N_Fe"	"MG1655 rph+_EZ_Rich"	"MG1655 rph+_Modified_M9_N_Fe"
"EG10001"	55.45864816666667	74.029122	42.56913675	71.754026	69.9184656	84.08263166666667	65.93578033333334	27.705990333333332	77.8872824
"EG10002"	13.607349333333332	130.361037	42.5692295	102.70873166666667	57.2420066	85.216886	157.61255033333333	53.307287	253.57440019999999
"EG10003"	21.396914499999998	21.968494749999998	11.310599	21.073006166666666	20.846303	30.20716366666667	18.664348166666667	10.216092166666668	23.208875
"EG10004"	40.40631283333334	54.86211625	32.32881125	51.99671683333333	57.9500936	69.97332766666666	44.08964016666667	19.530986166666665	59.5004938
"EG10006"	48.06242316666666	14.58542675	2.6958865	32.3894455	13.733274399999999	10.482831333333335	36.92922766666667	4.261451999999999	70.1817418
"EG10007"	35.31958516666666	18.41933425	35.707629	17.08998683333333	21.861717	15.750082	17.615703666666665	7.962658833333333	16.245421999999998
"EG10008"	6.604716166666667	33.86027175	12.090457500000001	46.01952433333333	30.922948	14.314075666666668	46.48562366666667	3.359205333333333	60.36793399999999
"EG10011"	16.67222	24.35329325	9.182796249999999	31.7178475	27.098828200000003	29.331272666666667	29.924910999999998	9.033983166666667	31.750104399999998
"EG10012"	46.9322425	50.3696395	9.80503125	52.89923266666667	55.421338000000006	50.14091333333334	47.506054	20.673035333333335	52.67121540000001
"EG10013"	141.16352733333335	104.23693675	203.5162725	104.07439616666666	130.3555896	92.30204066666666	78.5098405	15.150735	75.33645220000001
"EG10014"	6.246499	7.3802205	6.78571675	8.052744666666667	8.281977399999999	6.284170666666667	8.303379833333333	6.905140499999999	8.1785036
"EG10015"	146.94117316666666	269.92912675	102.084138	239.94199316666666	264.5609002	205.160171	248.88887066666666	189.03118000000003	227.97339200000002
"EG10016"	1.145253	3.6455135	1.04975975	1.9534529999999999	1.2042448000000001	1.5072013333333334	1.5593136666666665	1.7398953333333333	2.9710273999999997
