output,lambda,S1,S1_conf,ST,ST_conf
toya_r_squared,lambda_hom,-0.0018355375824339157,0.01878221763335579,0.07825554882245192,0.015131605304392821
toya_r_squared,lambda_sec,0.04065751714261982,0.036430597506285016,0.19701710832656158,0.030048461422765176
toya_r_squared,lambda_eff,0.4020537526283566,0.05054628137234344,0.6508174080277594,0.04813043070466227
toya_r_squared,lambda_kin,0.24520378926394049,0.04666028817630025,0.4960816613018452,0.042842859878520954
toya_r_squared,lambda_div,-0.006779305810917309,0.007230579013243446,0.010649038084459706,0.001669567412331432
obj_homeo,lambda_hom,0.27095800105437184,0.10474311846406145,0.8117129216548828,0.2330306321218977
obj_homeo,lambda_sec,0.0024445016736202667,0.003586572308732783,0.02536962491502428,0.02654033004530606
obj_homeo,lambda_eff,0.015427236446644994,0.021941279878104715,0.14488703206669729,0.05833287293272728
obj_homeo,lambda_kin,0.14424141079786534,0.09330117652546487,0.7996276949862362,0.26872852119573787
obj_homeo,lambda_div,3.630130827639893e-06,6.8568410479399055e-06,1.693050330689696e-08,5.225557737137902e-09
obj_kin,lambda_hom,-0.0002193111672182535,0.00214906893711466,0.0008392642172384988,0.000161949681917483
obj_kin,lambda_sec,0.002980165478674799,0.006658461937159328,0.010143827920917866,0.0017090706026539886
obj_kin,lambda_eff,0.3817117434437098,0.07499768705862118,0.7399343814092901,0.07348948071293268
obj_kin,lambda_kin,0.2624909112161946,0.0540806632599954,0.5808325119771784,0.06921701850372458
obj_kin,lambda_div,-8.756591167108524e-06,1.8553146307296167e-05,1.9680543064585682e-07,3.960721078878895e-07
obj_eff,lambda_hom,0.0034378439407902572,0.007156997532525617,0.009560934986008568,0.0019861867746986846
obj_eff,lambda_sec,0.02617621234247008,0.020083606243814157,0.08907375976176875,0.014584913165099534
obj_eff,lambda_eff,0.5041616725033053,0.051907911637232594,0.6335372901246136,0.05123085208575874
obj_eff,lambda_kin,0.31771469700813065,0.041639785869092144,0.43439407788125306,0.036598998018811044
obj_eff,lambda_div,-2.5611334942149956e-05,3.262783210326559e-05,2.20440169613382e-07,2.887686514050322e-07
obj_sec,lambda_hom,0.013267682293047351,0.014623210079023409,0.03895170257547044,0.0036784189766857316
obj_sec,lambda_sec,0.08982601308076407,0.03484375414702158,0.22134823695658562,0.02632583153805578
obj_sec,lambda_eff,0.36960170225670025,0.0520884902899604,0.5780229874307697,0.05478888404600828
obj_sec,lambda_kin,0.2883364670929391,0.04850584767319693,0.44866836261558324,0.038648071862737776
obj_sec,lambda_div,4.225289546227342e-05,0.00010384565309201834,5.517336911240711e-06,9.175183907199757e-06
obj_div,lambda_hom,0.00017281058628172049,0.0014050868712619422,0.0004650693330519383,9.078278858156836e-05
obj_div,lambda_sec,0.0021004616131279578,0.004030322301037435,0.001776835623548926,0.000494930216621055
obj_div,lambda_eff,0.190852362974848,0.09059355260007435,0.7074166907330662,0.1259170166408171
obj_div,lambda_kin,-0.00018155233617438623,0.0031342886334973664,0.0010800793659134335,0.00022704282131359135
obj_div,lambda_div,0.2742545824426705,0.08322554094535387,0.8295439525512897,0.13801834405914806
solve_failed,lambda_hom,,,,
solve_failed,lambda_sec,,,,
solve_failed,lambda_eff,,,,
solve_failed,lambda_kin,,,,
solve_failed,lambda_div,,,,
