lambda_hom,lambda_sec,lambda_eff,lambda_kin,lambda_div,solve_failed,obj_homeo,obj_kin,obj_eff,obj_sec,obj_div,obj_hom_w,obj_kin_w,obj_eff_w,obj_sec_w,obj_div_w,toya_pearson_r_squared,toya_r_squared
0.0015158035166902885,2.618855767174319e-06,9.62358706003231e-07,3.515244164089145e-05,0.00011416077374280045,0,0.005298759011062314,10.900884397743388,267.23895059026745,21.96607717385911,0.0035436784413643676,8.031877543062611e-06,0.0003831927026257786,0.0002571797306837112,5.7525987888957096e-05,4.0454907276183734e-07,0.6915388337654557,-31.55673548928685
0.542180593544363,2.618855767174319e-06,9.62358706003231e-07,3.515244164089145e-05,0.00011416077374280045,0,2.4698987860943052e-08,11.31316727950828,280.6506913667408,27.295479542692984,0.0036182176575324855,1.339131189839112e-08,0.0003976854525665575,0.0002700866361826088,7.148292401817017e-05,4.1305852735377154e-07,0.6823987750124674,-39.32565845041933
0.0015158035166902885,3.0801834933311068e-06,9.62358706003231e-07,3.515244164089145e-05,0.00011416077374280045,0,0.005294738648861202,11.072724328928347,263.2007283744364,21.19280202666271,0.0035434328664517324,8.025783463899796e-06,0.00038923329577833266,0.00025329351237753046,6.527771897996051e-05,4.045210377397991e-07,0.6951878839926536,-29.824718580323257
0.0015158035166902885,2.618855767174319e-06,7.582369975129715e-07,3.515244164089145e-05,0.00011416077374280045,0,0.005040445858933525,10.831321066947444,269.59570936556526,22.262514739415572,0.0035436784413643632,7.64032555865844e-06,0.00038074738169962814,0.00020441744121172588,5.830231511712175e-05,4.045490727618368e-07,0.6913234849041574,-32.914403160443946
0.0015158035166902885,2.618855767174319e-06,9.62358706003231e-07,0.0006852371137451821,0.00011416077374280045,0,0.5522369015373487,8.259210750778,336.86240698336667,28.489612626538207,0.0036106722471234928,0.0008370826373964617,0.005659517736676295,0.0003241824700856465,7.461018633157188e-05,4.1219713746327397e-07,0.7022062818806947,-86.36949532871608
0.0015158035166902885,2.618855767174319e-06,9.62358706003231e-07,3.515244164089145e-05,0.00010692926256396843,0,0.005298759003021486,10.900884397743386,267.23895059026734,21.9660771738591,0.0035436784413643632,8.031877530874295e-06,0.00038319270262577855,0.0002571797306837111,5.7525987888957076e-05,3.789229224989244e-07,0.6915388337654554,-31.556735489286766
0.542180593544363,3.0801834933311068e-06,7.582369975129715e-07,0.0006852371137451821,0.00010692926256396843,0,2.470218261030974e-08,10.762508894241504,302.26555222207287,30.913768107431526,0.0037280024947652724,1.3393044029498978e-08,0.0073748705313469,0.0002291889247684648,9.522007824117619e-05,3.986325576018852e-07,0.6123780444395518,-40.37320141109806
0.06704377039605514,2.3511697913046578e-05,3.5711180777531387e-06,0.00010740005305901096,0.0003407942295357278,0,0.00017705552119729522,12.976488630347088,241.82741203964216,18.70260345779061,0.003593622225922041,1.1870469710505334e-05,0.0013936755674189296,0.0008635942428310232,0.00043972996268707316,1.224685717725569e-06,0.7002251520454063,-21.078965804572533
0.0012538279360980082,2.3511697913046578e-05,3.5711180777531387e-06,0.00010740005305901096,0.0003407942295357278,0,0.15604680002013563,12.01861648034135,205.24408947539467,15.208714953174624,0.0035450587972189764,0.00019565583720394529,0.0012908000476845646,0.0007329508782775646,0.0003575827116246761,1.208135581457095e-06,0.6001435668493,-2.8223007250372842
0.06704377039605514,9.132935482986919e-06,3.5711180777531387e-06,0.00010740005305901096,0.0003407942295357278,0,0.00017852597755112053,11.33258690777659,270.9727881044347,22.099206085903386,0.003589481158358209,1.1969054648668618e-05,0.0012171204351910587,0.0009676758221789174,0.0002018306234077875,1.2232744657956975e-06,0.6955924162370088,-34.31208290224644
0.06704377039605514,2.3511697913046578e-05,8.334801276762608e-05,0.00010740005305901096,0.0003407942295357278,0,0.0033976422505074062,79.10886892739758,25.156492926614526,1.440209115262029,0.004310190849851764,0.0002277907469309546,0.008496296720240843,0.0020967436936361627,3.3861761649656905e-05,1.4688881698271755e-06,0.859629162817833,0.45710397448966134
