,pubmedID,reactionID,enzymeID,substrateIDs,kcat (1/s),kM (uM),vmax,ph,temperature
78,['15850400'],RXN-11397,['EG10626-MONOMER'],['CPD-12366'],[-1],[0.26],[-1],[],[]
79,['None'],RXN-11397,['EG10626-MONOMER'],['CPD-12366'],[-1],[-1],[22.0],[],[]
80,"['o', 'o']",TRANS-RXN-16,['YIDT-MONOMER'],['D-GALACTONATE'],[-1],[18.0],[-1],[],[]
81,['15850400'],RXN-12816,['EG10626-MONOMER'],['CPD-13853'],[-1],[0.058],[-1],[],[]
82,['None'],RXN-12816,['EG10626-MONOMER'],['CPD-13853'],[-1],[-1],[3.7],[],[]
83,['12374823'],HYDROXYLAMINE-REDUCTASE-RXN,['G6457-MONOMER'],['HYDROXYLAMINE'],[-1],[2500.0],[-1],[],[]
84,['None'],HYDROXYLAMINE-REDUCTASE-RXN,['G6457-MONOMER'],[],[],[],[],['9'],[]
85,['27507969'],RXN-22001,['EG12450-MONOMER'],['CPD-4544'],[-1],[695.0],[-1],[],[]
86,['11123953'],RXN-22001,['EG12450-MONOMER'],['NADH'],[-1],[23.0],[-1],[],[]
87,['8752345'],1.13.11.16-RXN,['DHPDIOXYGEN-CPLX'],['CPD0-2477'],[-1],[154.0],[-1],[],[]
88,['None'],1.13.11.16-RXN,['DHPDIOXYGEN-CPLX'],"['3-ETHYLCATECHOL', 'CPD0-2476', 'CPD0-2475']","[-1, -1, -1]","[185.0, 94.0, 37.0]","[-1, -1, -1]",[],[]
89,['None'],1.13.11.16-RXN,['DHPDIOXYGEN-CPLX'],"['CATECHOL', 'CPD-111', '2-3-DIHYDROXYPHENYL-PROPIONATE']","[-1, -1, -1]","[720.0, 90.0, 26.0]","[-1, -1, -1]",['8:9.5'],[]
90,['8399388'],1.13.11.16-RXN,['DHPDIOXYGEN-CPLX'],['2-3-DIHYDROXYPHENYL-PROPIONATE'],[29.0],[-1],[-1],[],[]
91,['12644495'],RXN0-2461,['EIISGA'],['ASCORBATE'],[-1],[9.0],[-1],[],[]
92,['None'],RXN0-2461,['EIISGA'],[],[],[],[],['9.5'],[]
93,['15850400'],RXN-14002,['EG10626-MONOMER'],['CPD-14101'],[-1],[0.045],[-1],[],[]
94,['None'],RXN-14002,['EG10626-MONOMER'],['CPD-14101'],[-1],[-1],[4.8],[],[]
95,['19124251'],RIBOKIN-RXN,['CPLX0-7647'],['ATP'],[-1],[18.0],[-1],[],[]
96,['None'],RIBOKIN-RXN,['CPLX0-7647'],"['2-DEOXYRIBOSE', 'D-Ribofuranose', 'ATP']","[-1, 86.4, 130.0]","[1410.0, 279.0, 213.0]","[-1, -1, -1]",[],['30:50']
97,['11563694'],RIBOKIN-RXN,['CPLX0-7647'],['D-Ribofuranose'],[-1],[180.0],[-1],[],[]
