"",1.5.1.20-RXN-5-METHYL-THF/NAD//METHYLENE-THF/NADH/PROTON.44. (reverse),1.5.1.20-RXN-CPD-1302/NAD//CPD-12996/NADH/PROTON.36. (reverse),1PFRUCTPHOSN-RXN,1TRANSKETO-RXN (reverse),2-DEHYDROPANTOATE-REDUCT-RXN (reverse),2-ISOPROPYLMALATESYN-RXN,2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN,2-OCTAPRENYL-6-OHPHENOL-METHY-RXN,2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN,2-OCTAPRENYLPHENOL-HYDROX-RXN,2.3.1.157-RXN,2.5.1.19-RXN,2.5.1.64-RXN,2.7.1.148-RXN,2.7.7.60-RXN,2.8.1.6-RXN,2OXOGLUTARATEDEH-RXN,2PGADEHYDRAT-RXN,2TRANSKETO-RXN (reverse),3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN-CPD-12996/2-KETO-ISOVALERATE/WATER//2-DEHYDROPANTOATE/CPD-1301.63.,3-DEHYDROQUINATE-DEHYDRATASE-RXN,3-DEHYDROQUINATE-SYNTHASE-RXN,3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN,3.2.2.10-RXN-CMP/WATER//RIBOSE-5P/CYTOSINE.30.,3.2.2.10-RXN-UMP/WATER//RIBOSE-5P/URACIL.28.,325-BISPHOSPHATE-NUCLEOTIDASE-RXN,3PGAREARR-RXN (reverse),4OHBENZOATE-OCTAPRENYLTRANSFER-RXN,5.1.3.20-RXN,5.4.2.10-RXN-CPD-13469//GLUCOSAMINE-1P.26.,6PGLUCONOLACT-RXN,ACECOATRANS-RXN-PROPIONYL-COA/ACET//PROPIONATE/ACETYL-COA.42.,ACETATEKIN-RXN,ACETOLACTREDUCTOISOM-RXN (reverse),ACETOLACTSYN-RXN,ACETOOHBUTREDUCTOISOM-RXN (reverse),ACETOOHBUTSYN-RXN,ACETYL-COA-ACETYLTRANSFER-RXN,ACETYLGLUTKIN-RXN,ACETYLORNDEACET-RXN,ACETYLORNTRANSAM-RXN (reverse),ACONITATEDEHYDR-RXN,ACSERLY-RXN,ADCLY-RXN,ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN,ADENPRIBOSYLTRAN-RXN (reverse),ADENYL-KIN-RXN,ADENYLOSUCCINATE-SYNTHASE-RXN,ADENYLYLSULFKIN-RXN,ADOMET-DMK-METHYLTRANSFER-RXN,AICARSYN-RXN,AICARTRANSFORM-RXN-10-FORMYL-THF/AICAR//THF/PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE.62.,AIRS-RXN,ALANINE-AMINOTRANSFERASE-RXN (reverse),ALARACECAT-RXN,AMPSYN-RXN,ANTHRANSYN-RXN,ARGSUCCINLYA-RXN,ARGSUCCINSYN-RXN,ASNSYNA-RXN,ASPAMINOTRANS-RXN,ASPARTASE-RXN (reverse),ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN (reverse),ASPARTATEKIN-RXN,ASPCARBTRANS-RXN,ASPDECARBOX-RXN,ATPPHOSPHORIBOSYLTRANS-RXN (reverse),ATPSYN-RXN (reverse),BRANCHED-CHAINAMINOTRANSFERILEU-RXN (reverse),BRANCHED-CHAINAMINOTRANSFERLEU-RXN (reverse),BRANCHED-CHAINAMINOTRANSFERVAL-RXN (reverse),CARDIOLIPSYN-RXN-CPD-8260//CPD-12824/GLYCEROL.29.,CDPDIGLYSYN-RXN-CTP/CPD0-1422/PROTON//CPD-12815/PPI.36.,CDPKIN-RXN,CHORISMATE-SYNTHASE-RXN,CHORPYRLY-RXN,CITSYN-RXN,CPM-KDOSYNTH-RXN,CYSTATHIONINE-BETA-LYASE-RXN,D-PPENTOMUT-RXN (reverse),DAPASYN-RXN,DEOXYADENPHOSPHOR-RXN (reverse),DEOXYGUANPHOSPHOR-RXN (reverse),DEOXYRIBOSE-P-ALD-RXN (reverse),DEPHOSPHOCOAKIN-RXN,DETHIOBIOTIN-SYN-RXN,DHBDEHYD-RXN,DHHB-METHYLTRANSFER-RXN,DIAMINOPIMDECARB-RXN,DIAMINOPIMEPIM-RXN,DIHYDRODIPICSYN-RXN,DIHYDROFOLATESYNTH-RXN,DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN,DIHYDROOROT-RXN (reverse),DIHYDROOROTATE-DEHYDROGENASE-RXN-DI-H-OROTATE/UBIQUINONE-8//OROTATE/CPD-9956.44.,DIHYDROXYISOVALDEHYDRAT-RXN,DIHYDROXYMETVALDEHYDRAT-RXN,DIMETHUROPORDEHYDROG-RXN,DIOHBUTANONEPSYN-RXN,DMK-RXN,DTDPKIN-RXN,DTMPKI-RXN,DURIDKI-RXN,DXPREDISOM-RXN (reverse),DXS-RXN,ENTMULTI-RXN,ERYTH4PDEHYDROG-RXN,ERYTHRON4PDEHYDROG-RXN,FADSYN-RXN,FGAMSYN-RXN,FPPSYN-RXN,FRUCTOKINASE-RXN,GAPOXNPHOSPHN-RXN,GART-RXN-10-FORMYL-THF/5-PHOSPHO-RIBOSYL-GLYCINEAMIDE//THF/5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE/PROTON.90.,GDPKIN-RXN,GDPPYPHOSKIN-RXN,GLU6PDEHYDROG-RXN-GLC-6-P/NADP//D-6-P-GLUCONO-DELTA-LACTONE/NADPH/PROTON.55.,GLUC1PADENYLTRANS-RXN,GLUC1PURIDYLTRANS-RXN,GLUCOSAMINE-6-P-DEAMIN-RXN (reverse),GLUTAMINESYN-RXN,GLUTATHIONE-SYN-RXN,GLUTCYSLIG-RXN,GLUTDEHYD-RXN (reverse),GLUTKIN-RXN,GLUTRACE-RXN,GLUTRNAREDUCT-RXN (reverse),GLUTSEMIALDEHYDROG-RXN (reverse),GLYC3PDEHYDROGBIOSYN-RXN-GLYCEROL-3P/NAD//DIHYDROXY-ACETONE-PHOSPHATE/NADH/PROTON.57. (reverse),GLYCDEH-RXN,GLYCOLALD-DEHYDROG-RXN,GLYCOLATEDEHYDRO-RXN,GLYOHMETRANS-RXN-SER/CPD-1301//GLY/CPD-12996/WATER.34.,GLYOHMETRANS-RXN-SER/THF//GLY/METHYLENE-THF/WATER.33.,GLYRIBONUCSYN-RXN,GMKALT-RXN (reverse),GMP-SYN-NH3-RXN,GPPSYN-RXN,GSAAMINOTRANS-RXN,GTP-CYCLOHYDRO-I-RXN,GTP-CYCLOHYDRO-II-RXN,GUANYL-KIN-RXN,H2NEOPTERINALDOL-RXN,H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN,H2PTERIDINEPYROPHOSPHOKIN-RXN,H2PTEROATESYNTH-RXN,HISTAMINOTRANS-RXN (reverse),HISTCYCLOHYD-RXN,HISTIDPHOS-RXN[CCO-CYTOSOL]-L-HISTIDINOL-P/WATER//HISTIDINOL/Pi.49.,HISTPRATPHYD-RXN,HOMOCYSMET-RXN,HOMOCYSMETB12-RXN-HOMO-CYS/5-METHYL-THF//MET/THF.31.,HOMOSERDEHYDROG-RXN-HOMO-SER/NAD//L-ASPARTATE-SEMIALDEHYDE/NADH/PROTON.51. (reverse),HOMSUCTRAN-RXN,IGPSYN-RXN,IMIDPHOSDEHYD-RXN,IMP-DEHYDROG-RXN,IMPCYCLOHYDROLASE-RXN (reverse),INOPHOSPHOR-RXN (reverse),INORGPYROPHOSPHAT-RXN[CCO-CYTOSOL]-PPI/WATER//Pi/PROTON.34.,INOSINEKIN-RXN,ISOCHORMAT-RXN,ISOCIT-CLEAV-RXN,ISOCITDEH-RXN,ISPH2-RXN (reverse),KDO-8PPHOSPHAT-RXN,KDO-8PSYNTH-RXN,KDOTRANS-RXN,KDOTRANS2-RXN,LIPIDADISACCHARIDESYNTH-RXN,LIPIDXSYNTHESIS-RXN,LUMAZINESYN-RXN,MALSYN-RXN,METHENYLTHFCYCLOHYDRO-RXN-5-10-METHENYL-THF/WATER//10-FORMYL-THF/PROTON.46.,METHYLENETHFDEHYDROG-NADP-RXN-METHYLENE-THF/NADP//5-10-METHENYL-THF/NADPH.44.,METHYLMALONYL-COA-MUT-RXN (reverse),METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN,N-ACETYLGLUTPREDUCT-RXN (reverse),N-ACETYLTRANSFER-RXN,NACGLCTRANS-RXN,NAD-KIN-RXN,NAD-SYNTH-NH3-RXN,NADH-DEHYDROG-A-RXN-NADH/UBIQUINONE-8/PROTON//NAD/CPD-9956/PROTON.46.,NAG1P-URIDYLTRANS-RXN,NAPHTHOATE-SYN-RXN,NICONUCADENYLYLTRAN-RXN,NUCLEOSIDE-DIPHOSPHATASE-RXN-DUDP/WATER//DUMP/Pi/PROTON.27.,O-SUCCHOMOSERLYASE-RXN,O-SUCCINYLBENZOATE-COA-LIG-RXN,O-SUCCINYLBENZOATE-COA-SYN-RXN,OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN,OHMETHYLBILANESYN-RXN,ORNCARBAMTRANSFER-RXN,ORNDECARBOX-RXN,OROPRIBTRANS-RXN (reverse),OROTPDECARB-RXN,P-PANTOCYSDECARB-RXN,P-PANTOCYSLIG-RXN,PABASYN-RXN,PANTEPADENYLYLTRAN-RXN,PANTOATE-BETA-ALANINE-LIG-RXN,PANTOTHENATE-KIN-RXN,PDXJ-RXN,PEPCARBOX-RXN (reverse),PEPDEPHOS-RXN (reverse),PGLUCISOM-RXN-GLC-6-P//FRUCTOSE-6P.21. (reverse),PGLYCDEHYDROG-RXN,PGPPHOSPHA-RXN-CPD-12821/WATER//CPD-8260/Pi.29.,PHOSGLYPHOS-RXN (reverse),PHOSNACMURPENTATRANS-RXN,PHOSPHAGLYPSYN-RXN-CPD-12815/GLYCEROL-3P//CMP/CPD-12821/PROTON.44.,PHOSPHASERDECARB-RXN-CPD-12817/PROTON//CPD-12819/CARBON-DIOXIDE.43.,PHOSPHASERSYN-RXN-CPD-12815/SER//CMP/CPD-12817/PROTON.36.,PHOSPHOGLUCMUT-RXN-GLC-1-P//GLC-6-P.17. (reverse),PNPOXI-RXN,PORPHOBILSYNTH-RXN,PRAISOM-RXN,PREPHENATEDEHYDRAT-RXN,PREPHENATEDEHYDROG-RXN,PRIBFAICARPISOM-RXN,PROTOHEMEFERROCHELAT-RXN[CCO-CYTOSOL]-PROTOHEME/PROTON//PROTOPORPHYRIN_IX/FE+2.54. (reverse),PRPPAMIDOTRANS-RXN (reverse),PRPPSYN-RXN,PRTRANS-RXN (reverse),PSERTRANSAM-RXN (reverse),PSERTRANSAMPYR-RXN (reverse),PYRIMSYN1-RXN,PYRIMSYN3-RXN,PYRROLINECARBREDUCT-RXN-PRO/NAD//L-DELTA1-PYRROLINE_5-CARBOXYLATE/NADH/PROTON.54. (reverse),PYRUVDEH-RXN,QUINOLINATE-SYNTHA-RXN,QUINOPRIBOTRANS-RXN (reverse),R15-RXN-MET/2-KETOGLUTARATE//CPD-479/GLT.33. (reverse),R15-RXN-MET/GLYOX//CPD-479/GLY.23.,RIB5PISOM-RXN (reverse),RIBOFLAVIN-SYN-RXN,RIBOFLAVINKIN-RXN,RIBOFLAVINSYNDEAM-RXN,RIBOFLAVINSYNREDUC-RXN (reverse),RIBOPHOSPHAT-RXN,RIBOSYLHOMOCYSTEINASE-RXN,RIBULP3EPIM-RXN (reverse),RXN-10814 (reverse),RXN-11032 (reverse),RXN-11319,RXN-11475,RXN-11484,RXN-11832,RXN-12002,RXN-12588,RXN-12611,RXN-13158,RXN-13163 (reverse),RXN-13179,RXN-13202,RXN-13403,RXN-14014-DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE/NAD/WATER//CPD-14443/NADH/PROTON.70. (reverse),RXN-14025[CCO-CYTOSOL]-UMP/WATER//URIDINE/Pi.35.,RXN-14026[CCO-CYTOSOL]-CMP/WATER//CYTIDINE/Pi.36.,RXN-14047,RXN-14325,RXN-15216,RXN-15878 (reverse),RXN-15943 (reverse),RXN-16804,RXN-17900,RXN-19329 (reverse),RXN-19737,RXN-21483-PROTOPORPHYRINOGEN/UBIQUINONE-8//PROTOPORPHYRIN_IX/CPD-9956.60.,RXN-21817-CPD-9956/PROTON/OXYGEN-MOLECULE//UBIQUINONE-8/PROTON/WATER.59.,RXN-6081,RXN-6161,RXN-8001,RXN-8992,RXN-8999,RXN-9310,RXN-9311,RXN-9772,RXN-9952,RXN0-12,RXN0-1461,RXN0-16,RXN0-2421,RXN0-2501,RXN0-268 (reverse),RXN0-302,RXN0-305,RXN0-310,RXN0-313 (reverse),RXN0-4301,RXN0-4341,RXN0-4342,RXN0-4361,RXN0-5038,RXN0-5061,RXN0-5114[CCO-CYTOSOL]-3-P-SERINE/WATER//SER/Pi.38.,RXN0-5118,RXN0-5120,RXN0-5121,RXN0-5122,RXN0-5123,RXN0-5124,RXN0-5125,RXN0-5126,RXN0-5127,RXN0-5185[CCO-CYTOSOL]-CPD-2961/WATER//GLUCONATE/Pi.42.,RXN0-5186,RXN0-5224 (reverse),RXN0-5289 (reverse),RXN0-5461,RXN0-6550,RXN0-6562,RXN0-7352,RXN0-742,RXN0-743,RXN0-884 (reverse),RXN3O-470-ACETALD//CPD-255.17. (reverse),S-ADENMETSYN-RXN,SAICARSYN-RXN,SAMDECARB-RXN,SHIKIMATE-5-DEHYDROGENASE-RXN (reverse),SHIKIMATE-KINASE-RXN,SIROHEME-FERROCHELAT-RXN,SPERMIDINESYN-RXN,SPONTPRO-RXN (reverse),SUCCCOASYN-RXN (reverse),SUCCDIAMINOPIMDESUCC-RXN,SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN-SUC/UBIQUINONE-8//FUM/CPD-9956.31.,SUCCINYLDIAMINOPIMTRANS-RXN (reverse),SULFATE-ADENYLYLTRANS-RXN,SULFITE-REDUCT-RXN (reverse),TETHYDPICSUCC-RXN,TETRAACYLDISACC4KIN-RXN,THI-P-KIN-RXN,THREDEHYD-RXN,THREONINE-ALDOLASE-RXN (reverse),THYMIDYLATESYN-RXN-METHYLENE-THF/DUMP//TMP/DIHYDROFOLATE.38.,TRANS-RXN-1,TRANS-RXN-114,TRANS-RXN-141,TRANS-RXN-141A,TRANS-RXN-141B,TRANS-RXN-145,TRANS-RXN-3,TRANS-RXN-62A,TRANS-RXN0-277 (reverse),TRANS-RXN0-286,TRANS-RXN0-459,TRANS-RXN0-461,TRANS-RXN0-474,TRANS-RXN0-497,TRANS-RXN0-500,TRANS-RXN0-545[CCO-PM-BAC-NEG]-CARBON-DIOXIDE//CARBON-DIOXIDE.47. (reverse),TRANS-RXN0-556[CCO-PM-BAC-NEG]-CARBON-MONOXIDE//CARBON-MONOXIDE.49. (reverse),TRANS-RXN0-586,TRIOSEPISOMERIZATION-RXN (reverse),TRYPSYN-RXN,TYROSINE-AMINOTRANSFERASE-RXN (reverse),UDP-NACMUR-ALA-LIG-RXN,UDP-NACMURALA-GLU-LIG-RXN,UDP-NACMURALGLDAPAALIG-RXN,UDP-NACMURALGLDAPLIG-RXN,UDPACYLGLCNACDEACETYL-RXN,UDPGLUCEPIM-RXN,UDPKIN-RXN,UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN,UDPNACETYLMURAMATEDEHYDROG-RXN (reverse),UGD-RXN,UNDECAPRENYL-DIPHOSPHATASE-RXN[CCO-CYTOSOL]-UNDECAPRENYL-DIPHOSPHATE/WATER//CPD-9646/Pi/PROTON.64.,URA-PHOSPH-RXN (reverse),UROGENDECARBOX-RXN,UROGENIIISYN-RXN,glycogen-monomer-extension,GLURS-RXN-GLT-tRNAs/GLT/ATP/PROTON//Charged-GLT-tRNAs/AMP/PPI.52.,RXN0-5405,RXN-11302,1.8.4.8-RXN (reverse),2.3.1.180-RXN,3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C0-H0//POLYMER-INST-TRANS-D2-ENOYL-ACP-C0-H0/WATER.76.,3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C12-H24//2-Hexadecenoyl-ACPs/WATER.60.,3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C4-H8//POLYMER-INST-TRANS-D2-ENOYL-ACP-C4-H8/WATER.76.,3-OXOACYL-ACP-REDUCT-RXN-Beta-hydroxydecanoyl-ACPs/NADP//POLYMER-INST-B-KETOACYL-ACP-C6-H12/NADPH/PROTON.80. (reverse),3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C0-H0/NADP//Acetoacetyl-ACPs/NADPH/PROTON.67. (reverse),3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C12-H24/NADP//3-oxo-palmitoyl-ACPs/NADPH/PROTON.73. (reverse),3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C4-H8/NADP//3-Oxo-octanoyl-ACPs/NADPH/PROTON.70. (reverse),3-OXOACYL-ACP-SYNTH-RXN-MALONYL-ACP/POLYMER-INST-Saturated-Fatty-Acyl-ACPs-C4-H8/PROTON//ACP/POLYMER-INST-B-KETOACYL-ACP-C6-H12/CARBON-DIOXIDE.119.,BIOTIN-CARBOXYL-RXN,ENOYL-ACP-REDUCT-NADH-RXN-Butanoyl-ACPs/NAD//POLYMER-INST-TRANS-D2-ENOYL-ACP-C0-H0/NADH/PROTON.69. (reverse),ENOYL-ACP-REDUCT-NADH-RXN-POLYMER-INST-Saturated-Fatty-Acyl-ACPs-C4-H8/NAD//POLYMER-INST-TRANS-D2-ENOYL-ACP-C4-H8/NADH/PROTON.100. (reverse),FERREDOXIN--NAD+-REDUCTASE-RXN (reverse),LAUROYLACYLTRAN-RXN,MALONYL-COA-ACP-TRANSACYL-RXN,MYRISTOYLACYLTRAN-RXN,PRODISULFREDUCT-A-RXN-GLUTATHIONE/Oxidized-NrdH-Proteins//OXIDIZED-GLUTATHIONE/Reduced-NrdH-Proteins.79.,PYFLAVOXRE-RXN,PYRUFLAVREDUCT-RXN,RXN-11474,RXN-11476 (reverse),RXN-11477,RXN-11478 (reverse),RXN-11479,RXN-11480 (reverse),RXN-11481,RXN-11482 (reverse),RXN-11483,RXN-17018,RXN-9516,RXN-9518 (reverse),RXN-9520,RXN-9523,RXN-9531,RXN-9532 (reverse),RXN-9533,RXN-9535,RXN-9536 (reverse),RXN-9537,RXN-9539,RXN-9655,RXN-9658 (reverse),RXN-9660 (reverse),RXN-9661 (reverse),RXN-9662 (reverse),RXN-9663 (reverse),RXN-9787,RXN-9788,RXN-9789,RXN0-5055,RXN0-6705,RXN0-6717,RXN0-722 (reverse),RXN0-723,RXN0-745,RXN0-746,RXN0-748 (reverse),THIAZOLSYN2-RXN,THIOREDOXIN-REDUCT-NADPH-RXN (reverse),TRANS-RXN0-582-FRU/PTSI-PHOSPHORYLATED//FRU1P/PTSI-MONOMER.44.,UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN,UDPNACETYLGLUCOSAMACYLTRANS-RXN,325-BISPHOSPHATE-NUCLEOTIDASE-RXN__EG10043-MONOMER,ACETOLACTSYN-RXN__ACETOLACTSYNI-CPLX,ALARACECAT-RXN__CPLX0-8202,ASNSYNA-RXN__ASNSYNB-CPLX,ASPARTATEKIN-RXN__ASPKINIHOMOSERDEHYDROGI-CPLX,CATAL-RXN__HYDROPEROXIDI-CPLX,CHORISMATEMUT-RXN__CHORISMUTPREPHENDEHYDROG-CPLX,DAHPSYN-RXN__AROG-CPLX,DAHPSYN-RXN__AROF-CPLX,DAHPSYN-RXN__AROH-CPLX,DALADALALIG-RXN__DALADALALIGB-CPLX,DALADALALIG-RXN__DALADALALIGA-MONOMER,DARAB5PISOM-RXN__CPLX0-1262 (reverse),F16ALDOLASE-RXN__FRUCBISALD-CLASSII,F16ALDOLASE-RXN__FRUCBISALD-CLASSI,F16BDEPHOS-RXN[CCO-CYTOSOL]-FRUCTOSE-16-DIPHOSPHATE/WATER//FRUCTOSE-6P/Pi.59.__F16B-CPLX,F16BDEPHOS-RXN[CCO-CYTOSOL]-FRUCTOSE-16-DIPHOSPHATE/WATER//FRUCTOSE-6P/Pi.59.__EG11239-MONOMER,F16BDEPHOS-RXN[CCO-CYTOSOL]-FRUCTOSE-16-DIPHOSPHATE/WATER//FRUCTOSE-6P/Pi.59.__CPLX0-303,F16BDEPHOS-RXN[CCO-CYTOSOL]-FRUCTOSE-16-DIPHOSPHATE/WATER//FRUCTOSE-6P/Pi.59.__CPLX0-7776,GLUTDECARBOX-RXN__GLUTDECARBOXB-CPLX,ISOCHORSYN-RXN__ENTC-MONOMER,ISOCHORSYN-RXN__MENF-CPLX,RXN-9535__FABB-CPLX,RXN0-313__CPLX0-201 (reverse),RXN0-384__H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER,RXN0-5186__G7408-MONOMER,SERINE-O-ACETTRAN-RXN__CPLX0-237,SERINE-O-ACETTRAN-RXN__CYSSYNMULTI-CPLX,UNDECAPRENYL-DIPHOSPHATASE-RXN[CCO-CYTOSOL]-UNDECAPRENYL-DIPHOSPHATE/WATER//CPD-9646/Pi/PROTON.64.__PGPPHOSPHAB-MONOMER,URPHOS-RXN__URPHOS-CPLX,maintenance_reaction
NAD[c],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NADH[c],-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROTON[c],-1,-1,1,0,-1,1,-1,1,1,-1,1,0,-1,1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,0,0,0,0,0,1,1,0,0,0,2,1,1,0,0,1,0,0,0,1,0,1,1,0,0,-1,0,1,-1,0,3,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,1,3,1,1,-1,0,1,1,0,-1,0,0,0,2,1,-1,0,0,1,-1,-1,3,2,1,-1,1,0,1,1,1,0,1,1,-1,-1,0,1,1,1,-1,0,0,-1,-1,-1,1,2,0,0,0,1,0,2,0,0,1,2,0,0,1,1,0,0,0,0,1,0,0,-1,0,-1,0,1,0,0,1,1,0,0,0,-2,0,0,1,1,1,2,1,1,1,0,0,0,-1,1,1,1,1,-5,-1,-1,-1,1,1,0,0,0,0,1,-1,0,-1,-1,1,0,-1,1,1,1,0,-1,0,1,0,0,0,1,-1,1,0,0,1,0,-1,0,0,2,0,1,0,0,0,3,0,-2,0,0,-2,0,0,0,-1,1,-1,-1,0,0,0,0,-1,1,0,-1,0,0,0,-2,0,0,0,2,1,-1,0,0,0,2,0,1,0,0,1,-1,1,0,-8,-1,-1,3,0,0,0,1,1,0,0,-2,0,1,-1,0,0,0,-1,0,0,1,-1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,-1,1,0,0,0,2,0,-2,0,0,1,-1,-1,1,2,1,1,0,0,0,0,-1,-5,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,-1,3,1,0,-4,0,0,0,0,0,2,-1,0,0,0,-1,-1,-1,-1,-1,1,-1,-1,1,0,0,0,0,-1,1,-1,-1,0,-1,-1,-1,0,-1,1,0,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,-1,-1,-1,0,0,-1,0,1,0,0,-1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,0,0,1,0,1
