Proteins	Genes	Accession-1 of Gene	Common-Name
G7278-MONOMER	G7278	b2448	yffQ
G6311-MONOMER	G6311	b0556	rzpD
MONOMER0-4547	G0-17094	b4819	ypeD
AGAC-MONOMER	EG12770	b3139	agaC
EG12106-MONOMER	EG12106	b0107	hofB
PD01103	EG11109	b0730	mngR
G7702-MONOMER	G7702	b3324	gspC
EMRB-MONOMER	EG11439	b2686	emrB
RPON-MONOMER	EG10898	b3202	rpoN
EG11674-MONOMER	EG11674	b3059	plsY
MONOMER0-4548	G0-17095	b4820	yrfJ
FEPB-MONOMER	EG10294	b0592	fepB
7KAPSYN-MONOMER	EG10121	b0776	bioF
TDPFUCACTRANS-MONOMER	EG11455	b3790	rffC
EG12866-MONOMER	EG12866	b1831	proQ
EG12359-MONOMER	EG12359	b0719	ybgD
DCUC-MONOMER	G6347	b0621	dcuC
EG10559-MONOMER	EG10559	b4037	malM
SHIA-MONOMER	G7067	b1981	shiA
B0260-MONOMER	G6135	b0260	mmuP
G6730-MONOMER	G6730	b1411	ynbD
EG10725-MONOMER	EG10725	b4092	phnP
EG11484-MONOMER	EG11484	b3848	yigZ
ACETOLACTSYNIII-HCHAIN-MONOMER	EG10499	b0078	ilvH
EG12030-MONOMER	EG12030	b2162	rihB
TRG-MONOMER	EG11018	b1421	trg
EG11730-MONOMER	EG11730	b3745	viaA
DCUA-MONOMER	EG11225	b4138	dcuA
EG11816-MONOMER	EG11816	b2746	ispF
DAPASYN-MONOMER	EG10117	b0774	bioA
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	EG10425	b1619	hdhA
MONOMER0-4259	G0-10546	G0-10546	insCD6
YBHR-MONOMER	G6409	b0792	ybhR
EG11931-MONOMER	EG11931	b4048	yjbM
G7349-MONOMER	G7349	b2583	tapT
POTG-MONOMER	EG11630	b0855	potG
ANTHRANSYNCOMPII-MONOMER	EG11027	b1263	trpD
EG11845-MONOMER	EG11845	b3880	yihS
DIAMINOPIMDECARB-MONOMER	EG10549	b2838	lysA
G7049-MONOMER	G7049	b1956	dgcQ
EG12385-MONOMER	EG12385	b2216	rcsD
G6422-MONOMER	G6422	b0819	ldtB
EG11736-MONOMER	EG11736	b0200	gmhB
UDPGLUCEPIM-MONOMER	EG10362	b0759	galE
PROTEIN-PII	EG10384	b2553	glnB
ACEF-LIPOATE	EG10025	b0115	aceF
EG12705-MONOMER	EG12705	b2958	yggN
PROV-MONOMER	EG10771	b2677	proV
EG11152-MONOMER	EG11152	b2605	yfiB
THRESYN-MONOMER	EG11000	b0004	thrC
FLIN-FLAGELLAR-C-RING-SWITCH	EG10324	b1946	fliN
G7645-MONOMER	G7645	b3151	yraQ
YHDX-MONOMER	EG12835	b3269	yhdX
YPHD-MONOMER	G7340	b2546	yphD
EG11425-MONOMER	EG11425	b3625	waaY
G6439-MONOMER	G6439	b0841	ybjG
EG11930-MONOMER	EG11930	b4047	yjbL
ATPC-MONOMER	EG10100	b3731	atpC
EG10106-MONOMER	EG10106	b3739	atpI
CITRYLY-MONOMER	G6342	b0616	citE
DTDPGLUCOSEPP-MONOMER	EG11978	b2039	rfbA
B2170-MONOMER	EG12034	b2170	setB
MONOMER0-4483	G0-17017	b4771	ychT
MALIC-NADP-MONOMER	G7293	b2463	maeB
EG10535-MONOMER	EG10535	b1139	lit
EG11117-MONOMER	EG11117	b1063	yceB
GLUCOSAMINE-6-P-DEAMIN-MONOMER	EG10633	b0678	nagB
EG10513-MONOMER	EG10513	b0698	kdpA
EG11293-MONOMER	EG11293	b1209	lolB
G6506-MONOMER	G6506	b0985	gfcC
G6853-MONOMER	G6853	b1595	ynfL
EG12794-MONOMER	EG12794	b3180	yhbY
B4141-MONOMER	G7833	b4141	yjeH
YGFU-MONOMER	G7507	b2888	uacT
EG10851-MONOMER	EG10851	b1066	rimJ
MONOMER0-2755	G0-10535	G0-10535	insAB1
EG10834-MONOMER	EG10834	b0472	recR
TPI-MONOMER	EG11015	b3919	tpiA
G6804-MONOMER	G6804	b1517	lsrF
YJDE-MONOMER	EG12462	b4115	adiC
G7751-MONOMER	G7751	b3421	rtcB
EG12366-MONOMER	EG12366	b2946	rsmE
DGTPTRIPHYDRO-MONOMER	EG10225	b0160	dgt
MONOMER0-2882	G0-10655	b4682	yqcG
G7644-MONOMER	G7644	b3150	dolP
EG11157-MONOMER	EG11157	b2840	ygeA
EG10656-MONOMER	EG10656	b3188	sfsB
G7288-MONOMER	G7288	b2458	eutD
ASPS-CPLX	EG10097	b1866	aspS
MONOMER0-2855	G0-10629	b4666	ibsE
MONOMER0-2656	G0-10434	b4506	ykgO
G7923-MONOMER	G7923	b4326	iraD
NAPH-MONOMER	EG12062	b2204	napH
G7433-MONOMER	G7433	b2767	ygcO
G6919-MONOMER	G6919	b1696	ydiP
SPED-MONOMER	EG10962	b0120	speD
G6934-MONOMER	G6934	b1729	tcyP
B1296-MONOMER	G6643	b1296	puuP
YJCE-MONOMER	EG11940	b4065	yjcE
G6463-MONOMER	G6463	b0881	clpS
G6871-MONOMER	G6871	b1627	rsxA
G6504-MONOMER	G6504	b0983	gfcE
EG10286-MONOMER	EG10286	b4291	fecA
LSERINEDEAM3-MONOMER	G7624	b4471	tdcG
TORA-MONOMER	EG11814	b0997	torA
G6123-MONOMER	G6123	b0248	yafX
MONOMER0-2684	G0-10462	b4546	ypeB
EG10574-MONOMER	EG10574	b4346	mcrB
EG11522-MONOMER	EG11522	b0702	ybfB
G7865-MONOMER	G7865	b4207	fklB
EG12005-MONOMER	EG12005	b2124	yehS
G7630-MONOMER	G7630	b3131	agaR
EG12657-MONOMER	EG12657	b3029	ygiN
G6193-MONOMER	G6193	b0328	yahN
ISOCIT-LYASE-MONOMER	EG10022	b4015	aceA
MONOMER0-4532	G0-17074	b4803	speFL
EG11870-MONOMER	EG11870	b3910	yiiM
NUOL-MONOMER	EG12092	b2278	nuoL
G6472-MONOMER	G6472	b0917	ycaR
G7471-MONOMER	G7471	b2851	ygeG
EG12171-MONOMER	EG12171	b4380	yjjI
G6968-MONOMER	G6968	b1782	mipA
EG12263-MONOMER	EG12263	b3536	bcsE
EG11275-MONOMER	EG11275	b3672	ivbL
G7217-MONOMER	G7217	b2347	yfdC
OROPRIBTRANS-MONOMER	EG10808	b3642	pyrE
G7280-MONOMER	G7280	b2450	yffS
PROTEIN-CHEA	EG10146	b1888	cheA
EG11310-MONOMER	EG11310	b1407	ydbD
G7705-MONOMER	G7705	b3327	gspF
EG12308-MONOMER	EG12308	b2561	yfhH
G7535-MONOMER	G7535	b2968	yghD
HYCG-MONOMER	EG10480	b2719	hycG
EG10913-MONOMER	EG10913	b3307	rpsN
EG11605-MONOMER	EG11605	b3284	smg
YDDR-MONOMER	G6780	b1486	ddpB
PHOSPHO-EVGS	EG11610	b2370	evgS
EG11193-MONOMER	EG11193	b3645	dinD
MONOMER0-1581	G0-9582	b4415	hokE
EG11952-MONOMER	EG11952	b4080	mdtP
L-LACTDEHYDROGFMN-MONOMER	EG11963	b3605	lldD
EG12291-MONOMER	EG12291	b3587	yiaW
EG11703-MONOMER	EG11703	b0463	acrA
G6855-MONOMER	G6855	b1597	asr
MONOMER-4603	EG50003	b1094	acpP
EG11038-MONOMER	EG11038	b1610	tus
MANY-MONOMER	EG10568	b1818	manY
G6894-MONOMER	G6894	b1664	ydhQ
NUPC-MONOMER	EG11971	b2393	nupC
EG12401-MONOMER	EG12401	b2517	rlmN
G6572-MONOMER	G6572	b1115	ycfT
EG11449-MONOMER	EG11449	b4480	hdfR
EG11471-MONOMER	EG11471	b3827	bioP
GLYOHMETRANS-MONOMER	EG10408	b2551	glyA
MONOMER0-4255	G0-10542	G0-10542	insCD2
EG11241-MONOMER	EG11241	b0897	ycaC
DCUR-MONOMER	G7826	b4124	dcuR
RCSF-MONOMER	EG11502	b0196	rcsF
EG11263-MONOMER	EG11263	b3322	gspB
MONOMER0-1941	G0-9981	b4613	dinQ
G7228-MONOMER	G7228	b2359	yfdP
EG12120-MONOMER	EG12120	b1234	rssA
G7870-MONOMER	G7870	b4215	ytfI
SUCCORNTRANSAM-MONOMER	G6944	b1748	astC
YCGO-MONOMER	G6620	b1191	cvrA
G6785-MONOMER	G6785	b1491	digH
EG11750-MONOMER	EG11750	b3411	rpnA
G6164-MONOMER	G6164	b0293	ecpA
EG11921-MONOMER	EG11921	b4022	rluF
G7532-MONOMER	G7532	b2962	yggX
G6925-MONOMER	G6925	b1707	rflP
SUCCGLUDESUCC-MONOMER	G6940	b1744	astE
PPX-MONOMER	EG11403	b2502	ppx
G7523-MONOMER	G7523	b2941	yqgD
G6682-MONOMER	G6682	b1358	ydaT
ANGLYC3PDEHYDROGSUBUNITC-MONOMER	EG10393	b2243	glpC
MONOMER0-4543	G0-17090	b4815	ykfO
G6633-MONOMER	G6633	b1248	yciU
MANNPGUANYLTRANGDP-MONOMER	EG10161	b2049	cpsB
B1596-MONOMER	G6854	b1596	ynfM
G7746-MONOMER	G7746	b3407	yhgF
PHNL-MONOMER	EG10721	b4096	phnL
G7454-MONOMER	G7454	b2810	csdA
G6703-MONOMER	G6703	b1381	ydbH
PHOB-MONOMER	EG10728	b0399	phoB
MHPELY-MONOMER	G6205	b0352	mhpE
PD00361	EG10557	b1620	malI
G7083-MONOMER	G7083	b2003	yeeT
EG12610-MONOMER	EG12610	b0056	yabP
G7663-MONOMER	G7663	b3198	kdsC
PHOSPHASERDECARB-ALPHA-MONOMER	EG10775	b4160	psd
G7182-MONOMER	G7182	b2275	yfbP
G6579-MONOMER	G6579	b1122	ymfA
G6450-MONOMER	G6450	b0865	ybjP
YAAU-MONOMER	EG11566	b0045	yaaU
G7830-MONOMER	G7830	b4128	ghoS
NAPB-MONOMER	EG12061	b2203	napB
ARAF-MONOMER	EG10057	b1901	araF
MONOMER0-4147	EG11285	b2554	glrR
EG12248-MONOMER	EG12248	b3522	yhjD
MONOMER0-2818	G0-10589	b4593	ymgI
EG11859-MONOMER	EG11859	b3895	fdhD
POTC-MONOMER	EG10751	b1124	potC
EG10485-MONOMER	EG10485	b2728	hypC
G7909-MONOMER	G7909	b4295	yjhU
AERGLYC3PDEHYDROG-MONOMER	EG10394	b3426	glpD
G6843-MONOMER	G6843	b1585	ynfC
G6914-MONOMER	G6914	b1688	ydiK
G7559-MONOMER	G7559	b3002	yqhA
SDH-FLAVO	EG10931	b0723	sdhA
EG10297-MONOMER	EG10297	b0587	fepE
CAIC-MONOMER	EG11558	b0037	caiC
YIDK-MONOMER	EG11706	b3679	yidK
G7777-MONOMER	G7777	b3558	insK
EG11344-MONOMER	EG11344	b1133	mnmA
G6631-MONOMER	G6631	b1228	ychS
MONOMER0-2801	G0-10580	b4637	uof
EG11973-MONOMER	EG11973	b0140	yadV
EG12844-MONOMER	EG12844	b2017	yefM
YCAD-MONOMER	EG11242	b0898	ycaD
PYRROLINECARBREDUCT-MONOMER	EG10769	b0386	proC
G6691-MONOMER	G6691	b1368	ynaA
LYXK-MONOMER	EG12284	b3580	lyxK
G6809-MONOMER	G6809	b1523	yneG
G7073-MONOMER	G7073	b1990	ldtA
ENTA-MONOMER	EG10259	b0596	entA
EG12027-MONOMER	EG12027	b2158	yeiH
EG10917-MONOMER	EG10917	b4202	rpsR
G6993-MONOMER	G6993	b1809	yoaB
G7522-MONOMER	G7522	b2940	yqgC
EG11783-MONOMER	EG11783	b2622	intA
ACETYL-COA-ACETYLTRANSFER-MONOMER	EG11672	b2224	atoB
EG10973-MONOMER	EG10973	b2708	gutQ
EG10212-MONOMER	EG10212	b1538	dcp
PD00406	EG10958	b4062	soxS
EUTC-MONOMER	EG50007	b2440	eutC
G6746-MONOMER	G6746	b1435	rlhA
EG11748-MONOMER	EG11748	b0132	rpnC
AROK-MONOMER	EG10081	b3390	aroK
O-SUCCINYLBENZOATE-COA-LIG-MONOMER	EG12437	b2260	menE
G6508-MONOMER	G6508	b0987	gfcA
G7266-MONOMER	G7266	b2431	yfeX
ZNUB-MONOMER	EG12368	b1859	znuB
MONOMER0-2675	G0-10453	b4535	yniD
METHYLMALONYL-COA-MUT-MONOMER	EG11444	b2917	scpA
G7727-MONOMER	G7727	b3375	frlR
URACIL-PRIBOSYLTRANS-MONOMER	EG11332	b2498	upp
EG12449-MONOMER	EG12449	b2330	prmB
LDC2-MONOMER	G6094	b0186	ldcC
EG11794-MONOMER	EG11794	b2806	rlmM
THIG-MONOMER	EG11589	b3991	thiG
EG12326-MONOMER	EG12326	b0137	yadL
FUM-MEMB2	EG10333	b4151	frdD
G6414-MONOMER	G6414	b0805	fiu
EG11035-MONOMER	EG11035	b0411	tsx
EG11650-MONOMER	EG11650	b0209	yafD
G6100-MONOMER	G6100	b0213	yafS
EG10416-MONOMER	EG10416	b2614	grpE
G357-MONOMER	G357	b1072	flgA
MONOMER0-4447	G7126	b2089	insF5
HYBA-MONOMER	EG11799	b2996	hybA
G6979-MONOMER	G6979	b1793	yoaF
EG11274-MONOMER	EG11274	b1265	trpL
G7825-MONOMER	G7825	b4121	yjdF
GLUTATHIONE-SYN-MONOMER	EG10419	b2947	gshB
EG11990-MONOMER	EG11990	b2111	yehD
EG11549-MONOMER	EG11549	b1127	pepT
EG12857-MONOMER	EG12857	b2586	yfiM
G6873-MONOMER	G6873	b1629	rsxC
EG12137-MONOMER	EG12137	b0192	nlpE
PD00521	EG10338	b0080	cra
G7950-MONOMER	G7950	b4371	rsmC
EG12237-MONOMER	EG12237	b3503	arsC
PHET-MONOMER	EG10710	b1713	pheT
G6407-MONOMER	G6407	b0790	ybhP
MONOMER0-4229	G0-10539	G0-10539	insAB5
CHEA-SMALL	EG10146	b1888	cheA
EG11826-MONOMER	EG11826	b0981	etk
MONOMER0-4410	G0-16728	b4733	ylcJ
LAUROYLACYLTRAN-MONOMER	EG10464	b1054	lpxL
EG11912-MONOMER	EG11912	b3953	frwD
PHOSPHO-DPIA	G6346	b0620	dpiA
G7192-MONOMER	G7192	b2300	yfcE
MONOMER0-2879	G0-10652	b4679	yohP
YBDA-MONOMER	EG11104	b0591	entS
G6115-MONOMER	G6115	b0231	dinB
MONOMER0-147	EG12423	b0368	tauD
G7544-MONOMER	G7544	b4468	glcE
EG11914-MONOMER	EG11914	b3955	eptC
MONOMER0-6	G7249	b2386	fryC
MONOMER0-143	G7303	b2486	hyfF
EG11254-MONOMER	EG11254	b0636	rlmH
EG11467-MONOMER	EG11467	b3820	yigI
MONOMER0-2690	G0-10468	b4554	yibT
YCJO-MONOMER	G6649	b1311	ycjO
G7920-MONOMER	G7920	b4310	nanM
EG10785-MONOMER	EG10785	b1204	pth
KDUD-MONOMER	EG12361	b2842	kduD
G7382-MONOMER	G7382	b2647	ypjA
G7802-MONOMER	G7802	b3808	yzcX
PD00194	EG10070	b3237	argR
G7689-MONOMER	G7689	b3244	tldD
MONOMER0-2817	G0-10588	b4592	appX
HYDROPEROXIDI-MONOMER	EG10511	b3942	katG
POTD-MONOMER	EG10752	b1123	potD
G7842-MONOMER	G7842	b4162	orn
UPPSYN-MONOMER	G6092	b0174	ispU
EG11739-MONOMER	EG11739	b0569	nfrB
G7913-MONOMER	G7913	b4300	sgcR
G6250-MONOMER	G6250	b0453	ybaY
H2NEOPTERINALDOL-MONOMER	EG11673	b3058	folB
G6339-MONOMER	G6339	b0613	citG
B0770-MONOMER	G6400	b0770	ybhI
APHA-MONOMER	EG11934	b4055	aphA
G6403-MONOMER	G6403	b0786	ybhL
MONOMER0-5	G7264	b2429	murP
EG10823-MONOMER	EG10823	b2699	recA
PURE-MONOMER	EG10793	b0523	purE
LIPOYL-GCVH	EG10371	b2904	gcvH
EG12213-MONOMER	EG12213	b3467	yhhM
G7632-MONOMER	G7632	b3133	agaV
FRWB-MONOMER	EG11909	b3950	frwB
DIAMINOPIMEPIM-MONOMER	EG10209	b3809	dapF
NIRD-MONOMER	EG10655	b3366	nirD
TRANSALDOLB-MONOMER	EG11556	b0008	talB
G6629-MONOMER	G6629	b1202	ycgV
EG11261-MONOMER	EG11261	b0851	nfsA
G6385-MONOMER	G6385	b0716	ybgO
FABH-MONOMER	EG10277	b1091	fabH
YHDZ-MONOMER	EG12837	b3271	yhdZ
EG10085-MONOMER	EG10085	b2716	ascB
EG11932-MONOMER	EG11932	b4049	dusA
G7631-MONOMER	G7631	b3132	kbaZ
G6426-MONOMER	G6426	b0823	ybiW
G7046-MONOMER	G7046	b1953	yodD
PD00251	EG10111	b0313	betI
G6104-MONOMER	G6104	b0220	ivy
ACYLCOADEHYDROG-MONOMER	G6105	b0221	fadE
G6589-MONOMER	G6589	b1145	ymfK
MONOMER0-741	G372	b4406	yaeP
EG11571-MONOMER	EG11571	b0065	yabI
EG12053-MONOMER	EG12053	b2195	ccmG
EG12254-MONOMER	EG12254	b3527	yhjJ
PHOSPHO-RCSC	EG10822	b2218	rcsC
EG11253-MONOMER	EG11253	b0925	ldtD
EG11090-MONOMER	EG11090	b0159	mtn
G7050-MONOMER	G7050	b1957	yodC
BASS-MONOMER	EG11614	b4112	basS
EG11917-MONOMER	EG11917	b4001	yjaH
EG12315-MONOMER	EG12315	b0117	yacH
G7936-MONOMER	G7936	b4340	yjiR
G7020-MONOMER	G7020	b1870	cmoA
DHPDIOXYGEN-MONOMER	M011	b0348	mhpB
B2075-MONOMER	G7114	b2075	mdtB
G6318-MONOMER	G6318	b0570	cusS
MONOMER0-2682	G0-10460	b4544	arnE
EG11399-MONOMER	EG11399	b3509	hdeB
EG10048-MONOMER	EG10048	b0049	apaH
EG11962-MONOMER	EG11962	b3604	lldR
AROC-MONOMER	EG10075	b2329	aroC
GLYCPDIESTER-PERI-MONOMER	EG10399	b2239	glpQ
EG11696-MONOMER	EG11696	b3676	yidH
THI-P-KIN-MONOMER	G6234	b0417	thiL
G6129-MONOMER	G6129	b0254	perR
EG10484-MONOMER	EG10484	b2727	hypB
G369-MONOMER	G369	b1071	flgM
G6738-MONOMER	G6738	b1423	ydcJ
G6263-MONOMER	G6263	b0487	cueR
BIOTIN-CARBOXYL-MONOMER	EG10276	b3256	accC
EG12096-MONOMER	EG12096	b4225	chpB
G6510-MONOMER	G6510	b0989	cspH
G6490-MONOMER	G6490	b0950	pqiA
G7457-MONOMER	G7457	b2813	mltA
PHOSPHO-ARCB-ASP	EG10062	b3210	arcB
G7372-MONOMER	G7372	b2637	yfjT
N-ACETYLGLUTPREDUCT-MONOMER	EG10065	b3958	argC
EG11544-MONOMER	EG11544	b3512	gadE
EG10373-MONOMER	EG10373	b0018	mokC
G7344-MONOMER	G7344	b2550	yphH
G7525-MONOMER	G7525	b2949	yqgF
G7233-MONOMER	G7233	b2368	emrK
METG-MONOMER	EG10586	b2114	metG
PANTEPADENYLYLTRAN-MONOMER	EG11190	b3634	coaD
G7167-MONOMER	G7167	b2254	arnC
G7345-MONOMER	G7345	b2556	glrK
EG12375-MONOMER	EG12375	b0913	ycaI
EG10925-MONOMER	EG10925	b1863	ruvC
EG11694-MONOMER	EG11694	b3674	yidF
EG11063-MONOMER	EG11063	b1913	uvrC
G6793-MONOMER	G6793	b1503	ydeR
EG11950-MONOMER	EG11950	b4076	nrfG
G7015-MONOMER	G7015	b1843	yobB
USHA-MONOMER	EG11060	b0480	ushA
ALARACEBIOSYN-MONOMER	EG10001	b4053	alr
MONOMER0-4391	G0-16686	b4720	ytiC
G6547-MONOMER	G6547	b1041	csgB
GLNQ-MONOMER	EG10389	b0809	glnQ
G6103-MONOMER	G6103	b0219	yafV
G7347-MONOMER	G7347	b2570	rseC
EG12246-MONOMER	EG12246	b3520	yhjB
G7410-MONOMER	G7410	b2701	mltB
G6240-MONOMER	G6240	b0426	yajQ
TRYPSYN-BPROTEIN	EG11025	b1261	trpB
G7080-MONOMER	G7080	b2000	flu
G7513-MONOMER	G7513	b2900	yqfB
MONOMER0-921	G0-9041	b4453	ldrD
EG11266-MONOMER	EG11266	b3615	waaH
EG10504-MONOMER	EG10504	b0884	infA
PD02936	EG10301	b2731	fhlA
EG11145-MONOMER	EG11145	b2395	pdeA
EG11105-MONOMER	EG11105	b0597	entH
G7319-MONOMER	G7319	b2511	der
ASPKINIHOMOSERDEHYDROGI-MONOMER	EG10998	b0002	thrA
G6133-MONOMER	G6133	b0258	ykfC
G6176-MONOMER	G6176	b0306	ykgE
XASA-MONOMER	G6786	b1492	gadC
EG12271-MONOMER	EG12271	b3552	yiaD
GLUCDEHYDROG-MONOMER	EG10369	b0124	gcd
EG12336-MONOMER	EG12336	b0163	yaeH
TYRS-MONOMER	EG11043	b1637	tyrS
EG12443-MONOMER	EG12443	b2959	yggL
EG11289-MONOMER	EG11289	b2147	preA
EG11279-MONOMER	EG11279	b4246	pyrL
G7003-MONOMER	G7003	b1827	kdgR
YDCV-MONOMER	G6754	b1443	ydcV
MONOMER0-4496	G0-17030	b4784	yqgG
G6454-MONOMER	G6454	b0869	ybjT
G7271-MONOMER	G7271	b2439	eutL
SECE	EG10939	b3981	secE
G7537-MONOMER	G7537	b2970	yghF
MONOMER0-1601	G0-9602	b4419	ldrA
G7816-MONOMER	G7816	b4484	cpxP
DSBD-MONOMER	EG12178	b4136	dsbD
FTSX-MONOMER	EG10345	b3462	ftsX
CTPSYN-MONOMER	EG10810	b2780	pyrG
MONOMER0-4415	G0-16733	b4738	ymgK
FHUB-MONOMER	EG10303	b0153	fhuB
PD01352	EG12301	b1013	rutR
G6155-MONOMER	G6155	b0284	paoC
EG10472-MONOMER	EG10472	b0976	hyaE
G6380-MONOMER	G6380	b0711	pxpB
G6935-MONOMER	G6935	b1730	ydjO
G7496-MONOMER	G7496	b2877	mocA
EG11688-MONOMER	EG11688	b3660	yicL
G6207-MONOMER	G6207	b0354	yaiL
EG11890-MONOMER	EG11890	b3506	slp
BAES-MONOMER	EG11617	b2078	baeS
G7290-MONOMER	G7290	b2460	eutQ
PD03585	EG12630	b3438	gntR
ATPD-MONOMER	EG10101	b3732	atpD
YNJC-MONOMER	G6950	b1755	ynjC
EG10037-MONOMER	EG10037	b2212	alkB
G6929-MONOMER	G6929	b1724	ydiZ
EG10950-MONOMER	EG10950	b4392	slt
B1791-MONOMER	G6977	b1791	nimT
G7504-MONOMER	G7503	b4464	ghxQ
EG10924-MONOMER	RUVB	b1860	ruvB
G6561-MONOMER	G6561	b1069	murJ
G6277-MONOMER	G6277	b0508	hyi
G7937-MONOMER	G7937	b4341	yjiS
THIOESTERII-MONOMER	EG10995	b0452	tesB
ATPB-MONOMER	EG10099	b3738	atpB
GUTA-MONOMER	EG10969	b2703	srlE
DCTP-DEAM-MONOMER	EG11418	b2065	dcd
MONOMER0-2681	G0-10459	b4542	yohO
E2O-MONOMER	EG10980	b0727	sucB
FABZ-MONOMER	EG11284	b0180	fabZ
EG11013-MONOMER	EG11013	b1274	topA
NACMURLALAAMI2-MONOMER	EG11363	b4169	amiB
G6542-MONOMER	G6542	b1036	ycdZ
G6814-MONOMER	G6814	b1540	rspR
G6293-MONOMER	G6293	b0533	sfmH
EG11116-MONOMER	EG11116	b1055	trhO
G6874-MONOMER	G6874	b1630	rsxD
G7132-MONOMER	G7132	b2100	yegV
G7552-MONOMER	G7552	b2986	yghT
G6550-MONOMER	G6550	b1045	ymdB
YDDP-MONOMER	G6778	b1484	ddpD
G7190-MONOMER	G7190	b2298	yfcC
G6200-MONOMER	G6200	b0335	prpE
G7428-MONOMER	G7428	b2758	casC
ADENYLYL-GS	EG10383	b3870	glnA
EG11653-MONOMER	EG11653	b3807	cyaY
G6083-MONOMER	G6083	b0016	insL1
MONOMER0-148	G7565	b3012	dkgA
B2771-MONOMER	G7437	b2771	ygcS
YNEA-MONOMER	G6803	b1516	lsrB
G7911-MONOMER	G7911	b4298	yjhH
G6743-MONOMER	G6743	b1432	insQ
MALATE-DEHASE-MONOMER	EG10576	b3236	mdh
G6637-MONOMER	G6637	b1279	lapA
EG11437-MONOMER	EG11437	b1090	plsX
EG12855-MONOMER	EG12855	b0956	matP
EG12634-MONOMER	EG12634	b2761	cas3
EG11080-MONOMER	EG11080	b0028	fkpB
YHJV-MONOMER	EG12266	b3539	yhjV
EG10564-MONOMER	EG10564	b1622	malY
G7452-MONOMER	G7452	b2794	queF
MANNPISOM-MONOMER	EG10566	b1613	manA
G7506-MONOMER	G7506	b2887	ygfT
G6310-MONOMER	G6310	b0555	rrrD
GNTP-MONOMER	EG12563	b4321	gntP
EG11603-MONOMER	EG11603	b3054	ygiF
GLPT-MONOMER	EG10401	b2240	glpT
AROG-MONOMER	EG10079	b0754	aroG
MONOMER0-2141	G0-10261	b4520	ymgF
YHHJ-MONOMER	EG11767	b3485	yhhJ
G6933-MONOMER	G6933	b1728	ydjM
YDCU-MONOMER	G6753	b1442	ydcU
G6285-MONOMER	G6285	b0516	allC
G6445-MONOMER	G6445	b0847	ybjL
DIHYDROPICRED-MONOMER	EG10206	b0031	dapB
G7606-MONOMER	G7606	b3087	ygjR
FLAVODOXIN1-MONOMER	EG10318	b0684	fldA
G6190-MONOMER	G6190	b0325	yahK
G6831-MONOMER	G6831	b1560	ydfU
RHAT-MONOMER	EG11313	b3907	rhaT
MONOMER0-4408	G0-16726	b4731	ykiC
G7839-MONOMER	G7839	b4158	yjeO
GLTS-MONOMER	EG10406	b3653	gltS
MONOMER0-4480	G0-17013	b4767	ytiB
MODC-MONOMER	EG10152	b0765	modC
G6706-MONOMER	G6706	b1384	feaR
PDXY-MONOMER	G6879	b1636	pdxY
MONOMER0-4258	G0-10545	G0-10545	insCD5
BETACOMP-MONOMER	EG10190	b2763	cysI
GDPMANMANHYDRO-MONOMER	EG11789	b2051	gmm
G6838-MONOMER	G6838	b1580	rspB
MONOMER0-4433	G0-16749	b4755	yqhI
EG11637-MONOMER	EG11637	b1529	marC
MONOMER0-4498	G0-17032	b4786	yqhJ
G7147-MONOMER	G7147	b2175	mepS
FLIG-FLAGELLAR-SWITCH-PROTEIN	EG11654	b1939	fliG
YHAO-MONOMER	EG12754	b3110	cyuP
YBAL-MONOMER	EG12623	b0478	ybaL
G6209-MONOMER	G6209	b0357	frmR
G7162-MONOMER	G7162	b2249	yfaY
MONOMER0-4444	G6723	b1402	insD2
EG11257-MONOMER	EG11257	b0385	dgcC
G6604-MONOMER	G6604	b1164	ycgZ
MONOMER0-4170	EG10150	b1882	cheY
EG12193-MONOMER	EG12193	b1000	cbpA
G6585-MONOMER	G6585	b1141	xisE
EG10156-MONOMER	EG10156	b0882	clpA
PD00365	EG11434	b1531	marA
EG11084-MONOMER	EG11084	b0081	mraZ
G7908-MONOMER	G7908	b4294	insA7
THYMIDYLATESYN-MONOMER	EG11002	b2827	thyA
G7459-MONOMER	G7459	b2830	rppH
G6759-MONOMER	G6759	b1448	mnaT
G6652-MONOMER	G6652	b1314	ycjR
G6994-MONOMER	G6994	b1810	yoaC
SDH-MEMB1	EG10933	b0721	sdhC
MONOMER0-4256	G0-10543	G0-10543	insCD3
EG10610-MONOMER	EG10610	b3249	mreD
EG11758-MONOMER	EG11758	b4167	nnr
MONOMER0-4393	G0-16688	b4723	ymcF
G7399-MONOMER	G7399	b2670	alaE
PGLUCONDEHYDRAT-MONOMER	EG10257	b1851	edd
G6673-MONOMER	G6673	b1341	dgcM
EG11269-MONOMER	EG11269	b2018	hisL
G7013-MONOMER	G7013	b1840	yebZ
SPERMIDINESYN-MONOMER	EG10963	b0121	speE
ALPHA-AMYL-PERI-MONOMER	EG11316	b3571	malS
G6660-MONOMER	G6660	b1324	tpx
TORT-MONOMER	G6515	b0994	torT
MONOMER0-4550	G0-17097	b4823	ytiE
G7859-MONOMER	G7859	b4197	ulaE
EG12428-MONOMER	EG12428	b3782	rhoL
CYNX-MONOMER	EG10177	b0341	cynX
G6870-MONOMER	G6870	b1626	ydgK
MONOMER0-4210	EG11367	b2786	barA
