Proteins	Genes	Accession-1 of Gene	Common-Name
MALG-MONOMER	EG10556	b4032	malG
EG11037-MONOMER	EG11037	b3980	tufB
G6774-MONOMER	G6774	b1477	yddM
EG11744-MONOMER	EG11744	b1494	pqqL
EG10355-MONOMER	EG10355	b2804	fucU
EG11903-MONOMER	EG11903	b3944	yijF
G7297-MONOMER	G7297	b2474	tmcA
YHHO-MONOMER	EG12215	b3469	zntA
MALONYL-COA-ACP-TRANSACYL-MONOMER	EG11317	b1092	fabD
G7509-MONOMER	G7509	b2896	ygfX
ATOA-MONOMER	EG11670	b2222	atoA
GABATRANSAM-MONOMER	EG10361	b2662	gabT
EG50001-MONOMER	EG50001	b3186	rplU
G6627-MONOMER	G6627	b1200	dhaK
G6807-MONOMER	G6807	b1520	yneE
EG12158-MONOMER	EG12158	b0393	rdgC
GLNS-MONOMER	EG10390	b0680	glnS
EG11683-MONOMER	EG11683	b3646	yicG
G7735-MONOMER	G7735	b3383	yhfZ
EG10611-MONOMER	EG10611	b2113	mrp
NRFD-MONOMER	EG11947	b4073	nrfD
FRUCTBISALD-CLASSII-MONOMER	EG10282	b2925	fbaA
EG11016-MONOMER	EG11016	b1229	tpr
CITC-MONOMER	G6344	b0618	citC
HYAB-MONOMER	EG10469	b0973	hyaB
MONOMER0-1701	G0-9662	b4517	gnsA
G6669-MONOMER	G6669	b1337	abgB
G7530-MONOMER	G7530	b2954	rdgB
G7365-MONOMER	G7365	b2630	rnlA
EG11122-MONOMER	EG11122	b1254	yciB
EG12155-MONOMER	EG12155	b1352	kilR
EG11796-MONOMER	EG11796	b4386	lplA
GRXC-MONOMER	EG12294	b3610	grxC
SAMDC-BETA-MONOMER	EG10962	b0120	speD
CCMC-MONOMER	EG12057	b2199	ccmC
MONOMER0-149	EG11648	b0207	dkgB
PRPPSYN-MONOMER	EG10774	b1207	prs
G7505-MONOMER	G7505	b2886	ygfS
EG12131-MONOMER	EG12131	b2527	hscB
G7901-MONOMER	G7901	b4280	nanY
G7861-MONOMER	G7861	b4199	yjfY
EG12173-MONOMER	EG12173	b3334	gspM
G6534-MONOMER	G6168	b0298	insE1
PHOSPHO-RSTB	EG11233	b1609	rstB
EG11158-MONOMER	EG11158	b2912	fau
G7650-MONOMER	G7650	b3156	yhbS
CHORISMUTPREPHENDEHYDROG-MONOMER	EG11039	b2600	tyrA
G6676-MONOMER	G6676	b1345	intR
G7867-MONOMER	G7867	b4210	ytfF
EG10737-MONOMER	EG10737	b1158	pinE
G7469-MONOMER	G7469	b2849	yqeK
EG11361-MONOMER	EG11361	b2064	asmA
QUINOPRIBOTRANS-MONOMER	EG11546	b0109	nadC
PD01520	EG10281	b1187	fadR
EG10837-MONOMER	EG10837	b3778	rep
G7763-MONOMER	G7763	b3446	yrhB
G6782-MONOMER	G6782	b1488	ddpX
G7274-MONOMER	G7274	b2444	yffM
G6715-MONOMER	G6715	b1394	paaG
MONOMER0-4251	G7077	b1997	insC3
EG11305-MONOMER	EG11305	b0627	tatE
MONOMER0-142	G7302	b2485	hyfE
UDPNACETYLMURAMATEDEHYDROG-MONOMER	EG11205	b3972	murB
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	EG11370	b4040	ubiA
NRDB-MONOMER	EG10661	b2235	nrdB
YJCH-MONOMER	EG11943	b4068	yjcH
GMP-REDUCT-MONOMER	EG10422	b0104	guaC
G7107-MONOMER	G7107	b2062	wza
MONOMER0-1641	G0-9621	b4501	torI
TREHALACYTO-MONOMER	EG12245	b3519	treF
G6110-MONOMER	G6110	b0226	dinJ
YJFU-MONOMER	EG12495	b4195	ulaC
G6725-MONOMER	G6725	b1404	insI2
G6984-MONOMER	G6984	b1798	leuE
METQ-MONOMER	EG11504	b0197	metQ
SAPD-MONOMER	EG12304	b1291	sapD
G7002-MONOMER	G7002	b1826	mgrB
EG11390-MONOMER	EG11390	b3495	uspA
UHPA-MONOMER	EG11051	b3669	uhpA
EG10695-MONOMER	EG10695	b0237	pepD
EG11786-MONOMER	EG11786	b2581	yfiF
G7667-MONOMER	G7667	b3207	yrbL
G7398-MONOMER	G7398	b2668	ygaP
EG12176-MONOMER	EG12176	b4135	dicD
EG12289-MONOMER	EG12289	b3585	yiaU
6PFK-1-MONOMER	EG10699	b3916	pfkA
EG11910-MONOMER	EG11910	b3951	pflD
PHOSPHO-HYDH	EG10008	b4003	zraS
MONOMER0-4411	G0-16729	b4734	yldA
G7095-MONOMER	G7095	b2044	wcaL
FLIF-FLAGELLAR-MS-RING	EG11347	b1938	fliF
EG12365-MONOMER	EG12365	b3355	prkB
EG11091-MONOMER	EG11091	b0239	frsA
G6680-MONOMER	G6680	b1356	racR
MONOMER0-341	EG10738	b3821	pldA
G7610-MONOMER	G7610	b3096	mzrA
G7567-MONOMER	G7567	b3014	yqhH
G6244-MONOMER	G6244	b0443	fadM
EG12933-MONOMER	EG12933	b3410	feoC
EG11635-MONOMER	EG11635	b0560	nohD
BARA-MONOMER	EG11367	b2786	barA
G6683-MONOMER	G6683	b1359	ydaU
EG11805-MONOMER	EG11805	b2990	hybG
FLGH-FLAGELLAR-L-RING	G364	b1079	flgH
EG11620-MONOMER	EG11620	b1286	rnb
CYSD-MONOMER	EG10186	b2752	cysD
EG10883-MONOMER	EG10883	b3318	rplW
EG11975-MONOMER	EG11975	b1948	fliP
KEFB-MONOMER	EG20110	b3350	kefB
EG10849-MONOMER	EG10849	b0497	rhsD
ARAH-MONOMER	EG10059	b4460	araH
G6109-MONOMER	G6109	b0225	yafQ
YNJD-MONOMER	G6951	b1756	ynjD
EG11894-MONOMER	EG11894	b2012	tsuB
EG11426-MONOMER	EG11426	b3624	waaZ
MONOMER0-4245	G7125	b2088	insE5
G7371-MONOMER	G7371	b2636	yfjS
GLYCPDIESTER-CYTO-MONOMER	EG11050	b3449	ugpQ
G7261-MONOMER	G7261	b2420	yfeS
G7533-MONOMER	G7533	b2963	mltC
G7752-MONOMER	G7752	b3427	yzgL
EG11671-MONOMER	EG11671	b2223	atoE
EG10827-MONOMER	EG10827	b1350	recE
G7145-MONOMER	G7145	b2146	preT
MONOMER0-2689	G0-10467	b4553	ysaB
G6118-MONOMER	G6118	b0234	yafP
EG12376-MONOMER	EG12376	b2410	yfeH
G7058-MONOMER	G7058	b1970	hiuH
EG11096-MONOMER	EG11096	b0407	yajC
FTSE-MONOMER	EG10340	b3463	ftsE
MONOMER0-4404	G0-16722	b4727	yacM
ACETYLORNTRANSAM-MONOMER	EG10066	b3359	argD
EG11916-MONOMER	EG11916	b3999	yjaG
G7545-MONOMER	G7545	b2979	glcD
G7790-MONOMER	G7789	b4479	dgoR
G6763-MONOMER	G6763	b1452	yncE
EG12854-MONOMER	EG12854	b0742	cpoB
MONOMER0-762	G0-8888	b4606	ypfM
G6761-MONOMER	G6761	b1450	mcbR
AROF-MONOMER	EG10078	b2601	aroF
G6292-MONOMER	G6292	b0532	sfmD
G6990-MONOMER	G6990	b1806	yeaY
G7420-MONOMER	G7420	b2739	ygbM
EG12406-MONOMER	EG12406	b0796	cecR
G6424-MONOMER	G6424	b0821	ybiU
G7722-MONOMER	G7722	b3369	yhfL
MONOMER0-2659	G0-10437	b4511	ybdZ
G7743-MONOMER	G7743	b3400	hslR
PALMITOTRANS-MONOMER	G7241	b2378	lpxP
EG10481-MONOMER	EG10481	b2718	hycH
G7541-MONOMER	G7541	b4466	yghJ
RFFTRANS-MONOMER	EG11456	b3791	wecE
G6116-MONOMER	G6116	b0232	yafN
EG11529-MONOMER	EG11529	b3933	ftsN
MONOMER0-4481	G0-17014	b4768	ybgV
G7377-MONOMER	G7377	b2642	yfjW
G6859-MONOMER	G6859	b1601	tqsA
G6433-MONOMER	G6433	b0833	pdeI
MANNONDEHYDRAT-MONOMER	EG11066	b4322	uxuA
G6719-MONOMER	G6719	b1398	paaK
PD00353	EG10547	b0889	lrp
G7416-MONOMER	G7416	b2735	ygbI
G7846-MONOMER	G7846	b4181	yjfI
EG10878-MONOMER	EG10878	b3294	rplQ
EG11807-MONOMER	EG11807	b1847	yebF
6PFK-2-MONOMER	EG10700	b1723	pfkB
FLGG-FLAGELLAR-MOTOR-ROD-PROTEIN	G363	b1078	flgG
XYLF-MONOMER	EG20252	b3566	xylF
DTDPGLUCOSEPP2-MONOMER	EG11454	b3789	rffH
EG11569-MONOMER	EG11569	b0054	lptD
NANT-MONOMER	G436	b3224	nanT
G7175-MONOMER	G7175	b2268	rbn
EG11012-MONOMER	EG11012	b1252	tonB
PD04028	EG10200	b3934	cytR
EG11246-MONOMER	EG11246	b1333	uspE
H2NTPEPIM-MONOMER	G7195	b2303	folX
EG10473-MONOMER	EG10473	b0977	hyaF
PDXJ-MONOMER	EG10693	b2564	pdxJ
LTAA-MONOMER	G6455	b0870	ltaE
MONOMER0-151	G7306	b2489	hyfI
GALACTARDEHYDRA-MONOMER	EG12522	b3128	garD
G6773-MONOMER	G6773	b1472	yddL
G7170-MONOMER	G7170	b2257	arnT
G6227-MONOMER	G6227	b0378	yaiW
EG11782-MONOMER	EG11782	b2620	smpB
G7480-MONOMER	G6213	b0361	insD1
EG10483-MONOMER	EG10483	b2726	hypA
MONOMER0-4247	G0-10530	G0-10530	insEF3
DIHYDROXYACIDDEHYDRAT-MONOMER	EG10496	b3771	ilvD
G6357-MONOMER	G6357	b0650	hscC
G6124-MONOMER	G6124	b0249	ykfF
G6165-MONOMER	G6165	b0294	matA
G7085-MONOMER	G7085	b2005	cbtA
EG11970-MONOMER	EG11970	b3293	yhdN
EG11651-MONOMER	EG11651	b0210	yafE
G7949-MONOMER	G7949	b4367	fhuF
