# Generated from the following BioVelo query on EcoCyc, 10:53am, November 3, 2024: html-sort-ascending(html-table-headers([(t^?frame-id, [c: c<-t^components, c isa genes]) : t<-ECOLI^^Transcription-Units, !(classp t)], ("Frame ID", "Component genes")), 2)
TU0-14784	htpG
TU0-8334	ldtB
TU0-13777	yqeA
TU0-4182	waaL,waaC,waaF,rfaD
TU0-4405	glrK
TU0-8552	ybaY
TU0-41901	sdiA
TU0-8829	insA7
TU00408	mngR
TU0-1122	dmsC,dmsB,dmsA
TU0-13237	pinR
TU0-13204	fabI
TU0-14183	nanY,nanX
TU0-14373	gspO,gspM,gspL,gspK,gspJ,gspI,gspH,gspG,gspF,gspE,gspD,gspC
TU354	arcA
TU0-5981	ugpQ,ugpC,ugpE,ugpA,ugpB
TU00032	ilvN,ilvB,ivbL
TU0-12840	yafE,yafD
TU0-4905	gapA
TU0-14511	cysH
TU0-198729	ynbG
TU0-13357	ydhF
TU104	putP
TU00326	pspA,pspB,pspC,pspD,pspE
TU0-13039	ybgS
TU0-14431	dcuR
TU0-8746	ygbI
TU305	kdsA,ychA,ychQ
TU0-13702	ypjB
TU0-14676	artM,artQ,artI,artP
TU0-13808	yggM
TU0-14616	glxK,ybbY
TU164	lldD,lldR,lldP
TU0-13575	yfbL
TU0-12920	yajI
TU00173	glpX,glpK,glpF
TU0-2447	mgrB
TU0-14737	fadR
TU0-36414	luxS
TU0-13015	insH3
TU0-1142	ptsG
TU0-4881	gntU,gntK,gntR
TU0-42589	relA
TU0-14346	galF
TU0-8021	acrD
TU0-13549	lpxT,yeiR
TU162	envZ,ompR
TU0-13085	ycaP
TU0-44206	paaJ
TU841	cdd
TU0-13390	ynjI
TU0-13679	yfiB,dgcN,yfiR
TU00397	treR
TU0-1544	flgN,flgM
TU00511	tpr,tyrV,tyrT
TU0-2707	metJ
TU0-4822	csrC
TU00437	rpoD
TU0-8559	ybdL
TU0-14545	ydeO,safA
TU0-12808	cra
TU0-13801	cmtB,cmtA,yggP,yggF,fumE,yggC
TU0-13779	yqeC
TU0-44198	allB
TU0-2121	ybjN,rimK
TU0-13733	ygcE,yqcE
TU0-13712
TU0-14439	ftsO,lpxC,ftsZ,ftsA,ftsQ,ddlB,murC,murG,ftsW,murD,mraY,murF,murE,ftsI,ftsL,rsmH
TU0-13622	cysZ
TU0-8841	kdgR
TU0-8752	yghT
TU0-13859	alx
TU0-8719	yedD
TU0-14525	waaU,waaZ
TU0-14315	wbbH,glf
TU0-13047	ybhL
TU0-44208	nanY
TU0-45167	murR
TU0-8353	ldhA
TU00071	uvrD
TU0-8503	ybiT
TU0-7282	smf
TU0-13516	yehD,yehC,yehB,yehA
TU0-7805	nagA
TU0-13340	ynfL
TU0-13821
TU0-13403	yeaK
TU0-13586	yfcE
TU0-4444	pgm,seqA
TU0-2501	topA
TU0-13409	dmlR
TU0-198702	xynR,argF
TU0-45184	cyaR
TU344	arcA
TU0-12944	mscK
TU0-4189	yggN
TU0-44226	infB,nusA
TU0-44209	nanY
TU584	degP
TU0-14475	creC,creB,creA
TU00496	metZ,metW,metV
TU0-14305	yfaE
TU0-14145	ecnB,ecnA
TU0-4401	yaiS
TU0-13809	trmB,yggL
TU0-13279	ydcC
TU0-14510	rrfG
TU0-3145	xdhB,xdhC,xdhA
TU0-13328	dicA
TU00459	mprA,emrA,emrB
TU0-13032	ybgQ,ybgP,ybgO
TU0-5041	uxuR
TU0-13984	avtA
TU0-45206	gyrB
TU0-13729	ygcR,ygcQ
TU0-13776	hyuA
TU0-1981	osmY
TU0-13956	dtpB
TU0-13320	ynfN
TU0-8496	rdlA
TU0-8736	yfeN
TU00508	serW
TU00349	rplQ,rpoA,rpsD,rpsK,rpsM
TU0-13819	gss
TU00067	trpA,trpB,trpC,trpD,trpE,trpL
TU0-8484	napC,napB,napH,napG,napA,napD,napF
TU0-13344	ydgH
TU0-6626	ihfA,pheM,pheT,pheS
TU0-8508	ryeA
TU0-13271	mnaT,ydcZ
TU0-13287	maeA
TU0-13048	ybhM
TU0-13125	mdtG
TU0-13354	mliC
TU0-13268	patD
TU0-13611
TU00169	gatD,gatB,gatA,gatZ,gatY
TU0-12826	yaeI
TU0-4403	kch
TU0-45257	csgG,csgF,csgE,csgD
TU0-12976	quuD
TU00162	ppsA
TU0-13637	maeB
TU0-14452	wza,wzc,wzb
TU0-12959	ybbP,ybbA
TU0-14693	pstA,pstC,pstS
TU121	putP
TU0-13675	rluD,yfiH
TU0-13650	rlmN
TU0-13311	rspR
TU0-13137	ycfJ
TU0-13863	yqjK,yqjE,yqjD,yqjC
TU0-198746	nuoN,nuoM,nuoL,nuoK,nuoJ,nuoI,nuoH,nuoG,nuoF,nuoE,nuoC,nuoB,nuoA
TU0-14653	eno
TU00119	crp
TU0-13080	serS
TU0-7281	yrdB,aroE,tsaC,yrdD
TU0-198704	glpK,glpF
TU0-44222	yabR
TU0-12927	yajG
TU00371	uhpC,uhpB,uhpA
TU0-13231	ydaW,ydaV,ydaU,ydaT,ydaS
TU0-8629	yjjX
TU0-198711	entD,fepA
TU0-2562	exbD
TU00223	sdaA
TU0-4021	pdeR
TU00473	glnB
TU0-13324	hokD
TU0-8817	nlpA
TU0-13161	ariR,ymgA
TU00042	metH
TU0-198731	yneP
TU0-13044	ybhJ
TU0-13522	yehK
TU00521	leuV,leuP,leuQ
TU00230	accA
TU0-14553	glnX,glnV,metU,glnW
TU00233	acrA,acrB
TU0-8650	ypdI
TU00174	ihfA
TU0-12869	xynR
TU-8443	ygbA
TU00179	leuD,leuC,leuB,leuA,leuL
TU0-13755	kduD
TU0-44205	paaJ
TU0-13483	yeeW,cbtA,cbeA,yeeT,yeeS,yeeR
TU00063	rhaS,rhaR
TU0-13605	yfdT,yfdS,yfdR
TU0-6483	bcp
TU0-36403	rcsB
TU0-13901	aaeX,aaeA,aaeB
TU0-12848	dpaA
TU00203	prs
TU0-44201	gnsA
TU00072	alkB,ada
TU0-14345	eptA
TU0-41842	ydiY
TU0-13766
TU0-13928	igaA
TU0-8608	yjcB
TU0-14031	ravA,viaA
