# Generated from the following BioVelo query on EcoCyc, 12:16pm, November 3, 2024: html-sort-ascending(html-table-headers([(x^?name, x^?regulated-by) : x<-ECOLI^^Genes, !(classp x)], ("Name", "Regulated by")), 2)
cho	Regulation of cho by DNA-binding transcriptional dual regulator Nac
ytcA
insI3
rplS
phnE1
rnr	Regulation of rnr by DNA-binding transcriptional dual regulator Lrp, Regulation of rnr by DNA-binding transcriptional dual regulator Lrp
yqaE
ydiS
yqjC
pcnB
hypF
insCD1
mnmC
phnM
ycjT
sraG
insL2
asd
yqaB
yfhL	Regulation of yfhL by DNA-binding transcriptional dual regulator Nac
arcA	Regulation of arcA by DNA-binding transcriptional dual regulator FNR, Regulation of arcA by DNA-binding transcriptional dual regulator FNR, Regulation of arcA by DNA-binding transcriptional dual regulator ArcA-phosphorylated, Regulation of arcA by DNA-binding transcriptional dual regulator ArcA-phosphorylated
bamB
yhhZ	Regulation of yhhZ by DNA-binding transcriptional dual regulator Nac
yggM
pgm
ygiN
emrE
fliC	Regulation of fliC by small RNA FliX, Regulation of fliC by small RNA MotR, Regulation of fliC by small RNA UhpU, Regulation of fliC by DNA-binding transcriptional repressor UxuR, Regulation of fliC by DNA-binding transcriptional dual regulator Nac
thyA
torT
maeA	Regulation of maeA by small regulatory RNA Spot 42
garR
speB
livH	Regulation of livH by DNA-binding transcriptional dual regulator Nac
pgpB
rfaH
eutJ
dnaE
galM
adiC	Regulation of adiC by DNA-binding transcriptional dual regulator TorR-phosphorylated, Regulation of adiC by DNA-binding transcriptional dual regulator H-NS
yhcC	Regulation of yhcC by [2Fe-2S] cluster DNA-binding transcriptional dual regulator
bioA
yqgD
ygiC
argC
ccmH	Regulation of ccmH by DNA-binding transcriptional dual regulator Nac
flxA
yfaX
yfbK
yhdJ	Regulation of yhdJ by DNA-binding transcriptional dual regulator CpxR-phosphorylated
manY	Regulation of manY by 30S ribosomal subunit protein S1
speE
lpp	Regulation of lpp by DNA-binding transcriptional dual regulator OmpR-phosphorylated, Regulation of lpp by small regulatory RNA MicL
dedD
basR
ydiB	Regulation of ydiB by DNA-binding transcriptional dual regulator Nac
infB
gdx
ampG
yaaJ
metR	Regulation of metR by DNA-binding transcriptional dual regulator Nac
ddpD
acrZ	Regulation of acrZ by DNA-binding transcriptional dual regulator Lrp, Regulation of acrZ by DNA-binding transcriptional dual regulator Lrp
yadS
ybjO
zbiJ
pdeN
fimR2
rrlC
mcaS	Regulation of mcaS by ArgR-L-arginine DNA-binding transcriptional dual regulator
codA
yedL
waaS
mltA	Regulation of mltA by DNA-binding transcriptional dual regulator FNR
ppa
hsrA
yghD
csdA
symE
cnu
yqiK
eptB	Regulation of eptB by DNA-binding transcriptional dual regulator Lrp
intZ	Regulation of intZ by DNA-binding transcriptional dual regulator Lrp
kduI
yncJ
ssuC
yegP
nrdI
tapT
glgS	Regulation of glgS by DNA-binding transcriptional dual regulator Rob
ompF	Regulation of ompF by DNA-binding transcriptional dual regulator Nac
aceK-int
intE
nuoA	Regulation of nuoA by DNA-binding transcriptional dual regulator CpxR-phosphorylated, Regulation of nuoA by DNA-binding transcriptional dual regulator Lrp
ompT	Regulation of ompT by DNA-binding transcriptional dual regulator Lrp, Regulation of ompT by DNA-binding transcriptional dual regulator Nac
yijF
yecA
yjiA	Regulation of yjiA by small regulatory RNA Spot 42
hyuA
araJ
araH
yfcA
yoaB
ghxQ
insF4
argB
pxpA
yajR
purK
upp	Regulation of upp by DNA-binding transcriptional dual regulator Lrp
sapB
holE	Regulation of holE by DNA-binding transcriptional dual regulator Nac
lexA
ybhF
yciQ
pspE
epmA
bolA
rsmJ
frwC
ycaK	Regulation of ycaK by DNA-binding transcriptional dual regulator Nac
amtB
ycgR	Regulation of ycgR by [2Fe-2S] cluster DNA-binding transcriptional dual regulator
ccmF
gyrA
yeaK
mntH	Regulation of mntH by DNA-binding transcriptional dual regulator Nac
agaC
ycgZ	Regulation of ycgZ by DNA-binding transcriptional dual regulator Fur
yfcD
flk
yhbS
wcaI
