Element,Estimate,Error,Source,Unit,Type,Media
CO,5500,-1,Umemura2017,Atoms/cell,Cell,LB
NI,13000,-1,Umemura2017,Atoms/cell,Cell,LB
CU,60000,-1,Umemura2017,Atoms/cell,Cell,LB
ZN,650000,-1,Umemura2017,Atoms/cell,Cell,LB
SE,0,-1,Umemura2017,Atoms/cell,Cell,LB
RB,31000,-1,Umemura2017,Atoms/cell,Cell,LB
SR,11000,-1,Umemura2017,Atoms/cell,Cell,LB
Y,850,-1,Umemura2017,Atoms/cell,Cell,LB
ZR,0,-1,Umemura2017,Atoms/cell,Cell,LB
MO,30000,-1,Umemura2017,Atoms/cell,Cell,LB
PD,36,-1,Umemura2017,Atoms/cell,Cell,LB
AG,7,-1,Umemura2017,Atoms/cell,Cell,LB
CD,270,-1,Umemura2017,Atoms/cell,Cell,LB
SN,30,-1,Umemura2017,Atoms/cell,Cell,LB
SB,9,-1,Umemura2017,Atoms/cell,Cell,LB
CS,90,-1,Umemura2017,Atoms/cell,Cell,LB
BA,4400,-1,Umemura2017,Atoms/cell,Cell,LB
LA,600,-1,Umemura2017,Atoms/cell,Cell,LB
MG,110000000,-1,Umemura2017,Atoms/cell,Cell,M9
P,560000000,-1,Umemura2017,Atoms/cell,Cell,M9
S,150000000,-1,Umemura2017,Atoms/cell,Cell,M9
K,420000000,-1,Umemura2017,Atoms/cell,Cell,M9
CA,3800000,-1,Umemura2017,Atoms/cell,Cell,M9
SC,260,-1,Umemura2017,Atoms/cell,Cell,M9
TI,0,-1,Umemura2017,Atoms/cell,Cell,M9
V,0,-1,Umemura2017,Atoms/cell,Cell,M9
CR,4600,-1,Umemura2017,Atoms/cell,Cell,M9
MN,44000,-1,Umemura2017,Atoms/cell,Cell,M9
FE,1200000,-1,Umemura2017,Atoms/cell,Cell,M9
CO,2200,-1,Umemura2017,Atoms/cell,Cell,M9
NI,16000,-1,Umemura2017,Atoms/cell,Cell,M9
CU,70000,-1,Umemura2017,Atoms/cell,Cell,M9
ZN,500000,-1,Umemura2017,Atoms/cell,Cell,M9
SE,0,-1,Umemura2017,Atoms/cell,Cell,M9
RB,2400,-1,Umemura2017,Atoms/cell,Cell,M9
SR,2400,-1,Umemura2017,Atoms/cell,Cell,M9
Y,280,-1,Umemura2017,Atoms/cell,Cell,M9
ZR,0,-1,Umemura2017,Atoms/cell,Cell,M9
MO,13000,-1,Umemura2017,Atoms/cell,Cell,M9
PD,0,-1,Umemura2017,Atoms/cell,Cell,M9
AG,0,-1,Umemura2017,Atoms/cell,Cell,M9
CD,800,-1,Umemura2017,Atoms/cell,Cell,M9
SN,0,-1,Umemura2017,Atoms/cell,Cell,M9
SB,0,-1,Umemura2017,Atoms/cell,Cell,M9
CS,0,-1,Umemura2017,Atoms/cell,Cell,M9
BA,5000,-1,Umemura2017,Atoms/cell,Cell,M9
LA,320,-1,Umemura2017,Atoms/cell,Cell,M9
