"rank_range"	"range"	"rank_ci_95"	"ci_95"	"rank_iqr"	"iqr"	"rank_best_95"	"best_95"
"nudK"	3.8317000000000005	"ecoZ"	0.8048046243184058	"proY"	0.4251674999999988	"mdlB"	1.617753749999995
"yhaJ"	3.8465	"yajR"	0.806479229415282	"ascF"	0.4257850000000012	"dgkA"	1.6242402499999997
"tamA"	3.8466199999999997	"fldB"	0.8076667633248527	"bglA"	0.42630000000000123	"lepB"	1.6249102499999992
"yaeQ"	3.8467499999999992	"gudD"	0.8104180833057074	"yfjR"	0.42747000000000046	"radA"	1.6271594999999994
"lnt"	3.848700000000001	"exoX"	0.811672464617256	"ybaV"	0.42801000000000045	"yfhH"	1.6348397500000011
"ligT"	3.85001	"yhiN"	0.813385093482564	"yaiI"	0.4285975000000004	"glpR"	1.6380564999999994
"znuB"	3.85077	"radA"	0.8146157875056923	"yphH"	0.42942000000000036	"queC"	1.6453442499999973
"creB"	3.8674099999999996	"creB"	0.8166392762378023	"yjbB"	0.4306800000000006	"yfiE"	1.6456655000000007
"yddE"	3.87214	"lpxL"	0.8171324835347404	"ybjJ"	0.4307799999999986	"ispH"	1.6472399999999983
"lolD"	3.878170000000001	"aas"	0.817652299211749	"yraP"	0.43126	"ycbX"	1.6478942499999985
"ymjA"	3.8783400000000006	"tilS"	0.8176899650337172	"mfd"	0.43210999999999977	"lpxL"	1.6487449999999981
"ccmG"	3.8893899999999997	"cof"	0.8184374780854432	"diaA"	0.43226999999999904	"creB"	1.6492742499999995
"rsxE"	3.89116	"glpR"	0.8187233617133235	"yggF"	0.43301499999999926	"rcsC"	1.6494957499999998
"avtA"	3.891470000000001	"murJ"	0.8190595948397007	"yajR"	0.43331000000000053	"yafJ"	1.6499989999999976
"btuC"	3.8972299999999995	"uxaA"	0.8192516923451802	"hyfE"	0.43385750000000023	"ygeR"	1.650506499999997
"yfeR"	3.897379999999999	"ebgR"	0.8196633628831015	"yfeR"	0.4352224999999983	"torZ"	1.653709499999998
"lpxM"	3.8985200000000004	"ppdC"	0.8204573535356204	"yraN"	0.4354899999999997	"proY"	1.6576255
"yidH"	3.9006	"ybjH"	0.8208825704759108	"ylbE_2"	0.4373850000000008	"ybjJ"	1.659370000000001
"yrfG"	3.9018300000000004	"ytfB"	0.8219735625254013	"yhdP"	0.4374950000000002	"yecE"	1.6646579999999993
"nadC"	3.9066599999999996	"yfiF"	0.8220198460749641	"yegX"	0.43770999999999916	"mutH"	1.6647214999999989
"tadA"	3.90806	"aat"	0.8229649735958986	"pabB"	0.4388974999999995	"ampE"	1.668723
"yfgC"	3.9195100000000007	"ybjJ"	0.8242187965884535	"hyfG"	0.4390999999999998	"yajR"	1.6701562499999998
"lptB"	3.9195399999999996	"csdE"	0.8255139962760831	"ygiF"	0.44033499999999925	"ytfB"	1.6705852499999985
"anmK"	3.9204800000000004	"sapA"	0.8255613914943043	"ulaF"	0.4403800000000011	"ccmG"	1.676735749999998
"phr"	3.9231	"yggF"	0.8255817235437422	"hycG"	0.44081249999999983	"yegX"	1.6770934999999998
"hemX"	3.9254299999999995	"cca"	0.8258626466808526	"ebgR"	0.4426400000000008	"yggF"	1.6782637499999975
"dapE"	3.9262799999999993	"trkH"	0.8275336257113907	"ynbC"	0.4426450000000006	"nudG"	1.6791782499999979
"nagD"	3.9281799999999993	"plsC"	0.8278258823737925	"lysR"	0.44320249999999994	"ecoZ"	1.6810834999999997
"bisC"	3.929639999999999	"ybbO"	0.8288347759294772	"treR"	0.4433100000000003	"rtn"	1.6825882500000002
"yggU"	3.9298399999999996	"ybbA"	0.8293227540603264	"frlC"	0.44332499999999975	"deoR"	1.6837602500000006
"lpxH"	3.9327699999999997	"rffM"	0.8293475281309418	"epmB"	0.4443600000000014	"gntR"	1.6846129999999988
"yniC"	3.9329599999999996	"yegV"	0.829351585435681	"ubiF"	0.4448249999999998	"murJ"	1.6852399999999985
"tas"	3.9329600000000005	"speC"	0.8301051820344139	"ybaK"	0.446670000000001	"speC"	1.6864760000000008
"tag"	3.93489	"yejO"	0.832209554708193	"speC"	0.44673249999999953	"eutC"	1.6905734999999993
"yfaY"	3.9356300000000006	"ygaP"	0.833126953196594	"clcA"	0.4468424999999989	"fadR"	1.6934130000000014
"ydiU"	3.9364	"yfeR"	0.8356593778481901	"amiD"	0.4487325000000002	"tilS"	1.6940004999999978
"pmbA"	3.9450399999999997	"nanR"	0.8370384143820722	"ygeR"	0.44959749999999943	"yfiF"	1.6964439999999978
"dcuS"	3.9486100000000004	"gsiD"	0.8395929043646317	"dgkA"	0.44992000000000054	"plsC"	1.6965872499999985
"allR"	3.950099999999999	"ascF"	0.8400147728251063	"dinB"	0.45002999999999993	"gsiD"	1.6972869999999975
"yciC"	3.951200000000001	"basR"	0.8405070283476395	"aat"	0.4501500000000007	"ybbO"	1.7015025000000001
"accA"	3.95566	"yfhH"	0.8405838228240117	"djlA"	0.45114500000000035	"mrcB"	1.7025212500000002
"yegD"	3.9570299999999996	"torZ"	0.8426942756293152	"hyfH"	0.4527125000000005	"proC"	1.7027145000000008
"yeiH"	3.9604	"mdlB"	0.845402125941378	"queC"	0.4529399999999999	"exoX"	1.7064619999999984
"cdaR"	3.9659699999999996	"gmhB"	0.8475796342702081	"yiaC"	0.4531349999999996	"mukB"	1.7080737499999987
"plsC"	3.9703	"yhhW"	0.8477379322754125	"yhhW"	0.45372750000000117	"yhjK"	1.71547275
"epmB"	3.9707100000000004	"ampE"	0.8483131779811193	"yegU"	0.45401250000000104	"yjfP"	1.7172989999999988
"pgsA"	3.9762700000000004	"ubiF"	0.8483450522201	"fieF"	0.4541000000000004	"ascF"	1.7189125
"yicH"	3.9791	"mrcB"	0.8485455729575084	"yjjX"	0.4545899999999996	"yejB"	1.7225104999999994
"ulaD"	3.9796699999999996	"deoR"	0.8501208320563294	"mutH"	0.45578000000000074	"rffM"	1.7244104999999994
"yhiN"	3.9818099999999994	"mngR"	0.8511472744985372	"frlD"	0.45621250000000124	"envZ"	1.726916749999992
"exoX"	3.982779999999999	"yfeZ"	0.8514301779086959	"macA"	0.4566099999999995	"amiA"	1.7294377500000007
"yfjD"	3.9832199999999993	"yaeB"	0.8530359623106412	"uxuR"	0.4567125000000001	"gudD"	1.7309254999999997
"yfbT"	3.99165	"rtn"	0.8534799321227509	"yjiG"	0.4574175000000018	"sapA"	1.7319744999999998
"rnd"	3.9979899999999997	"yphB"	0.8535579735446922	"ptsN"	0.45802499999999924	"yegV"	1.7379555
"rsmD"	3.9988399999999995	"torR"	0.8546485173751052	"ispH"	0.4582499999999996	"yjaB"	1.7384162499999984
"cobU"	4.00181	"mutH"	0.8559066152009591	"tilS"	0.4593575000000012	"yfeR"	1.7462219999999995
"mlaE"	4.007639999999999	"yjfP"	0.8617542126639993	"ykfA"	0.4595199999999995	"hemD"	1.7464547499999998
"gltX"	4.012460000000001	"pldB"	0.8630567951753197	"yaaA"	0.4595500000000001	"gmhB"	1.746870999999997
"pssA"	4.02302	"yoaE"	0.8635497959667471	"yiiD"	0.4597099999999994	"mngR"	1.7471387499999995
"recO"	4.02833	"yecE"	0.86498232669694	"ybjH"	0.45972499999999883	"ftsI"	1.7509229999999985
"yafJ"	4.029299999999999	"rutR"	0.8653554845255071	"yphB"	0.4606349999999999	"ebgR"	1.7522657499999994
"diaA"	4.030899999999999	"pspF"	0.8657999922472204	"uxaA"	0.4609400000000008	"sxy"	1.7581422499999988
"lpxK"	4.03543	"folB"	0.8660705332597572	"yegD"	0.4609899999999989	"tufA"	1.760299999999999
"clcA"	4.036180000000001	"ftsI"	0.8672443716214164	"agaA"	0.4622900000000012	"aat"	1.76403
"sxy"	4.036369999999999	"ydhB"	0.8673625729674086	"lpoA"	0.4623974999999998	"yjeH"	1.764184999999996
"smf_1"	4.042439999999999	"fadR"	0.8680011383027698	"nanR"	0.4628950000000014	"yibF"	1.765394999999998
"ydbC"	4.0451299999999994	"eutC"	0.8689881638722091	"infC"	0.4629999999999992	"folB"	1.7662092499999993
"mukF"	4.060369999999999	"ydcO"	0.8695246244213104	"trkH"	0.4630799999999997	"chbA"	1.766331749999999
"mepA"	4.062549999999999	"lysR"	0.8710818228309801	"norW"	0.4636925000000005	"ydhB"	1.7673359999999985
"mltF"	4.070800000000001	"ycbX"	0.8712182931301891	"cca"	0.46377999999999986	"yfeZ"	1.7687122500000019
"prfA"	4.07235	"yfhG"	0.8728007053422202	"lnt"	0.4639849999999992	"yeiH"	1.7756912499999995
"kdsB"	4.07994	"ypjD"	0.8730516937341667	"aes"	0.4644074999999983	"visC"	1.7766084999999983
"ybaV"	4.082520000000001	"yddE"	0.8732047793499484	"btuF"	0.4644925000000004	"creD"	1.7795247499999993
"glpE"	4.083869999999999	"tldD"	0.8742632016453453	"ybjK"	0.464715	"tldD"	1.7811942499999986
"rsmC"	4.08609	"yejB"	0.8793774783649492	"cof"	0.46500500000000144	"ygaP"	1.782810500000001
"yqgE"	4.08713	"yjjV"	0.8802853827068884	"ybgL"	0.46568500000000057	"serB"	1.7852302499999997
"yejB"	4.088349999999999	"tesA"	0.8807990336823653	"gmm"	0.4661249999999999	"mdlA"	1.787370750000001
"yaeB"	4.088369999999999	"yjaB"	0.880908429245395	"dpiA"	0.46658000000000044	"ypjD"	1.787476999999999
"malI"	4.092460000000001	"btuF"	0.8810815447801031	"ycaI"	0.46678	"ydcO"	1.7894032500000003
"speA"	4.093170000000001	"amiA"	0.8818116400038496	"yqgF"	0.468122499999998	"frlD"	1.790894999999999
"yrfF"	4.09738	"chbA"	0.8820434417788563	"tag"	0.468255000000001	"lysR"	1.7914427499999999
"lpxB"	4.10491	"ulaE"	0.8835271306263841	"yfhH"	0.4700450000000007	"rffG"	1.7930677500000005
"recC"	4.109629999999999	"nadC"	0.8839423814267772	"mdtC"	0.47040999999999933	"yaeB"	1.7988055000000003
"radA"	4.11267	"tamA"	0.8843878650159027	"ytfG"	0.4706600000000005	"ppdC"	1.799155499999996
"yhdH"	4.1198	"mhpC"	0.8846466923371854	"kbaZ"	0.4708199999999998	"gcvA"	1.8002389999999995
"sapA"	4.12426	"sxy"	0.8858013218764417	"mrcB"	0.4714400000000012	"pncC"	1.8030475
"rffC"	4.12429	"nudK"	0.8861197330566747	"inaA"	0.4716975000000012	"rlmF"	1.8034007499999998
"hisM"	4.141830000000001	"frlD"	0.8872254173747112	"marC"	0.4722899999999992	"ycfD"	1.8043199999999988
