"genes_rank_std"	"std_rank_std"	"r_rank_std"	"genes_rank_r, ""std_rank_r"	"r_rank_r"
"ddlA"	0.4671695622117091	0.999338262651722	"frmR"	0.6825437462672118	0.998999480843857
"rsmA"	0.4673572997751305	0.997131501967315	"ygdH"	0.7520051458089072	0.9989983183191553
"wzyE"	0.4680486606259032	0.9988215557842477	"yhdU"	0.8175601553170652	0.9989951702554125
"bglA"	0.46812902066606255	0.987987510148013	"yrdB"	0.5639839007169698	0.9989947490870064
"malZ"	0.4681492998800258	0.977837808653443	"yihL"	0.6319800452677901	0.9989862784226368
"hemF"	0.4685409587466315	0.9895399571707372	"trg"	0.9697586041864408	0.998973191088096
"galR"	0.46868063200927546	0.9931856527722529	"allR"	0.4725870857904873	0.998969488673551
"yjbB"	0.46889273211081556	0.9863386505304035	"mliC"	0.688629249086636	0.9989615259056601
"treR"	0.4689388029074832	0.9905335384783122	"ybfF"	0.5636557966810932	0.9989610946141319
"ybhJ"	0.4693963140026929	0.9889602863662286	"ycgN"	0.5911670459291538	0.9989609633706507
"ulaF"	0.4694652037505576	0.9891536171265539	"metB"	0.724259641034477	0.9989603906953672
"yhjK"	0.47029194779015243	0.9973409097972893	"glgX"	0.6520769796663858	0.998954176412017
"bcsZ"	0.47042999780524836	0.9975823515905892	"hepA"	0.7298618677346259	0.9989510197165082
"lpoA"	0.47048095430853026	0.9750624766091954	"rbsC"	1.0527823289256573	0.9989498722949843
"yhdZ"	0.470804107810475	0.9976903990377082	"suhB"	0.6092063803754864	0.9989462619595656
"ptrA"	0.47116713682519545	0.9953146909445764	"yciN"	0.9156951238017215	0.998945056035481
"yraR"	0.4716973776002474	0.9917505992138702	"slmA"	0.5719485335325712	0.9989293453224499
"rnd"	0.4718373942608917	0.9988038133389644	"ygdG"	0.4996312128613041	0.9989270649260219
"thiL"	0.4721639042622321	0.9877114780115835	"spf"	1.760052813061716	0.9989179656738552
"mobA"	0.47216718819674774	0.9960221744390948	"yihW"	0.4556866497634585	0.9989157592899437
"ruvB"	0.47230303403928436	0.9905932057109035	"ppsA"	1.0440783929808986	0.998915459963793
"pncC"	0.4723218554060681	0.9971093034860616	"mukB"	0.4564859505736695	0.9989092838467735
"serB"	0.47235004692619986	0.9956936707790042	"zapA"	0.7130455002760057	0.9989069481707424
"allR"	0.4725870857904873	0.998969488673551	"glnP"	0.9147381625206732	0.9988981773030747
"paaG"	0.47283260907625024	0.9942308559235375	"lrhA"	0.6940209390673661	0.9988968908008207
"envZ"	0.4739991734318859	0.9991588664047855	"rlmL"	0.923477698412598	0.9988922108956997
"marC"	0.4746250439036946	0.9933426775417011	"cytR"	0.6347445489899082	0.9988883629502624
"yneH"	0.4747844578586692	0.9959992612397588	"menF"	0.5006293706634287	0.9988848910276659
"yicN"	0.4750980737714512	0.9950225082420054	"queE"	0.6539703089038124	0.9988810784595926
"nudF"	0.4752017145840466	0.9967634657596437	"prlC"	0.511771548496636	0.9988796244962229
"amiC"	0.47548735491631505	0.9940858904754158	"bcsG"	0.7145287870026239	0.9988712882919442
"asmA"	0.4756401180465176	0.9856323675394316	"pepT"	0.7928950611153632	0.9988650535728659
"yidH"	0.4762741408737537	0.9911462113096318	"rlmF"	0.45370097923173286	0.9988604158575498
"pcm"	0.47663065079147293	0.9833383527066978	"sapD"	0.6478608392368591	0.9988525547121296
"tas"	0.4766614456501937	0.9987469114931424	"yeiS"	0.6061447110254354	0.9988519648828021
"yegD"	0.4766764718583674	0.9928145608365319	"gss"	0.5479775210156639	0.9988426661944152
"ybhR"	0.4767546011864586	0.9978076509514869	"metN"	0.892195038023156	0.9988314734983018
"sgbH"	0.4772821005237543	0.9840423120435475	"gltX"	0.48386570875551693	0.9988311965378673
"ldcA"	0.4773377633247188	0.9972063799605819	"wzyE"	0.4680486606259032	0.9988215557842477
"creD"	0.47759888907307013	0.9957531306126736	"kdsC"	0.4798303078436911	0.9988124736790772
"uvrC"	0.477827587872138	0.994874600762653	"yajD"	0.5878334337330904	0.9988101014443501
"prmA"	0.47800714545018247	0.9994192149836765	"hemD"	0.49397881208634536	0.9988054312232825
"ymbA"	0.4784964048974897	0.9947671074730838	"rnd"	0.4718373942608917	0.9988038133389644
"fhuC"	0.4786782506316395	0.9978696472415097	"yoaE"	0.44058663059527914	0.9987953754119826
"dusA"	0.47868899823789063	0.9986327199837717	"yjeI"	0.5708482312155129	0.9987883340207724
"mtn"	0.4794117596217156	0.9958445773603923	"proP"	0.8261588160490947	0.9987870886416902
"kdsC"	0.4798303078436911	0.9988124736790772	"rlmJ"	0.5632019961053358	0.9987848066620759
"ftsP"	0.4807960465273504	0.9966254882185331	"chaA"	0.8152293485097871	0.9987795295896624
"yhbQ"	0.4808476418362916	0.982710825334075	"mgrB"	0.9705072163788788	0.9987795205556592
"hofC"	0.48112367559693897	0.9877008933831165	"pdhR"	0.9813798947722616	0.9987787089531764
"kdpE"	0.4812335940540419	0.9932436071492776	"bfr"	1.4989452839566118	0.9987670836319869
"yfaZ"	0.4814691104759046	0.9980346074298841	"mlaE"	0.6233109680736382	0.9987560500230327
"ubiG"	0.48177110744164225	0.9985152813167627	"yhfK"	0.4839186291102468	0.9987516033558171
"tehA"	0.4819348533621075	0.9983842483634894	"tas"	0.4766614456501937	0.9987469114931424
"elbB"	0.48234513623951186	0.9979202128894636	"ybhF"	0.5520058948709656	0.9987466383158072
"yfaS_2"	0.4824933006981053	0.9788250416789648	"dcm"	0.5357857798667987	0.9987464839960041
"nlpE"	0.4826734485128254	0.9985458931811168	"yjcD"	0.6362200675722572	0.9987387788785306
"yghB"	0.4831277696104747	0.9979647319051362	"glpR"	0.4177160008741446	0.9987360138780762
"yhhJ"	0.48344004065137614	0.9970350370936079	"fecD"	0.6728266390725167	0.9987333207269793
"yihA"	0.48353165110884727	0.9985954436608756	"emtA"	0.6305769804581575	0.9987324502551742
"yaiI"	0.48373551054495334	0.9877183633424214	"manY"	1.1060080385828435	0.998729966145226
"gltX"	0.48386570875551693	0.9988311965378673	"ftsE"	0.5010493652961209	0.9987259683634349
"yhfK"	0.4839186291102468	0.9987516033558171	"ydhO"	0.6252182586302655	0.9987248869208896
"sbcB"	0.4840535742682631	0.988594619554193	"yfiP"	0.5620461977504156	0.9987231072385601
"hemH"	0.4854160257307143	0.9978188914657858	"pheA"	1.0572085063700956	0.9987218417358115
"coaE"	0.4854518501876	0.9967406932880769	"amn"	0.6818940393489669	0.9987163836500914
"ylbE_2"	0.48592373376345216	0.9895817696990061	"ydiU"	0.4908988248626707	0.9987157213751854
"yraP"	0.4859425735275007	0.979113879189038	"ubiC"	0.6032427830619302	0.9987155078368122
"ycaI"	0.4859444112187629	0.9908497536867354	"tusA"	0.6356194983445308	0.9987045709765637
"yjaH"	0.48631044717235405	0.9972581398913332	"yqcC"	0.4870168103213248	0.9987039942442958
"menA"	0.4865680876327523	0.996185638030736	"yecN"	0.5357588500672692	0.9987028585972298
"trxA"	0.4865810160053273	0.9981643322494873	"ppiC"	0.6040344277509426	0.9986995841357263
"yqcC"	0.4870168103213248	0.9987039942442958	"yojI"	0.5168064941801874	0.9986987445873583
"xylB"	0.4870869529714216	0.9970351849806958	"cysE"	0.6179782356549409	0.9986983743255587
"yaaH"	0.4871019320339331	0.9975793671730978	"rimJ"	0.6009249691993891	0.9986950806189362
"ycgV"	0.48711865553659917	0.9985893538326451	"frdB"	1.2287669891583848	0.9986921358026276
"yceB"	0.48716571658618457	0.9935793058280188	"tomB"	0.9884662941154885	0.9986916644423252
"psd"	0.4873542529706939	0.9982096325121242	"paaK"	0.7946793842410054	0.9986912245743239
"yceM"	0.4873857083960294	0.9994978970606179	"yfhL"	0.7402375123847376	0.998687834228231
"dnaT"	0.48798932263348965	0.9969974811315995	"clpS"	0.6310063940737175	0.9986848073169652
"lpxM"	0.4881381997157128	0.987008043395641	"ttcA"	0.6292891444280935	0.9986830094759908
"ybjD"	0.48820456347861546	0.9815068412988077	"paaJ"	0.6457998887644437	0.9986760945065146
"sugE"	0.4884691732523025	0.9930647665560856	"mutY"	0.520725621192645	0.9986748988980337
"rffG"	0.48858759955337405	0.9982805378888299	"yhhX"	0.5760934867163919	0.9986716222866856
"yebQ"	0.4890976229200316	0.9967823216018697	"fumC"	0.934604151089355	0.998671257211477
"ptsN"	0.48948617031996405	0.9902238000007703	"yejM"	0.6902320164544254	0.9986697581473224
"mak"	0.4894975893605473	0.9882013051657491	"eamA"	0.8066849644342982	0.9986674929328233
"yaeR"	0.4898397530859248	0.9966361055143653	"uraA"	0.9666317184661627	0.998665510810768
"gcvA"	0.490183017619719	0.9983768646726223	"folB"	0.4418727210508966	0.9986572692881771
"leuS"	0.4904607067353852	0.9938081627260449	"gltB"	1.236667174477804	0.9986551755116934
"macA"	0.4904927593545779	0.9882412813228413	"ppc"	0.8811391962400293	0.9986517359297844
"glpE"	0.4906827866532864	0.9979922910190757	"melR"	0.93116623271261	0.9986491535075113
"yadH"	0.490697779127821	0.9893621799773447	"ymdB"	0.6785533093158781	0.9986480888938088
"ydiU"	0.4908988248626707	0.9987157213751854	"ybbM"	0.4003032433456922	0.9986445625919235
"yaaA"	0.49095252290626357	0.9873274640762906	"cspD"	1.4747993332943454	0.9986441773403268
"kefG"	0.49106320342856524	0.9969318238061013	"hisJ"	0.992479892599516	0.9986404662691518
"creC"	0.49107305953526614	0.9990207195055135	"ratB"	0.648457016537515	0.9986386328480813
"lolE"	0.4912984781263358	0.995416913741939	"aroL"	0.717955144658017	0.9986365148677439
"kdsD"	0.4915918868005392	0.9914405255584893	"yigI"	0.8245797866278392	0.9986349724045983
"dhaR"	0.4917626669974597	0.99826978436253	"dusA"	0.47868899823789063	0.9986327199837717
"selD"	0.4927543816256404	0.994078552040762	"ruvC"	0.6329509241901347	0.9986321410775402
"fucU"	0.49313975262026655	0.9932631912997893	"yicC"	0.5044178575342104	0.9986302670708619
"kbaZ"	0.4935055978539241	0.9824442975857154	"ydiI"	0.8500022743374627	0.9986213678147959
"mlaC"	0.49354255739454456	0.9952533434898585	"gatR_2"	0.8667978942976763	0.9986139443231911
"hemD"	0.49397881208634536	0.9988054312232825	"hslO"	0.6769902147617882	0.9986103162928901
"rffA"	0.49404938167995477	0.9973494723099826	"yjeT"	0.520543123751004	0.9986057651011405
"lplT"	0.49410632757224643	0.9789218405188108	"rsxB"	0.6533438980973807	0.9986051954645928
"dinB"	0.4942016600049765	0.9876895035984351	"rsmG"	0.7124925760758031	0.9985970376185302
"ydhP"	0.494342920326957	0.9965375300313348	"yicG"	1.2162125104884005	0.9985957197872535
"ypdF"	0.4945297412217204	0.9878250500124922	"yihA"	0.48353165110884727	0.9985954436608756
"xapB"	0.4949088458210724	0.9835652157921393	"ycgV"	0.48711865553659917	0.9985893538326451
"diaA"	0.4951975279891495	0.9712282720937324	"rluA"	0.5167727382866427	0.9985859708007951
"yjjA"	0.49604929507436646	0.9950454892657954	"ves"	0.852350336697419	0.9985781611888245
"yeaL"	0.4961402934066941	0.9817073271396171	"ybbL"	0.8189266974766354	0.9985729783292635
"yeiE"	0.49639809851975525	0.9818882076016934	"ssb"	0.5730217493769185	0.9985582542312872
"ylbF"	0.49642503387814685	0.9885172005695051	"cysZ"	0.6563833514766441	0.9985538634599099
"tufA"	0.496516026393437	0.995087026438243	"yicH"	0.5064042341265794	0.9985533211884913
"hcaE"	0.4967387039008901	0.9952980876639297	"hdfR"	0.7449485121153251	0.9985528224330613
