"genes_rank_std"	"std_rank_std"	"skew_rank_std"	"kurt_rank_std"	"genes_rank_skew"	"std_rank_skew"	"skew_rank_skew"	"kurt_rank_skew"	"genes_rank_kurt"	"std_rank_kurt"	"skew_rank_kurt"	"kurt_rank_kurt"
"yejH"	0.3404694593848278	0.2312862524078317	3.193621981999767	"ybfA"	1.0731297582804247	0.0005483396535330375	4.7406245938531475	"rcsF"	0.7296426770615542	1.4545042249467215	3.003498833358371
"yfgD"	0.3503037127676569	0.7419461885106374	5.188531668410594	"ybgE"	0.8934780159283952	0.0013379551140663972	5.734088796854775	"ybiU"	0.5234822587059743	0.7995589092166075	3.0044695864839763
"degQ"	0.35309025418516704	1.0100751436005786	5.8767193094099035	"yfiH"	0.4652132893924429	0.002057621990578595	3.641696484265111	"nfrA"	0.8525064736329443	1.6132299145161193	3.005340610202386
"yeaN"	0.3558439808079917	0.06918108829398434	3.9760629479185594	"uidR"	0.5162320398767551	0.002155014149094206	4.671239560730856	"ytfG"	0.5619064280412175	1.1962321546325276	3.006023944978087
"helD"	0.3587576714857762	0.3041891867925454	6.329937439327679	"ydhF"	0.5865497315230133	0.0023308296642910696	5.522341896960359	"torR"	0.43604516192607407	0.9113708118884795	3.0062384059398113
"ulaD"	0.3656356420050743	0.43431708833616695	3.76979772875396	"frmB"	0.8396359596039111	0.0025529208432727465	5.211471458229745	"yaaH"	0.4871019320339331	0.49612497401737354	3.007904895164696
"nudL"	0.36563913378851703	0.6197122949045912	3.1136111192363574	"yhiN"	0.41499239463396126	0.002654965806568814	4.0265414590036	"yoaH"	0.5189324686534942	0.27628031743466974	3.0104669153231463
"csdL"	0.36792551896224046	0.3951838226086004	5.238600591157338	"ybaQ"	0.7522339054699367	0.0033811588332103744	5.177091444803656	"ybiX"	0.6550068417427598	1.2665014388438671	3.014919992600265
"yqhC"	0.3703852534031644	1.6392469556938576	13.012428297774385	"psuK"	0.5837129956933038	0.004267026763647355	3.387301584898734	"uxuR"	1.3687254287310693	2.0492419717589683	3.016882896785745
"tag"	0.3710250415426166	0.05853452246091208	3.6123530541233766	"yhdU"	0.8175601553170652	0.004285316711870002	5.650233765284086	"rimM"	1.4380875198686383	1.8183448326703546	3.017622917175787
"yhdP"	0.37240743620091366	0.05810023059815425	3.7754789239625106	"dnaC"	0.5396822428250495	0.004328971792378509	3.562892266668043	"pabC"	0.521743887021782	0.5417107592530682	3.018179526852295
"yqiB"	0.3729487647020221	0.2248609441384487	3.0946589993370024	"yaaI"	0.5481727301605844	0.004482490610378756	3.6521534868615513	"sad"	0.6004657140087456	0.3605026565090205	3.0186529237000146
"djlA"	0.37295227674872217	0.10821259614933357	3.365463715064042	"trg"	0.9697586041864408	0.004891877454461555	5.5139347726307655	"narG"	1.0634892956338118	1.6314251639740869	3.0192044023898115
"ybjK"	0.3730553878772844	0.38061430722487516	4.791904837596625	"ybbJ"	0.7050099238737503	0.005006247157415867	5.636721076219279	"pabA"	0.5442443899341028	0.8475860821630328	3.0198837994487535
"epmB"	0.37673831059287666	0.7991814947601362	3.462139192343976	"yeeZ"	0.6174888755044456	0.005307582207344016	5.570807482407963	"yeiQ"	0.5008076620087563	0.9949516215797469	3.020478807564669
"ybaV"	0.37735547861799473	0.24295930391906745	3.1150803614037654	"msrA"	0.7375642440357485	0.005342384352262439	6.167862961238521	"cas2"	0.8200639849006499	0.555061715983077	3.021676279697692
"norR"	0.37812593372666886	1.0860259825231084	7.9672714763442976	"yhjV"	1.1716309807800125	0.005706121415821395	6.837402086948484	"hflC"	0.6835627615064487	1.2245902913188653	3.022035261467723
"ypdC"	0.37822408889686454	0.47519032277072426	6.03736065046056	"allR"	0.4725870857904873	0.005776384696846116	4.838522830907171	"dpiA"	0.8698260869155489	1.8816220234902443	3.0244063795000775
"yfbR"	0.38160495598490224	0.5901619802253876	5.524952284140225	"rbsC"	1.0527823289256573	0.005819726308392135	5.7145138668118465	"yhiM"	1.0651584100959102	1.4490670624609214	3.0255762807977034
