,conc_M
GLUTATHIONE[c],0.011992138167615995
CYS[c],4.425669520100696e-05
HIS[c],0.00014942584906479125
OXIDIZED-GLUTATHIONE[c],0.0013740991594597691
L-ASPARTATE[c],0.005166001021784335
MET[c],0.00016553773574221693
L-ALPHA-ALANINE[c],0.0022753790513703374
LEU[c],0.001676604780262428
VAL[c],0.0006220411778036908
GLY[c],0.0012716153401406505
TRP[c],0.0003753854407189715
ATP[c],0.009820092729743855
CIT[c],0.0018712222326106947
