,conc_M
GLUTATHIONE[c],0.009790377615883677
CYS[c],1.8065577136200336e-05
HIS[c],6.099560051222466e-05
OXIDIZED-GLUTATHIONE[c],0.0011218141048642445
L-ASPARTATE[c],0.002108760746753031
MET[c],6.757245878457937e-05
L-ALPHA-ALANINE[c],0.0009288093439371653
LEU[c],0.00012654228838765612
VAL[c],0.0002539171206355207
GLY[c],0.0005190731629449257
TRP[c],1.8065577136200336e-05
ATP[c],0.008017120461740286
CIT[c],0.0015276652248827076
