Metal,M9 cells Free [Metal] (M) [2],LB cells Free [Metal] (M) [3],M9 [Metal] buffered (M) [11],M9 [Metal] buffered STD (M) [11],Glutathione,Cysteine,Histidine,GSSG,Asp,Methionine,Alanine,Leucine,Valine,Glycine,Tryptophan,ATP,Citrate
"[16] Krezel A, Bal W. Studies of zinc(II) and nickel(II) complexes of GSH, GSSG and their analogs shed more light on their biological relevance. Bioinorg Chem Appl. 2004;2(3-4):293-305. doi: 10.1155/S1565363304000172. PMID: 18365081; PMCID: PMC2267084.",,,,,,,,,,,,,,,,,
"[17] Terrence B. Field, Janet L. McCourt, and W. A. E. McBryde. 1974. Composition and Stability of Iron and Copper Citrate Complexes in Aqueous Solution. Canadian Journal of Chemistry. 52(17): 3119-3124. https://doi.org/10.1139/v74-458",,,,,,,,,,,,,,,,,
"[18] Northover, G.H.R., Mao, Y., Blasco, S. et al. Synergistic use of siderophores and weak organic ligands during zinc transport in the rhizosphere controlled by pH and ion strength gradients. Sci Rep 12, 6774 (2022). https://doi.org/10.1038/s41598-022-10493-5",,,,,,,,,,,,,,,,,
"[21] Walsh MJ, Ahner BA. Determination of stability constants of Cu(I), Cd(II) & Zn(II) complexes with thiols using fluorescent probes. J Inorg Biochem. 2013 Nov;128:112-23. doi: 10.1016/j.jinorgbio.2013.07.012. Epub 2013 Jul 16. PMID: 23954481.",,,,,,,,,,,,,,,,,
"[22] Outten CE, O'Halloran TV. Femtomolar sensitivity of metalloregulatory proteins controlling zinc homeostasis. Science. 2001 Jun 29;292(5526):2488-92. doi: 10.1126/science.1060331. Epub 2001 Jun 7. PMID: 11397910.",,,,,,,,,,,,,,,,,
"[23] Osman, D., Martini, M.A., Foster, A.W. et al. Bacterial sensors define intracellular free energies for correct enzyme metalation. Nat Chem Biol 15, 241–249 (2019). https://doi.org/10.1038/s41589-018-0211-4",,,,,,,,,,,,,,,,,
[24] BioNumber. Concentration of total and free magnesium ion (Mg2+). https://bionumbers.hms.harvard.edu/bionumber.aspx?id=115774,,,,,,,,,,,,,,,,,
"[25] Donald R. Burgess (2004), NIST SRD 46. Critically Selected Stability Constants of Metal Complexes: Version 8.0 for Windows, National Institute of Standards and Technology, https://doi.org/10.18434/M32154 (Accessed June 25, 2021)",,,,,,,,,,,,,,,,,
"[26] Naoyuki Hatada, https://github.com/n-hatada/stability-constant-explorer",,,,,,,,,,,,,,,,,
[27] John D. Helmann; Metals in Motion: Understanding Labile Metal Pools in Bacteria. Biochemistry 21 January 2025; 64 (2): 329–345. https://doi.org/10.1021/acs.biochem.4c00726,,,,,,,,,,,,,,,,,
