Accession Number,Gene Name
AAC73143.1,carA
AAC74783.1,pheT
AAC77311.1,tsr
AAC77344.1,ettA
AAC73277.1,dapD
AAC76458.1,asd
AAC73756.1,gltI
AAC75929.1,prfB
AAT48143.1,purL
AAC74368.1,rnb
AAC73975.1,lrp
AAC76756.1,atpG
AAC75068.2,tmaR
AAC74207.1,potD
AAC75822.1,pyrG
AAC75211.1,mglB
AAC73820.1,sucA
AAC73289.1,skp
AAC75641.1,clpB
AAC76983.1,metA
AAC75962.1,fbaA
AAC77183.1,ppa
AAC73283.1,frr
AAC75383.1,fabB
AAT48155.1,tktA
AAC74356.1,topA
AAC73206.1,ftsZ
AAC74370.1,fabI
AAC75090.1,gnd
AAC76283.2,mreB
AAC74287.1,ychF
AAC75357.1,pta
AAC75157.2,gatY
AAC74178.1,acpP
AAC73993.1,serC
AAC76583.1,glyS
AAC73950.1,artI
AAC75551.2,upp
AAC76994.1,lysC
AAC75080.1,hisG
AAC73256.1,dksA
AAC73814.1,gltA
AAC74291.1,prs
AAC74934.1,yebC
AAC73137.1,ileS
AAC76323.1,rpsM
AAC74786.1,rplT
AAC74146.1,pyrC
AAC76901.1,tpiA
AAC76103.1,rpoD
AAC74215.1,purB
AAC76774.1,rbsB
AAC74148.1,grxB
AAC76890.1,sodA
AAC75738.1,csrA
AAC74726.1,grxD
AAC74016.1,asnS
AAC75734.1,luxS
AAC73743.1,leuS
AAC75516.1,maeB
AAC75376.1,accD
AAC75214.1,folE
AAC73888.1,hcxB
AAC74747.1,lpp
AAC74784.1,pheS
AAC75582.1,iscU
AAC76968.1,thiC
AAC74010.1,mukB
AAC75081.1,hisD
AAC76372.1,fkpA
AAC75457.1,gltX
AAC77164.2,fklB
AAC74040.1,fabA
AAC73627.1,ppiB
AAC76899.1,sbp
AAC76643.1,rfaD
AAC73308.1,metQ
AAC77215.1,valS
AAC75571.1,ndk
AAC76942.1,argH
AAC75793.1,cysN
AAC76213.2,greA
AAC74986.2,dcyD
AAC75246.1,rplY
AAC74342.1,trpA
AAC76660.1,rpmG
AAC74922.1,zwf
AAC75928.1,lysS
AAC74850.2,yeaD
AAC74177.1,fabG
AAC73179.1,thiB
AAC74168.1,rne
AAC74351.1,rluB
AAC73185.1,leuA
AAC73707.2,ahpF
AAC75975.1,speA
AAC76898.1,pfkA
AAC73778.1,fldA
AAC76924.1,katG
AAC76668.1,yicC
AAC73305.1,proS
AAC76520.1,uspA
AAC76984.1,aceB
AAC75372.1,purF
AAC76786.2,trxA
AAC76918.1,rpmE
AAC74612.1,ydfG
AAD13453.1,fdhE
AAC74730.1,purR
AAC74975.1,ftnA
AAC73215.1,guaC
AAC76980.1,purH
AAC74901.2,proQ
AAC76752.1,glmS
AAC73774.1,glnS
AAC76922.1,metL
AAC73114.1,thrB
AAC76634.1,grxC
AAC74788.1,infC
AAC73265.1,hemL
AAC74956.1,tar
AAC74951.1,cheZ
AAC76989.1,metH
AAC74176.1,fabD
AAC76910.1,zapB
AAC74014.1,aspC
AAC76923.1,metF
AAC73817.1,sdhA
AAC75560.1,guaA
AAC76979.1,purD
AAC73573.1,ybaB
AAC73472.2,hemB
AAC76995.1,pgi
AAC74920.1,eda
AAC73941.1,potF
AAC75086.1,hisF
AAC75193.1,bglX
AAC75999.1,yggX
AAC77328.1,prfC
AAC75741.1,recA
AAC77170.1,cpdB
AAC74900.1,prc
AAC74299.1,kdsA
AAC73679.1,nfsB
AAC75794.1,cysD
AAC76409.1,trpS
AAC77336.1,deoB
AAC76288.1,accC
AAC73182.1,leuD
AAC76911.1,rraA
AAC76384.1,argD
AAC75103.1,galF
AAC76913.1,hslU
AAC73518.1,ribE
AAC74887.1,manX
AAC75155.1,gatA
AAC77334.1,deoC
AAC73575.1,htpG
AAC74103.1,efeO
