Accession Number,Gene Name
AAC77173.1,ytfJ
AAC76465.1,yhhX
AAC74581.1,hipB
AAC77129.1,hfq
AAC74531.4,curA
AAC73223.1,aroP
AAC74793.1,pfkB
AAC73729.1,lipA
AAC73845.1,galT
AAC75078.2,yefM
AAC74203.1,nagK
AAC74229.1,ymfK
AAC76794.1,rffH
AAC74156.1,flgA
AAC74000.1,msbA
AAC74007.1,cmoM
AAC75027.1,dcm
AAC76457.1,glgB
AAC73117.1,yaaA
AAC73506.2,malZ
AAC75378.1,truA
AAC73891.2,ybiX
AAC74352.1,btuR
AAC74944.2,cutC
AAC73672.1,cusR
AAC74276.1,ldcA
AAC73447.1,lacZ
AAC74145.1,dinI
AAC77158.1,priB
AAC73617.1,allE
AAC73493.1,aroM
AAC73415.1,betB
AAC75217.1,lysP
AAC73259.2,hrpB
AAC74382.1,puuC
AAC75973.2,loiP
AAC74851.1,yeaE
AAC77307.1,mrr
AAC74889.2,manZ
AAD13446.2,csqR
AAC74517.2,rlhA
AAC76712.3,yidR
AAC74733.1,cfa
AAC73834.1,tolB
AAC75789.1,ispD
AAC74281.1,treA
AAT48214.2,rffC
AAC75685.1,yfjT
AAC75756.2,ascG
AAC77090.1,lysU
AAC76214.1,dacB
AAC73666.1,ompT
AAC74327.1,oppC
AAC74265.3,ycgN
AAC76517.1,yhiN
AAC76640.1,tdh
AAC76864.2,hemN
AAC76945.2,hemN
AAC74301.1,chaB
AAC77251.2,yjhU
AAC74099.1,putA
AAC75489.1,hemF
AAC74104.1,efeB
AAC74482.1,paaY
AAC74341.2,yciG
AAC76728.1,yidC
AAC73320.1,dnaQ
AAC75010.1,fliK
AAC76305.1,yrdB
AAC73860.1,ybhB
AAC75309.1,yfaY
AAC73126.1,dnaJ
AAC73744.1,ybeL
AAC74991.1,fliD
AAC76837.1,ubiJ
AAC74609.1,ydeI
AAC75492.1,eutL
AAC73978.1,rarA
AAC76127.1,uxaC
AAC75854.1,tcdA
AAC76501.1,nikA
AAC73831.1,tolQ
AAC74504.2,ydcI
AAC74995.1,yedD
AAC76950.1,murB
AAC75718.1,ygaC
AAC73987.1,ycaK
AAC77128.1,miaA
AAC75229.1,fruK
AAC73763.1,ubiF
