"Strain","Length","Percent"
"MC4100","1",8.22355289421158
"MC4100","2",9.18163672654691
"MC4100","3",8.18363273453094
"MC4100","4",7.34530938123753
"MC4100","5",6.62674650698603
"MC4100","7",5.26946107784431
"MC4100","8",4.59081836327345
"MC4100","9",4.11177644710579
"MC4100","10",3.35329341317366
"MC4100","11",3.1936127744511
"MC4100","12",2.71457085828344
"MC4100","13",2.55489021956088
"MC4100","14",2.35528942115769
"MC4100","15",2.19560878243513
"MC4100","16",1.91616766467066
"MC4100","17",1.67664670658683
"MC4100","18",1.51696606786427
"MC4100","19",1.43712574850299
"MC4100","20",1.27744510978044
"MC4100","21",1.07784431137725
"MC4100","22",1.11776447105789
"MC4100","23",0.998003992015967
"MC4100","24",0.758483033932137
"MC4100","25",0.758483033932137
"MC4100","26",0.798403193612774
"MC4100","27",0.678642714570859
"MC4100","28",0.558882235528941
"MC4100","29",0.518962075848304
"MC4100","30",0.479041916167663
"MC4100",">30",12.814371257485
"MC4100","6",5.53155566040573
"P678-54","1",8.46686696132648
"P678-54","2",6.2959596450205
"P678-54","3",6.54056892009723
"P678-54","4",6.87690667332774
"P678-54","5",6.50999276071264
"P678-54","6",6.23480732625132
"P678-54","7",5.40925102286736
"P678-54","8",5.07291326963686
"P678-54","9",4.64484703825258
"P678-54","10",4.27793312563748
"P678-54","11",3.42180066286893
"P678-54","12",3.05488675025384
"P678-54","13",2.8408536345617
"P678-54","14",2.50451588133119
"P678-54","15",2.41278740317742
"P678-54","16",1.92356885302396
"P678-54","17",1.64838341856264
"P678-54","18",1.55665494040887
"P678-54","19",1.31204566533214
"P678-54","20",1.28146950594755
"P678-54","21",1.22031718717837
"P678-54","22",0.975707912101637
"P678-54","23",0.975707912101637
"P678-54","24",0.822827115178683
"P678-54","25",0.792250955794088
"P678-54","26",0.700522477640316
"P678-54","27",0.700522477640316
"P678-54","28",0.547641680717362
"P678-54","29",0.547641680717362
"P678-54","30",0.455913202563583
"P678-54",">30",14.8878604320906
