fba_id,base_id
ABC-18-RXN-ATP/D-galactopyranose/WATER//ADP/ALPHA-D-GALACTOSE/Pi/PROTON.61.,ABC-18-RXN
ABC-18-RXN-ATP/D-galactopyranose/WATER//ADP/D-galactopyranose/Pi/PROTON.61.,ABC-18-RXN
ABC-18-RXN-ATP/D-galactopyranose/WATER//ADP/GALACTOSE/Pi/PROTON.53.,ABC-18-RXN
ABC-18-RXN-ATP/GALACTOSE/WATER//ADP/ALPHA-D-GALACTOSE/Pi/PROTON.53.,ABC-18-RXN
ABC-18-RXN-ATP/GALACTOSE/WATER//ADP/D-galactopyranose/Pi/PROTON.53.,ABC-18-RXN
ABC-18-RXN-ATP/GALACTOSE/WATER//ADP/GALACTOSE/Pi/PROTON.45.,ABC-18-RXN
ABC-19-RXN,ABC-19-RXN
ABC-28-RXN,ABC-28-RXN
ABC-28-RXN-ATP/CPD-15829/WATER//ADP/CPD-15829/Pi/PROTON.45.,ABC-28-RXN
ABC-28-RXN-ATP/CPD-15829/WATER//ADP/CPD0-1110/Pi/PROTON.45.,ABC-28-RXN
ABC-28-RXN-ATP/CPD-15829/WATER//ADP/D-Ribopyranose/Pi/PROTON.50.,ABC-28-RXN
ABC-28-RXN-ATP/CPD0-1110/WATER//ADP/CPD-15829/Pi/PROTON.45.,ABC-28-RXN
ABC-28-RXN-ATP/CPD0-1110/WATER//ADP/CPD0-1110/Pi/PROTON.45.,ABC-28-RXN
ABC-28-RXN-ATP/CPD0-1110/WATER//ADP/D-Ribopyranose/Pi/PROTON.50.,ABC-28-RXN
ABC-28-RXN-ATP/D-Ribopyranose/WATER//ADP/CPD-15829/Pi/PROTON.50.,ABC-28-RXN
ABC-28-RXN-ATP/D-Ribopyranose/WATER//ADP/CPD0-1110/Pi/PROTON.50.,ABC-28-RXN
ABC-28-RXN-ATP/D-Ribopyranose/WATER//ADP/D-Ribopyranose/Pi/PROTON.55.,ABC-28-RXN
ABC-32-RXN,ABC-32-RXN
ABC-5-RXN,ABC-5-RXN
ABC-64-RXN,ABC-64-RXN
ABC-9-RXN,ABC-9-RXN
ACETALD-DEHYDROG-RXN,ACETALD-DEHYDROG-RXN
ACETALD-DEHYDROG-RXN (reverse),ACETALD-DEHYDROG-RXN
ACETALD-DEHYDROG-RXN__MHPF-MONOMER,ACETALD-DEHYDROG-RXN
ACETYLESTERASE-RXN-ETHYLACETATE/WATER//ETOH/ACET/PROTON.37.,ACETYLESTERASE-RXN
ACYL-COA-HYDROLASE-RXN,ACYL-COA-HYDROLASE-RXN
ACYLPHOSPHATASE-RXN-ACETYL-P/WATER//ACET/Pi/PROTON.31.,ACYLPHOSPHATASE-RXN
ADPSUGPPHOSPHAT-RXN,ADPSUGPPHOSPHAT-RXN
ALPHAGALACTOSID-RXN,ALPHAGALACTOSID-RXN
ALPHAGALACTOSID-RXN-MELIBIOSE/WATER//ALPHA-D-GALACTOSE/ALPHA-GLUCOSE.49.,ALPHAGALACTOSID-RXN
ALPHAGALACTOSID-RXN-MELIBIOSE/WATER//ALPHA-D-GALACTOSE/GLC.39.,ALPHAGALACTOSID-RXN
ALPHAGALACTOSID-RXN-MELIBIOSE/WATER//ALPHA-D-GALACTOSE/Glucopyranose.49.,ALPHAGALACTOSID-RXN
ALPHAGALACTOSID-RXN-MELIBIOSE/WATER//D-galactopyranose/ALPHA-GLUCOSE.49.,ALPHAGALACTOSID-RXN
ALPHAGALACTOSID-RXN-MELIBIOSE/WATER//D-galactopyranose/GLC.39.,ALPHAGALACTOSID-RXN
ALPHAGALACTOSID-RXN-MELIBIOSE/WATER//GALACTOSE/ALPHA-GLUCOSE.41.,ALPHAGALACTOSID-RXN
ALPHAGALACTOSID-RXN-MELIBIOSE/WATER//GALACTOSE/GLC.31.,ALPHAGALACTOSID-RXN
ALPHAGALACTOSID-RXN-MELIBIOSE/WATER//GALACTOSE/Glucopyranose.41.,ALPHAGALACTOSID-RXN
ARGDECARBOX-RXN[CCO-PERI-BAC]-ARG/PROTON//CARBON-DIOXIDE/AGMATHINE.51.,ARGDECARBOX-RXN
BETA-GLUCURONID-RXN,BETA-GLUCURONID-RXN
BETA-LACTAMASE-RXN[CCO-PERI-BAC]-Beta-Lactams/WATER//CPD-8550/PROTON.50.,BETA-LACTAMASE-RXN
BETAGALACTOSID-RXN[CCI-PERI-BAC-GN]-Alpha-lactose/WATER//GALACTOSE/ALPHA-GLUCOSE.62.,BETAGALACTOSID-RXN
BETAGALACTOSID-RXN[CCI-PERI-BAC-GN]-Alpha-lactose/WATER//GALACTOSE/GLC.52.,BETAGALACTOSID-RXN
BETAGALACTOSID-RXN[CCI-PERI-BAC-GN]-Alpha-lactose/WATER//GALACTOSE/Glucopyranose.62.,BETAGALACTOSID-RXN
BETAGALACTOSID-RXN[CCI-PERI-BAC-GN]-CPD-15972/WATER//GALACTOSE/ALPHA-GLUCOSE.58.,BETAGALACTOSID-RXN
BETAGALACTOSID-RXN[CCI-PERI-BAC-GN]-CPD-15972/WATER//GALACTOSE/GLC.48.,BETAGALACTOSID-RXN
BETAGALACTOSID-RXN[CCI-PERI-BAC-GN]-CPD-15972/WATER//GALACTOSE/Glucopyranose.58.,BETAGALACTOSID-RXN
BTUR2-RXN,BTUR2-RXN
CARBOXYLATE-REDUCTASE-RXN,CARBOXYLATE-REDUCTASE-RXN
CARNDETRU-RXN,CARNDETRU-RXN
CARNDETRU-RXN (reverse),CARNDETRU-RXN
COBALADENOSYLTRANS-RXN,COBALADENOSYLTRANS-RXN
CROBETREDUCT-RXN (reverse),CROBETREDUCT-RXN
DEHYDDEOXGALACTKIN-RXN,DEHYDDEOXGALACTKIN-RXN
DIENOYLCOAREDUCT-RXN (reverse),DIENOYLCOAREDUCT-RXN
FCLEPIM-RXN,FCLEPIM-RXN
FCLREDUCT-RXN (reverse),FCLREDUCT-RXN
GALACTARDEHYDRA-RXN,GALACTARDEHYDRA-RXN
GALACTONDEHYDRAT-RXN,GALACTONDEHYDRAT-RXN
GDP-GLUCOSIDASE-RXN,GDP-GLUCOSIDASE-RXN
GDP-GLUCOSIDASE-RXN-GDP-D-GLUCOSE/WATER//GDP/ALPHA-GLUCOSE/PROTON.46.,GDP-GLUCOSIDASE-RXN
GDP-GLUCOSIDASE-RXN-GDP-D-GLUCOSE/WATER//GDP/GLC/PROTON.36.,GDP-GLUCOSIDASE-RXN
GDPMANDEHYDRA-RXN,GDPMANDEHYDRA-RXN
GDPMANMANHYDRO-RXN,GDPMANMANHYDRO-RXN
GDPMANMANHYDRO-RXN-GDP-MANNOSE/WATER//CPD-12601/GDP/PROTON.40.,GDPMANMANHYDRO-RXN
GDPMANMANHYDRO-RXN-GDP-MANNOSE/WATER//CPD-13559/GDP/PROTON.40.,GDPMANMANHYDRO-RXN
GDPMANMANHYDRO-RXN-GDP-MANNOSE/WATER//CPD-15373/GDP/PROTON.40.,GDPMANMANHYDRO-RXN
GLCNACPTRANS-RXN,GLCNACPTRANS-RXN
GLUCARDEHYDRA-RXN,GLUCARDEHYDRA-RXN
GLUCOSAMINE-6-P-DEAMIN-RXN,GLUCOSAMINE-6-P-DEAMIN-RXN
GLUCOSAMINE-6-P-DEAMIN-RXN (reverse),GLUCOSAMINE-6-P-DEAMIN-RXN
GLUCOSAMINE-6-P-DEAMIN-RXN-CPD-13469/WATER//AMMONIUM/FRUCTOSE-6P.38.,GLUCOSAMINE-6-P-DEAMIN-RXN
GLUCOSE-1-PHOSPHAT-RXN[CCO-PERI-BAC]-GLC-1-P/WATER//ALPHA-GLUCOSE/Pi.46.,GLUCOSE-1-PHOSPHAT-RXN
GLUCOSE-1-PHOSPHAT-RXN[CCO-PERI-BAC]-GLC-1-P/WATER//ALPHA-GLUCOSE/Pi.46.__GLUCOSE-1-PHOSPHAT-CPLX,GLUCOSE-1-PHOSPHAT-RXN
GLUCOSE-1-PHOSPHAT-RXN[CCO-PERI-BAC]-GLC-1-P/WATER//GLC/Pi.36.,GLUCOSE-1-PHOSPHAT-RXN
GLUCOSE-1-PHOSPHAT-RXN[CCO-PERI-BAC]-GLC-1-P/WATER//GLC/Pi.36.__GLUCOSE-1-PHOSPHAT-CPLX,GLUCOSE-1-PHOSPHAT-RXN
GLUCOSE-1-PHOSPHAT-RXN[CCO-PERI-BAC]-GLC-1-P/WATER//Glucopyranose/Pi.46.,GLUCOSE-1-PHOSPHAT-RXN
GLUCOSE-1-PHOSPHAT-RXN[CCO-PERI-BAC]-GLC-1-P/WATER//Glucopyranose/Pi.46.__GLUCOSE-1-PHOSPHAT-CPLX,GLUCOSE-1-PHOSPHAT-RXN
GLYCEROL-2-PHOSPHATASE-RXN[CCO-CYTOSOL]-CPD-536/WATER//GLYCEROL/Pi.40.,GLYCEROL-2-PHOSPHATASE-RXN
GPH-RXN[CCO-CYTOSOL]-CPD-67/WATER//GLYCOLLATE/Pi.41.,GPH-RXN
GPH-RXN[CCO-PERI-BAC]-CPD-67/WATER//GLYCOLLATE/Pi.42.,GPH-RXN
GPH-RXN[CCO-PERI-BAC]-CPD-67/WATER//GLYCOLLATE/Pi.42.__GPH-MONOMER,GPH-RXN
HCAMULTI-RXN,HCAMULTI-RXN
