,reactionID,stoichiometry,reversible,protein_complexes,protein_monomers,monomer_counts,genes
96,TRANS-RXN-106,"{'SUC': [-1, 1], 'FUM': [-1, 1]}",True,"['DCUC-MONOMER', 'DCUB-MONOMER', 'DCUA-MONOMER']",[],[],"['G6347', 'EG10006', 'EG11225']"
97,TRANS-RXN-299,"{'FUM': [-1, 1], 'PROTON': [-3, 1]}",True,"['DCUA-MONOMER', 'DCUC-MONOMER', 'DCUB-MONOMER']",[],[],"['EG11225', 'G6347', 'EG10006']"
98,RXN0-5359,"{'GTP': -2, 'C-DI-GMP': 1, 'PPI': 1}",False,"['EG12880-MONOMER', 'CPLX0-8556', 'CPLX0-8090', 'CPLX0-7802', 'G6532-MONOMER', 'CPLX0-8218', 'G6980-MONOMER', 'CPLX0-8535', 'G7049-MONOMER', 'G6972-MONOMER']","['EG11257-MONOMER', 'G6673-MONOMER', 'EG11643-MONOMER', 'G6784-MONOMER', 'EG12396-MONOMER']","[2, 4, 2, 2, 2]","['EG12880', 'EG11257', 'G6673', 'EG11643', 'G6532', 'G6784', 'G6980', 'EG12396', 'G7049', 'G6972']"
99,GALACTONDEHYDRAT-RXN,"{'D-GALACTONATE': -1, 'WATER': 1, '2-DEHYDRO-3-DEOXY-D-GALACTONATE': 1}",False,['GALACTONATE-DEHYDRATASE-MONOMER'],[],[],['GB4478']
100,DEHYDDEOXGALACTKIN-RXN,"{'2-DEHYDRO-3-DEOXY-D-GALACTONATE': -1, 'ATP': -1, 'PROTON': 1, 'DEHYDRO-DEOXY-GALACTONATE-PHOSPHATE': 1, 'ADP': 1}",False,['DEHYDDEOXGALACTKIN-MONOMER'],[],[],['EG20051']
101,TRANS-RXN-16,"{'PROTON': [-2, 1], 'D-GALACTONATE': [-1, 1]}",True,['YIDT-MONOMER'],[],[],['EG20053']
102,No Reaction Found,[],,CPLX0-7823,[],[],['G6784']
103,RXN0-4181,"{'C-DI-GMP': -1, 'WATER': -1, 'PROTON': 1, 'L-DI-GMP': 1}",False,"['EG11938-MONOMER', 'CPLX0-8200', 'EG12252-MONOMER', 'G6639-MONOMER', 'CPLX0-8199', 'CPLX0-8109', 'CPLX0-8555']","['G7314-MONOMER', 'G6783-MONOMER', 'EG11236-MONOMER', 'EG12256-MONOMER']","[2, 2, 2, 2]","['EG11938', 'G7314', 'EG12252', 'G6639', 'G6783', 'EG11236', 'EG12256']"
104,No Reaction Found,[],,CPLX0-7823,[],[],['G6783']
105,No Reaction Found,[],,MONOMER0-4152,[],[],['EG11297']
