,reactionID,stoichiometry,reversible,protein_complexes,protein_monomers,monomer_counts,genes
175,1.5.1.34-RXN,"{'5678-TETRAHYDROPTERIDINE': -1, 'NAD-P-OR-NOP': -1, '67-DIHYDROPTERIDINE': 1, 'NADH-P-OR-NOP': 1, 'PROTON': 1}",False,"['EG10456-MONOMER', 'DIHYDROPTERIREDUCT-CPLX']",['DIHYDROPTERIREDUCT-MONOMER'],[2],"['EG10456', 'EG50005']"
176,SORBITOL-6-PHOSPHATASE-RXN,"{'D-SORBITOL-6-P': -1, 'WATER': -1, 'SORBITOL': 1, 'Pi': 1}",False,"['G6932-MONOMER', 'G7187-MONOMER']",[],[],"['G6932', 'G7187']"
177,MANNITOL-1-PHOSPHATASE-RXN,"{'WATER': -1, 'MANNITOL-1P': -1, 'Pi': 1, 'MANNITOL': 1}",False,"['G6932-MONOMER', 'G7187-MONOMER']",[],[],"['G6932', 'G7187']"
178,3.1.3.68-RXN,"{'WATER': -1, '2-DEOXY-D-GLUCOSE-6-PHOSPHATE': -1, '2-DEOXY-D-GLUCOSE': 1, 'Pi': 1}",False,"['ALKAPHOSPHA-CPLX', 'G6932-MONOMER']",['ALKAPHOSPHA-MONOMER'],[2],"['EG10727', 'G6932']"
179,RXN0-5256,"{'Menaquinones': -1, 'PROTON': [-2, 1], 'HYDROGEN-MOLECULE': -1, 'Menaquinols': 1}",True,"['CPLX0-8167', 'FORMHYDROG2-CPLX']","['FORMHYDROGI-CPLX', 'HYBA-MONOMER', 'EG11800-MONOMER', 'MONOMER0-145', 'HYBC-MONOMER']","[2, 1, 1, 1, 1]","['EG10468', 'EG10469', 'EG10470', 'EG11799', 'EG11800', 'G7554', 'EG11801']"
180,RXN-16420,"{'HYDROGEN-MOLECULE': -2, 'OXYGEN-MOLECULE': -1, 'WATER': 2}",False,['CPLX0-8167'],['FORMHYDROGI-CPLX'],[2],"['EG10468', 'EG10469', 'EG10470']"
181,TRANS-RXN0-228,"{'PROTON': [-1, 1], '5-DEHYDROGLUCONATE': [-1, 1]}",True,['YJGT-MONOMER'],[],[],['EG12539']
182,TRANS-RXN-181A,"{'PROTON': [-1, 1], 'L-IDONATE': [-1, 1]}",True,['YJGT-MONOMER'],[],[],['EG12539']
183,RXN-14381,"{'Persulfurated-L-cysteine-desulfurases': -1, 'D-form-FeS-Cluster-Scaffold-Proteins': -1, 'S-CD-Apo-SP-Complex': 1}",Not found,['G7324-MONOMER'],[],[],['G7324']
184,TRANS-RXN-113,"{'PROTON': [-1, 1], '2-DEHYDRO-3-DEOXY-D-GLUCONATE': [-1, 1]}",True,['KDGT-MONOMER'],[],[],['EG11869']
185,TRANS-RXN-23,"{'PROTON': [-1, 1], '2-KETOGLUTARATE': [-1, 1]}",True,['KGTP-MONOMER'],[],[],['EG10522']
186,RXN0-1741,"{'MALTOSE': [-1, 1]}",False,['CPLX0-7655'],['EG10528-MONOMER'],[3],['EG10528']
187,RXN0-1804,"{'Unspecified-Ion-Or-Solute': [-1, 1]}",False,['CPLX0-7655'],['EG10528-MONOMER'],[3],['EG10528']
188,RXN0-5227,"{'CPD0-1082': -1, 'WATER': -1, 'L-ALA-GAMMA-D-GLU-DAP': 1, 'D-ALANINE': 1}",False,['CPLX0-8616'],['G6621-MONOMER'],[2],['G6621']
189,RXN0-2061,"{'UDP-MURNAC-TETRAPEPTIDE': -1, 'WATER': -1, 'D-ALANINE': 1, 'UDP-AAGM-DIAMINOHEPTANEDIOATE': 1}",False,['CPLX0-8616'],['G6621-MONOMER'],[2],['G6621']
190,RXN0-5401,"{'a-murein-lipoprotein': -1, 'CPD-17931': -1, 'CPD0-1171': 1, 'D-ALANINE': 1}",False,"['G6422-MONOMER', 'G6571-MONOMER', 'G7073-MONOMER']",[],[],"['G6422', 'G6571', 'G7073']"
191,RXN-16660,"{'CPD-17926': -1, 'CPD-17931': -1, 'CPD-17947': 1, 'D-ALANINE': 1}",False,"['G6904-MONOMER', 'EG11253-MONOMER']",[],[],"['G6904', 'EG11253']"
192,RXN0-5229,"{'CPD0-1083': -1, 'NAD': -1, 'PROTON': 1, 'D-TAGATURONATE': 1, 'NADH': 1}",False,['G7945-MONOMER'],[],[],['G7945']
193,TRANS-RXN0-227,"{'PROTON': [-1, 1], 'CPD0-1083': [-1, 1]}",True,['YJIZ-MONOMER'],[],[],['EG12587']
194,RXN-17363,"{'Diacylglycerol-Prolipoproteins': -1, 'Phosphoglycerides': -1, 'a-mature-triacylated-lipoprotein': 1, '1-Lyso-phospholipids': 1, 'PROTON': 1}",False,['EG10168-MONOMER'],[],[],['EG10168']
195,RXN-19774,"{'Diacylglycerol-Prolipoproteins': -1, 'L-1-PHOSPHATIDYL-ETHANOLAMINE': -1, 'a-mature-triacylated-lipoprotein': 1, '2-ACYL-GPE': 1, 'PROTON': 1}",False,['EG10168-MONOMER'],[],[],['EG10168']
196,RXN-22427,"{'a-mature-triacylated-lipoprotein': -1, 'LolA': -1, 'ATP': -1, 'WATER': -1, 'LolA-Lipoprotein-Complex': 1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,['ABC-62-CPLX'],"['YCFW-MONOMER', 'YCFV-MONOMER', 'YCFU-MONOMER']","[1, 2, 1]","['G6575', 'G6574', 'G6573']"
197,TRANS-RXN-294,"{'2-ACYL-GPE': [-1, 1]}",True,['EG12455-MONOMER'],[],[],['EG12455']
198,TRANS-RXN-295,"{'Lysophosphatidylglycerols': [-1, 1]}",True,['EG12455-MONOMER'],[],[],['EG12455']
199,TRANS-RXN-387,"{'a-lyso-cardiolipin': [-1, 1]}",False,['EG12455-MONOMER'],[],[],['EG12455']
200,ABC-16-RXN,"{'MALTOSE': [-1, 1], 'ATP': -1, 'WATER': -1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,['ABC-16-CPLX'],"['MALK-MONOMER', 'MALF-MONOMER', 'MALG-MONOMER', 'MALE-MONOMER']","[2, 1, 1, 1]","['EG10558', 'EG10555', 'EG10556', 'EG10554']"
201,TRANS-RXN0-504,"{'MALTOTETRAOSE': [-1, 1], 'ATP': -1, 'WATER': -1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,['ABC-16-CPLX'],"['MALK-MONOMER', 'MALF-MONOMER', 'MALG-MONOMER', 'MALE-MONOMER']","[2, 1, 1, 1]","['EG10558', 'EG10555', 'EG10556', 'EG10554']"
202,TRANS-RXN0-503,"{'MALTOTRIOSE': [-1, 1], 'ATP': -1, 'WATER': -1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,['ABC-16-CPLX'],"['MALK-MONOMER', 'MALF-MONOMER', 'MALG-MONOMER', 'MALE-MONOMER']","[2, 1, 1, 1]","['EG10558', 'EG10555', 'EG10556', 'EG10554']"
203,TRANS-RXN0-575,"{'MALTOSE': [-1, 1]}",False,['MALX-MONOMER'],[],[],['EG10563']
204,TRANS-RXN0-574,"{'Glucopyranose': [-1, 1]}",False,['MALX-MONOMER'],[],[],['EG10563']
205,ALPHAGALACTOSID-RXN,"{'WATER': -1, 'MELIBIOSE': -1, 'D-galactopyranose': 1, 'Glucopyranose': 1}",False,['ALPHAGALACTOSID-CPLX'],['ALPHAGALACTOSID-MONOMER'],[2],['EG10577']
206,RXN-17754,"{'CPD-3801': -1, 'WATER': -1, 'ALPHA-D-GALACTOSE': 1, 'GLUCONATE': 1}",False,['ALPHAGALACTOSID-CPLX'],['ALPHAGALACTOSID-MONOMER'],[2],['EG10577']
207,TRANS-RXN-94,"{'PROTON': [-1, 1], 'MELIBIOSE': [-1, 1]}",True,"['LACY-MONOMER', 'MELB-MONOMER']",[],[],"['EG10526', 'EG10578']"
208,RXN-17755,"{'PROTON': [-1, 1], 'CPD-3801': [-1, 1]}",True,"['MELB-MONOMER', 'LACY-MONOMER']",[],[],"['EG10578', 'EG10526']"
209,TRANS-RXN-94B,"{'LI+': [-1, 1], 'MELIBIOSE': [-1, 1]}",True,['MELB-MONOMER'],[],[],['EG10578']
210,TRANS-RXN-94A,"{'NA+': [-1, 1], 'MELIBIOSE': [-1, 1]}",True,['MELB-MONOMER'],[],[],['EG10578']
211,TRANS-RXN0-520,"{'METHYL-BETA-D-GALACTOSIDE': [-1, 1], 'NA+': [-1, 1]}",True,['MELB-MONOMER'],[],[],['EG10578']
212,TRANS-RXN0-519,"{'CPD-3565': [-1, 1], 'PROTON': [-1, 1]}",True,['MELB-MONOMER'],[],[],['EG10578']
213,RXN0-5407,"{'CPD0-1185': -1, 'WATER': -1, 'A-PEPTIDOGLYCAN-MDAP-TRIPEPTIDE': 1, 'CPD-24859': 1}",False,"['CPLX0-3201', 'G6474-MONOMER', 'EG10013-MONOMER', 'G7147-MONOMER', 'G6892-MONOMER']",['EG10580-MONOMER'],[2],"['EG10580', 'G6474', 'EG10013', 'G7147', 'G6892']"
214,ABC-18-RXN,"{'ATP': -1, 'D-galactopyranose': [-1, 1], 'WATER': -1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,['ABC-18-CPLX'],"['MGLA-MONOMER', 'MGLC-MONOMER', 'MGLB-MONOMER']","[1, 2, 1]","['EG10592', 'EG10594', 'EG10593']"
215,TRANS-RXN0-541,"{'METHYL-BETA-D-GALACTOSIDE': [-1, 1], 'ATP': -1, 'WATER': -1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,['ABC-18-CPLX'],"['MGLA-MONOMER', 'MGLC-MONOMER', 'MGLB-MONOMER']","[1, 2, 1]","['EG10592', 'EG10594', 'EG10593']"
216,MHPHYDROXY-RXN,"{'PROTON': -1, '3-HYDROXYPHENYL-PROPIONATE': -1, 'NADH': -1, 'OXYGEN-MOLECULE': -1, 'WATER': 1, '2-3-DIHYDROXYPHENYL-PROPIONATE': 1, 'NAD': 1}",False,['MHPHYDROXY-MONOMER'],[],[],['M010']
217,RXN-10040,"{'CPD-10797': -1, 'OXYGEN-MOLECULE': -1, 'NADH': -1, 'PROTON': -1, 'CPD-10796': 1, 'WATER': 1, 'NAD': 1}",False,['MHPHYDROXY-MONOMER'],[],[],['M010']
218,1.13.11.16-RXN,"{'2-3-DIHYDROXYPHENYL-PROPIONATE': -1, 'OXYGEN-MOLECULE': -1, 'PROTON': 1, 'CPD-157': 1}",False,['DHPDIOXYGEN-CPLX'],['DHPDIOXYGEN-MONOMER'],[4],['M011']
219,RXN-12073,"{'CPD-10796': -1, 'OXYGEN-MOLECULE': -1, 'CPD0-2184': 1, 'PROTON': 1}",False,['DHPDIOXYGEN-CPLX'],['DHPDIOXYGEN-MONOMER'],[4],['M011']
220,MHPCHYDROL-RXN,"{'CPD-157': -1, 'WATER': -1, 'CPD-14447': 1, 'SUC': 1, 'PROTON': 1}",False,['CPLX0-7950'],['MHPCHYDROL-MONOMER'],[2],['M012']
221,RXN-12070,"{'CPD0-2184': -1, 'WATER': -1, 'CPD-14447': 1, 'FUM': 1, 'PROTON': 1}",False,['CPLX0-7950'],['MHPCHYDROL-MONOMER'],[2],['M012']
222,TRANS-RXN0-457,"{'CPD-10797': [-1, 1], 'PROTON': [-1, 1]}",True,['MHPT-MONOMER'],[],[],['G6206']
223,TRANS-RXN-61,"{'PROTON': [-1, 1], '3-HYDROXYPHENYL-PROPIONATE': [-1, 1]}",True,['MHPT-MONOMER'],[],[],['G6206']
224,TRANS-RXN0-486,"{'CPD-397': [-1, 1]}",False,['B0260-MONOMER'],[],[],['G6135']
225,RXN-8340,"{'S-ADENOSYLMETHIONINE': -1, 'GTP': -1, 'Donor-H2': -1, 'CPD-19179': 1, 'MET': 1, 'CH33ADO': 1, 'Acceptor': 1, 'PROTON': 1}",False,['EG11595-MONOMER'],[],[],['EG11595']
226,RXN-17809,"{'CPD-19179': -1, 'PRECURSOR-Z': 1, 'PPI': 1}",False,['CPLX-8331'],['EG11666-MONOMER'],[6],['EG11666']
227,No Reaction Found,[],,MONOMER0-4125,[],[],['EG11597']
228,RXN-8342,"{'PRECURSOR-Z': -1, 'Thiocarboxylated-MPT-synthases': -2, 'WATER': -1, 'CPD-4': 1, 'MPT-Synthase-small-subunits': 1, 'PROTON': 1}",False,['CPLX0-2502'],"['EG11597-MONOMER', 'EG11598-MONOMER']","[2, 2]","['EG11597', 'EG11598']"
229,RXN0-262,"{'PROTON': -1, 'CPD-8123': -1, 'GTP': -1, 'CPD-582': 1, 'PPI': 1}",False,['EG11829-MONOMER'],[],[],['EG11829']
230,RXN-21601,"{'CPD-8123': -1, 'CPD-4': -1, 'GTP': -2, 'PROTON': -3, 'CPD-15873': 1, 'PPI': 1, 'WATER': 1}",False,['EG11829-MONOMER'],[],[],['EG11829']
231,RXN0-6254,"{'PROTON': -1, 'CPD-8123': -1, 'CTP': -1, 'CPD0-1882': 1, 'PPI': 1}",False,['G7496-MONOMER'],[],[],['G7496']
232,ABC-19-RXN,"{'ATP': -1, 'CPD-3': [-1, 1], 'WATER': -1, 'ADP': 1, 'Pi': 1, 'PROTON': 1}",False,"['ABC-7-CPLX', 'ABC-70-CPLX', 'ABC-19-CPLX']","['CYSA-MONOMER', 'CYSW-MONOMER', 'CYST-MONOMER', 'CYSP-MONOMER', 'SBP-MONOMER', 'CYSW-MONOMER', 'CYST-MONOMER', 'CYSA-MONOMER', 'MODC-MONOMER', 'MODB-MONOMER', 'MODA-MONOMER']","[2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1]","['EG10183', 'EG10198', 'EG10197', 'EG10195', 'EG10929', 'EG10198', 'EG10197', 'EG10183', 'EG10152', 'EG10002', 'EG12427']"
233,RXN-8348,"{'CPD-8122': -1, 'CPD-3': -1, 'PROTON': -1, 'CPD-8123': 1, 'AMP': 1, 'WATER': 1}",False,['CPLX0-8045'],['EG10153-MONOMER'],[2],['EG10153']
234,RXN-11361,"{'MPT-Synthase-small-subunits': -1, 'ATP': -1, 'PROTON': -1, 'Carboxyadenylated-MPT-synthases': 1, 'PPI': 1}",False,['CPLX0-8164'],['EG10154-MONOMER'],[2],['EG10154']
235,RXN-8344,"{'PROTON': -1, 'CPD-4': -1, 'ATP': -1, 'CPD-8122': 1, 'PPI': 1}",False,['CPLX0-8163'],['EG11511-MONOMER'],[3],['EG11511']
236,RXN-16650,"{'CPD-17927': [-1, 1], 'C6': -1, 'UNDECAPRENYL-DIPHOSPHATE': 1}",False,"['CPLX0-7717', 'CPLX0-3951', 'G7322-MONOMER', 'G7668-MONOMER', 'EG10607-MONOMER', 'EG10344-MONOMER']","['EG10748-MONOMER', 'EG10605-MONOMER']","[2, 2]","['EG10748', 'EG10605', 'G7322', 'G7668', 'EG10607', 'EG10344']"
237,No Reaction Found,[],,CPLX0-8300,[],[],['EG10605']
238,RXN0-17,"{'NACMUR': -1, 'PTSH-PHOSPHORYLATED': -1, 'CPD0-881': 1, 'PTSH-MONOMER': 1}",False,['CPLX0-7'],"['MONOMER0-5', 'CRR-MONOMER']","[1, 1]","['G7264', 'EG10165']"
239,RXN-14002,"{'CPD-14101': -1, 'WATER': -1, 'CPD-12367': 1, 'Pi': 1, 'PROTON': 1}",False,['EG10626-MONOMER'],[],[],['EG10626']
240,RXN-12816,"{'CPD-13853': -1, 'WATER': -1, 'CPD-12365': 1, 'Pi': 1, 'PROTON': 1}",False,['EG10626-MONOMER'],[],[],['EG10626']
241,RXN-11397,"{'CPD-12366': -1, 'WATER': -1, 'PROTON': 1, 'CPD-12367': 1, 'PPI': 1}",False,['EG10626-MONOMER'],[],[],['EG10626']
242,RXN-11396,"{'8-Oxo-dGTP': -1, 'WATER': -1, 'PROTON': 1, 'CPD-12365': 1, 'PPI': 1}",False,['EG10626-MONOMER'],[],[],['EG10626']
243,GLUCOSAMINE-6-P-DEAMIN-RXN,"{'CPD-13469': -1, 'WATER': -1, 'AMMONIUM': 1, 'FRUCTOSE-6P': 1}",True,['GLUCOSAMINE-6-P-DEAMIN-CPLX'],['GLUCOSAMINE-6-P-DEAMIN-MONOMER'],[6],['EG10633']
244,TRANS-RXN-167,"{'PTSH-PHOSPHORYLATED': -1, 'N-acetyl-D-glucosamine': -1, 'N-ACETYL-D-GLUCOSAMINE-6-P': 1, 'PTSH-MONOMER': 1}",False,"['CPLX-165', 'CPLX-167']","['MANZ-MONOMER', 'MANY-MONOMER', 'MANX-MONOMER', 'NAGE-MONOMER']","[3, 3, 1, 2]","['EG10569', 'EG10568', 'EG10567', 'EG10635']"
245,TRANS-RXN-167A,"{'PTSH-PHOSPHORYLATED': -1, 'GLUCOSAMINE': -1, 'D-GLUCOSAMINE-6-P': 1, 'PTSH-MONOMER': 1}",False,"['CPLX-167', 'CPLX-165']","['NAGE-MONOMER', 'MANZ-MONOMER', 'MANY-MONOMER', 'MANX-MONOMER']","[2, 3, 3, 1]","['EG10635', 'EG10569', 'EG10568', 'EG10567']"
246,RXN0-5226,"{'CPD0-1081': -1, 'WATER': -1, 'N-ACETYL-D-GLUCOSAMINE': 1, 'CPD0-882': 1}",False,['G6567-MONOMER'],[],[],['G6567']
247,RXN-14107,"{'Menaquinols': -1, 'Cytochromes-C-Oxidized': -2, 'Menaquinones': 1, 'Cytochromes-C-Reduced': 1, 'PROTON': 1}",False,['NAPC-MONOMER'],[],[],['EG12060']
248,RXN-18584,"{'Ubiquinols': -1, 'Oxidized-NapC-proteins': -2, 'Ubiquinones': 1, 'PROTON': 1, 'Reduced-NapC-proteins': 1}",False,['CPLX0-3241'],"['NAPG-MONOMER', 'NAPH-MONOMER']","[1, 1]","['EG12064', 'EG12062']"
249,RXN0-3501,"{'Menaquinols': -1, 'NITRATE': -1, 'PROTON': [-2, 1], 'Menaquinones': 1, 'NITRITE': 1, 'WATER': 1}",False,"['NITRATREDUCTZ-CPLX', 'NITRATREDUCTA-CPLX']","['NARY-MONOMER', 'NARZ-MONOMER', 'NARV-MONOMER', 'NARG-MONOMER', 'NARH-MONOMER', 'NARI-MONOMER']","[1, 1, 1, 2, 2, 2]","['EG10647', 'EG10648', 'EG10644', 'EG10638', 'EG10639', 'EG10640']"
250,RXN0-7124,"{'Ubiquinols': -1, 'PROTON': [-2, 1], 'NITRATE': -1, 'Ubiquinones': 1, 'WATER': 1, 'NITRITE': 1}",False,['NITRATREDUCTA-CPLX'],"['NARG-MONOMER', 'NARH-MONOMER', 'NARI-MONOMER']","[2, 2, 2]","['EG10638', 'EG10639', 'EG10640']"
251,RXN-15119,"{'CPD-4544': -1, 'Donor-H2': -1, 'CPD-16009': 1, 'Acceptor': 1}",False,"['E3-CPLX', 'NITRATREDUCTZ-CPLX', 'NITRATREDUCTA-CPLX', 'CPLX0-8542']","['E3-MONOMER', 'NARY-MONOMER', 'NARZ-MONOMER', 'NARV-MONOMER', 'NARG-MONOMER', 'NARH-MONOMER', 'NARI-MONOMER', 'G6174-MONOMER']","[2, 1, 1, 1, 2, 2, 2, 2]","['EG10543', 'EG10647', 'EG10648', 'EG10644', 'EG10638', 'EG10639', 'EG10640', 'G6174']"
252,R303-RXN,"{'Nitroaromatic-Red-Compounds': -1, 'NADP': -2, 'WATER': -1, 'C-nitro-compounds': 1, 'NADPH': 1, 'PROTON': 1}",False,['CPLX0-244'],['EG11261-MONOMER'],[2],['EG11261']
253,RXN0-7385,"{'Quinones': -1, 'NADPH': -1, 'PROTON': -1, 'Reduced-Quinones': 1, 'NADP': 1}",False,['CPLX0-244'],['EG11261-MONOMER'],[2],['EG11261']
254,RXN0-2721,"{'Reduced-Flavorubredoxins': -2, 'NITRIC-OXIDE': -2, 'PROTON': -2, 'Oxidized-Flavorubredoxins': 1, 'NITROUS-OXIDE': 1, 'WATER': 1}",False,['CPLX0-1'],['G7413-MONOMER'],[4],['G7413']
255,RXN-22001,"{'NAD': -1, 'Reduced-Flavorubredoxins': -2, 'PROTON': -1, 'NADH': 1, 'Oxidized-Flavorubredoxins': 1}",False,['EG12450-MONOMER'],[],[],['EG12450']
256,RXN-18604,"{'Menaquinols': -1, 'an-oxidized-NrfB-protein': -2, 'Menaquinones': 1, 'a-reduced-NrfB-protein': 1, 'PROTON': 1}",False,['CPLX0-8238'],"['NRFD-MONOMER', 'NRFC-MONOMER']","[1, 1]","['EG11947', 'EG11946']"
257,ADPSUGPPHOSPHAT-RXN,"{'ADP-SUGARS': -1, 'WATER': -1, 'AMP': 1, 'Alpha-D-aldose-1-phosphates': 1, 'PROTON': 1}",False,"['CPLX0-1221', 'CPLX0-3721']","['G7740-MONOMER', 'EG12633-MONOMER']","[2, 2]","['G7740', 'EG12633']"
258,RXN0-6957,"{'CPD-13851': -1, 'WATER': -1, 'CPD-13852': 1, 'PPI': 1, 'PROTON': 1}",False,['G6954-MONOMER'],[],[],['G6954']
259,RXN-14188,"{'5-HYDROXY-CTP': -1, 'WATER': -1, 'CPD-15158': 1, 'PPI': 1, 'PROTON': 1}",False,['G6954-MONOMER'],[],[],['G6954']
260,RXN0-7291,"{'GUANOSINE-5DP-3DP': -1, 'WATER': -2, 'CPD0-2634': 1, 'Pi': 1, 'PROTON': 1}",False,['G6954-MONOMER'],[],[],['G6954']
261,TRANS-RXN-283,"{'BETAINE': [-1, 1], 'ATP': -1, 'WATER': -1, 'Pi': 1, 'PROTON': 1, 'ADP': 1}",False,['ABC-40-CPLX'],"['YEHZ-MONOMER', 'YEHY-MONOMER', 'YEHX-MONOMER', 'YEHW-MONOMER']","[1, 1, 1, 1]","['EG12012', 'EG12011', 'EG12010', 'EG12009']"
262,RXN0-7103,"{'CPD0-2558': -1, 'WATER': -1, 'CPD0-2559': 1, 'CO-A': 1, 'PROTON': 1}",False,['CPLX0-8127'],['G6721-MONOMER'],[3],['G6721']
263,TRANS-RXN-117,"{'NA+': [-1, 1], 'PANTOTHENATE': [-1, 1]}",True,['PANF-MONOMER'],[],[],['EG10685']
264,CARBOXYLATE-REDUCTASE-RXN,"{'Aldehydes': -1, 'Acceptor': -1, 'WATER': -1, 'Carboxylates': 1, 'Donor-H2': 1, 'PROTON': 1}",True,['CPLX0-7805'],"['G6157-MONOMER', 'G6156-MONOMER', 'G6155-MONOMER']","[1, 1, 1]","['G6157', 'G6156', 'G6155']"
265,RXN0-7160,"{'Protein-L-lysine': -1, 'ACETYL-COA': -1, 'CPD3O-0': 1, 'CO-A': 1, 'PROTON': 1}",True,"['CPLX0-8189', 'EG10850-MONOMER', 'EG12270-MONOMER', 'EG11207-MONOMER', 'EG10724-MONOMER']",['G7350-MONOMER'],[4],"['G7350', 'EG10850', 'EG12270', 'EG11207', 'EG10724']"
266,1.97.1.4-A-RXN,"{'S-ADENOSYLMETHIONINE': -1, 'PYRUVFORMLY-INACTIVE-CPLX': -1, 'Reduced-flavodoxins': -1, 'CH33ADO': 1, 'MET': 1, 'PYRUVFORMLY-CPLX': 1, 'Oxidized-flavodoxins': 1}",False,['PFLACTENZ-MONOMER'],[],[],['EG10028']
267,TDCEACT1-RXN,"{'S-ADENOSYLMETHIONINE': -1, 'KETOBUTFORMLY-INACT-MONOMER': -1, 'Reduced-flavodoxins': -1, 'CH33ADO': 1, 'KETOBUTFORMLY-MONOMER': 1, 'Oxidized-flavodoxins': 1}",False,['PFLACTENZ-MONOMER'],[],[],['EG10028']
268,No Reaction Found,[],,CPLX0-7935,[],[],['EG10716']
269,RXN-17954,"{'CPD0-2518': -1, 'ATP': -1, 'CPD-19235': 1, 'ADENINE': 1}",False,['CPLX0-7958'],"['PHNL-MONOMER', 'EG10717-MONOMER', 'EG10716-MONOMER', 'EG10718-MONOMER']","[1, 1, 1, 1]","['EG10721', 'EG10717', 'EG10716', 'EG10718']"
270,RXN0-6732,"{'CPD0-1068': -1, 'ATP': -1, 'CPD0-2479': 1, 'ADENINE': 1}",False,['CPLX0-7958'],"['PHNL-MONOMER', 'EG10717-MONOMER', 'EG10716-MONOMER', 'EG10718-MONOMER']","[1, 1, 1, 1]","['EG10721', 'EG10717', 'EG10716', 'EG10718']"
271,No Reaction Found,[],,CPLX0-7935,[],[],['EG10717']
272,No Reaction Found,[],,CPLX0-7935,[],[],['EG10718']
273,No Reaction Found,[],,CPLX0-7935,[],[],['EG10719']
274,RXN-17955,"{'CPD-19235': -1, 'WATER': -1, 'CPD-19236': 1, 'PPI': 1, 'PROTON': 1}",False,['EG10722-MONOMER'],[],[],['EG10722']
275,RXN0-6733,"{'CPD0-2479': -1, 'WATER': -1, 'CPD0-2480': 1, 'PPI': 1, 'PROTON': 1}",False,['EG10722-MONOMER'],[],[],['EG10722']
276,RXN0-6710,"{'CPD0-2463': -1, 'WATER': -1, 'PROTON': 1, 'RIBOSE-15-BISPHOSPHATE': 1}",False,['CPLX0-7936'],['EG10725-MONOMER'],[2],['EG10725']
277,RXN0-6952,"{'L-1-PHOSPHATIDYL-ETHANOLAMINE': -1, 'WATER': -1, '2-ACYL-GPE': 1, 'Fatty-Acids': 1, 'PROTON': 1}",False,['CPLX0-7944'],['MONOMER0-341'],[2],['EG10738']
278,RXN0-6725,"{'L-1-PHOSPHATIDYL-ETHANOLAMINE': -1, 'WATER': -1, 'Fatty-Acids': 1, '2-LYSOPHOSPHATIDYLETHANOLAMINES': 1, 'PROTON': 1}",False,['CPLX0-7944'],['MONOMER0-341'],[2],['EG10738']
279,RXN-19312,"{'2-LYSOPHOSPHATIDYLETHANOLAMINES': -1, 'WATER': -1, 'Carboxylates': 1, 'L-1-GLYCEROPHOSPHORYLETHANOL-AMINE': 1, 'PROTON': 1}",False,"['EG10739-MONOMER', 'CPLX0-7944']",['MONOMER0-341'],[2],"['EG10739', 'EG10738']"
280,RXN-19311,"{'2-ACYL-GPE': -1, 'WATER': -1, 'Carboxylates': 1, 'L-1-GLYCEROPHOSPHORYLETHANOL-AMINE': 1, 'PROTON': 1}",False,"['EG10739-MONOMER', 'CPLX0-7944']",['MONOMER0-341'],[2],"['EG10739', 'EG10738']"
281,RXN-9590,"{'ACYL-ACP': -1, 'Pi': -1, 'Acyl-Phosphates': 1, 'ACP': 1}",True,['EG11437-MONOMER'],[],[],['EG11437']
282,TRANS-RXN0-481,"{'NICOTINAMIDE_RIBOSE': [-1, 1]}",False,['PNUC-MONOMER'],[],[],['EG11700']
283,RXN-19492,"{'CPD-6761': -1, 'OXOPENTENOATE': 1}",True,['CPLX0-902'],['EG11761-MONOMER'],[2],['EG11761']
284,THIOSULFATE-SULFURTRANSFERASE-RXN,"{'S2O3': -1, 'HCN': -1, 'HSCN': 1, 'SO3': 1, 'PROTON': 1}",False,"['CPLX0-8219', 'EG11600-MONOMER', 'EG10780-MONOMER', 'CPLX0-242']","['G7398-MONOMER', 'EG10395-MONOMER']","[2, 2]","['G7398', 'EG11600', 'EG10780', 'EG10395']"
285,PSEUDOURIDINE-KINASE-RXN,"{'CPD-497': -1, 'ATP': -1, 'PROTON': 1, 'PSEUDOURIDINE-5-P': 1, 'ADP': 1}",False,['EG11646-MONOMER'],[],[],['EG11646']
286,2.7.3.9-RXN,"{'PHOSPHO-ENOL-PYRUVATE': -1, 'Hpr-Histidine': -1, 'PYRUVATE': 1, 'Hpr-pi-phospho-L-histidines': 1}",False,['CPLX0-7938'],['PTSI-MONOMER'],[2],['EG10789']
287,RXN-12093,"{'CPD-13043': -1, 'AMMONIUM': -1, 'ATP': -1, 'PROTON': 1, '7-CYANO-7-DEAZAGUANINE': 1, 'ADP': 1, 'Pi': 1, 'WATER': 1}",False,['G6245-MONOMER'],[],[],['G6245']
288,RXN0-5507,"{'DIHYDRONEOPTERIN-P3': -1, 'WATER': -1, 'PROTON': 1, 'CPD0-1699': 1, 'P3I': 1, 'ACETALD': 1}",False,['CPLX0-8123'],['G7431-MONOMER'],[6],['G7431']
289,RXN0-4022,"{'7-AMINOMETHYL-7-DEAZAGUANINE': -1, 'NADP': -2, '7-CYANO-7-DEAZAGUANINE': 1, 'NADPH': 1, 'PROTON': 1}",False,['CPLX0-3501'],['G7452-MONOMER'],[2],['G7452']
