Condition,Below_LOD,Cell,Element,Distance,ScaleDist,ScaleCounts,Error,Log_concentration,Concentration_(M),Atoms/cell
Minimal,0,1,MO,138.2258168443176,354.0,9.086029995663981,1000.0,-5.485784317517349,3.267500648768958e-6,3983.3244143617426
Minimal,0,1,ZN,205.1069466790452,354.0,9.086029995663981,55212.92217327462,-3.7854166098547832,0.00016390167434388576,199808.2360640816
Minimal,0,1,CU,149.8158319870759,354.0,9.086029995663981,1000.0,-5.191122915582817,6.439869762152298e-6,7850.6764669061995
Minimal,1,1,NI,137.33117932148625,354.0,9.086029995663981,1000.0,-5.508529339284248,3.1007779046886733e-6,3780.0770861096153
Minimal,1,1,CO,103.44810866904857,354.0,9.086029995663981,1000.0,-6.369963338922495,4.2661553013848626e-7,520.0758131101658
Minimal,0,1,FE,203.32148626817445,354.0,9.086029995663981,24669.603524228995,-3.8308096711481068,0.00014763534010032444,179978.37425549785
Minimal,0,1,MN,135.08885298869143,354.0,9.086029995663981,1000.0,-5.565537635880726,2.7193328190006735e-6,3315.067378114067
Minimal,0,1,CR,122.17124394184168,354.0,9.086029995663981,1000.0,-5.893951425207415,1.2765815834044531e-6,1556.2471548445858
Minimal,0,1,V,113.25363489499193,354.0,9.086029995663981,1000.0,-6.120670299279867,7.57407673429057e-7,923.3358464156858
Rich,0,1,MO,146.24878836833602,353.14,9.306059991327963,1000.0,-5.272755577632032,5.336351426093848e-6,10797.032625735044
Rich,0,1,ZN,207.7879452506475,353.14,9.306059991327963,88105.72687224665,-3.7043905894097877,0.0001975192421418933,399640.41558213835
Rich,0,1,CU,181.91922455573504,353.14,9.306059991327963,29368.57562408218,-4.36367157217643,0.00004328410359776075,87576.66828978057
Rich,1,1,NI,125.73828756058157,353.14,9.306059991327963,1000.0,-5.795478880769004,1.6014785244720846e-6,3240.2693333853576
Rich,1,1,CO,91.85137318255249,353.14,9.306059991327963,1000.0,-6.659108685951826,2.1922562356034434e-7,443.5589077593331
Rich,0,1,FE,214.91437802907916,353.14,9.306059991327963,128046.98972099856,-3.522768867129998,0.0003000759107397527,607143.1845008492
Rich,0,1,MN,171.22041597778912,353.14,9.306059991327963,12922.173274596222,-4.636337589057875,0.000023102682568957664,46743.62640723306
Rich,0,1,CR,126.63004846526655,353.14,9.306059991327963,1000.0,-5.772751780632613,1.6875172439085052e-6,3414.351358097791
Rich,0,1,V,82.04200323101776,353.14,9.306059991327963,1000.0,-6.9091067874521155,1.2328016658139018e-7,249.43259437087755
