T_lower(sec), T_upper(sec), P(T)
0, 50, 0.394247039
50, 100, 0.170896785
100, 150, 0.177664975
150, 200, 0.138747885
200, 250, 0.023688663
250, 300, 0.023688663
300, 350, 0.043993232
350, 400, 0.016920474
400, 450, 0.005076142
450, 500, 0.005076142
