"gene"	"num_peaks"	"peaks"	"areas"	"standard_devs"
"ugpB"	1	"[8.73]"	"[1812]"	"[0.0628]"
"yffB"	1	"[9.87]"	"[1812]"	"[0.056]"
"ugpE"	1	"[8.43]"	"[1812]"	"[0.0513]"
"arsB"	1	"[7.32]"	"[1812]"	"[0.0875]"
"ypfH"	1	"[9.33]"	"[1812]"	"[0.0437]"
"ggt"	1	"[9.47]"	"[1812]"	"[0.0469]"
"tmcA"	1	"[8.34]"	"[1812]"	"[0.05]"
"gntU_1"	1	"[9.47]"	"[1812]"	"[0.0782]"
"asd"	1	"[10.88]"	"[1812]"	"[0.0717]"
"glgB"	1	"[10.99]"	"[1812]"	"[0.0596]"
"glgX"	1	"[10.43]"	"[1812]"	"[0.0578]"
"glgC"	1	"[10.69]"	"[1812]"	"[0.064]"
"glgA"	1	"[10.25]"	"[1812]"	"[0.0681]"
"glgP"	1	"[9.29]"	"[1812]"	"[0.0538]"
"ypfJ"	1	"[9.69]"	"[1812]"	"[0.0432]"
"glpE"	1	"[10.15]"	"[1812]"	"[0.0439]"
"yfgC"	1	"[9.75]"	"[1812]"	"[0.0357]"
"ugpQ"	1	"[9.7]"	"[1812]"	"[0.0464]"
"lptC"	1	"[10.5]"	"[1812]"	"[0.0472]"
"dedA"	1	"[9.71]"	"[1812]"	"[0.0441]"
"dedD"	1	"[10.49]"	"[1812]"	"[0.0477]"
"nrfA"	1	"[8.99]"	"[1812]"	"[0.068]"
"yohD"	1	"[8.77]"	"[1812]"	"[0.0369]"
"actP"	1	"[7.87]"	"[1812]"	"[0.105]"
"aphA"	1	"[9.54]"	"[1812]"	"[0.0809]"
"tyrB"	1	"[9.52]"	"[1812]"	"[0.0624]"
"alr"	1	"[9.05]"	"[1812]"	"[0.0408]"
"yohF"	1	"[8.7]"	"[1812]"	"[0.0548]"
"mdtQ"	1	"[8.52]"	"[1812]"	"[0.0598]"
"ubiA"	1	"[9.08]"	"[1812]"	"[0.0522]"
"ubiC"	1	"[10.82]"	"[1812]"	"[0.0504]"
"dusC"	1	"[8.91]"	"[1812]"	"[0.0387]"
"yohJ"	1	"[8.76]"	"[1812]"	"[0.0588]"
"yohK"	1	"[9.14]"	"[1812]"	"[0.0468]"
"yeiB"	1	"[7.88]"	"[1812]"	"[0.0564]"
"yeiH"	1	"[8.69]"	"[1812]"	"[0.0282]"
"pgi"	1	"[10.68]"	"[1812]"	"[0.0619]"
"lysC"	1	"[7.7]"	"[1812]"	"[0.1222]"
"purH"	1	"[9.61]"	"[1812]"	"[0.0965]"
"yeiP"	1	"[10.0]"	"[1812]"	"[0.0659]"
"yeiR"	1	"[9.01]"	"[1812]"	"[0.0402]"
"yejA"	1	"[8.55]"	"[1812]"	"[0.0434]"
"yejF"	1	"[8.64]"	"[1812]"	"[0.0365]"
"bcr"	1	"[8.26]"	"[1812]"	"[0.0477]"
"btuB"	1	"[9.24]"	"[1812]"	"[0.0649]"
"sthA"	1	"[10.04]"	"[1812]"	"[0.081]"
"nrfB"	1	"[7.57]"	"[1812]"	"[0.0987]"
"nrfD"	1	"[9.12]"	"[1812]"	"[0.0532]"
"fdhF"	1	"[8.63]"	"[1812]"	"[0.0571]"
"yehS"	1	"[8.33]"	"[1812]"	"[0.0558]"
"yegQ"	1	"[9.05]"	"[1812]"	"[0.0523]"
"cycA"	1	"[9.56]"	"[1812]"	"[0.061]"
"ulaF"	1	"[8.57]"	"[1812]"	"[0.0404]"
"ulaE"	1	"[8.82]"	"[1812]"	"[0.0375]"
"ulaD"	1	"[8.71]"	"[1812]"	"[0.0283]"
"yegZ"	1	"[7.52]"	"[1812]"	"[0.0547]"
"ulaB"	1	"[8.77]"	"[1812]"	"[0.0516]"
"yegR"	1	"[6.71]"	"[1812]"	"[0.0796]"
"purA"	1	"[11.0]"	"[1812]"	"[0.0523]"
"rsgA"	1	"[10.3]"	"[1812]"	"[0.0355]"
"gatR_2"	1	"[9.8]"	"[1812]"	"[0.0744]"
"frdA"	1	"[10.4]"	"[1812]"	"[0.0953]"
"argH"	1	"[9.14]"	"[1812]"	"[0.0672]"
"yegT"	1	"[7.91]"	"[1812]"	"[0.0345]"
"yegX"	1	"[8.55]"	"[1812]"	"[0.0332]"
"dipZ"	1	"[8.9]"	"[1812]"	"[0.051]"
"rcnA"	1	"[7.81]"	"[1812]"	"[0.0452]"
"rcnB"	1	"[8.46]"	"[1812]"	"[0.0515]"
"yjdL"	1	"[9.13]"	"[1812]"	"[0.0545]"
"dcuB"	1	"[9.33]"	"[1812]"	"[0.0687]"
"yehD"	1	"[6.54]"	"[1812]"	"[0.0848]"
"adiA"	1	"[7.88]"	"[1812]"	"[0.0733]"
"proP"	1	"[10.41]"	"[1812]"	"[0.0753]"
"molR_2"	1	"[7.89]"	"[1812]"	"[0.0553]"
"yehQ"	1	"[8.6]"	"[1812]"	"[0.0739]"
"alsC"	1	"[8.69]"	"[1812]"	"[0.0526]"
"frdD"	1	"[9.63]"	"[1812]"	"[0.0805]"
"atpE"	1	"[12.79]"	"[1812]"	"[0.0813]"
"argB"	1	"[9.41]"	"[1812]"	"[0.0859]"
"yejH"	1	"[9.0]"	"[1812]"	"[0.0251]"
"pldB"	1	"[9.91]"	"[1812]"	"[0.0353]"
"rhtC"	1	"[8.67]"	"[1812]"	"[0.0445]"
"corA"	1	"[9.84]"	"[1812]"	"[0.0521]"
"yfbM"	1	"[7.94]"	"[1812]"	"[0.0638]"
"hemC"	1	"[10.27]"	"[1812]"	"[0.0466]"
"hemX"	1	"[10.5]"	"[1812]"	"[0.0433]"
"rffM"	1	"[8.91]"	"[1812]"	"[0.031]"
"wzyE"	1	"[9.49]"	"[1812]"	"[0.0344]"
"rffA"	1	"[9.51]"	"[1812]"	"[0.0423]"
"rffC"	1	"[9.33]"	"[1812]"	"[0.047]"
"rffH"	1	"[10.49]"	"[1812]"	"[0.0604]"
"rffG"	1	"[9.7]"	"[1812]"	"[0.0466]"
"rffD"	1	"[10.44]"	"[1812]"	"[0.0566]"
"yfbS"	1	"[7.74]"	"[1812]"	"[0.0689]"
"wzzE"	1	"[9.54]"	"[1812]"	"[0.0546]"
"rfe"	1	"[9.88]"	"[1812]"	"[0.0617]"
"trxA"	1	"[11.7]"	"[1812]"	"[0.0411]"
"yfbT"	1	"[9.52]"	"[1812]"	"[0.0479]"
"yfbU"	1	"[10.94]"	"[1812]"	"[0.0507]"
"yfbV"	1	"[8.94]"	"[1812]"	"[0.0621]"
"yfcC"	1	"[8.43]"	"[1812]"	"[0.0525]"
"yfcE"	1	"[10.43]"	"[1812]"	"[0.0439]"
"rbsC"	1	"[9.96]"	"[1812]"	"[0.0967]"
"rbsA"	1	"[9.58]"	"[1812]"	"[0.0918]"
"yfcH"	1	"[9.48]"	"[1812]"	"[0.0339]"
"ecoZ"	1	"[8.97]"	"[1812]"	"[0.0342]"
"elaA"	1	"[9.18]"	"[1812]"	"[0.0385]"
"ubiE"	1	"[10.65]"	"[1812]"	"[0.0649]"
"ubiB"	1	"[9.39]"	"[1812]"	"[0.0634]"
"ppc"	1	"[10.6]"	"[1812]"	"[0.0836]"
"yejK"	1	"[9.71]"	"[1812]"	"[0.0482]"
"yejL"	1	"[10.57]"	"[1812]"	"[0.0565]"
"yejO"	1	"[8.84]"	"[1812]"	"[0.0296]"
"metL"	1	"[9.59]"	"[1812]"	"[0.0442]"
"eco"	1	"[10.71]"	"[1812]"	"[0.0783]"
"glpX"	1	"[10.01]"	"[1812]"	"[0.046]"
"fpr"	1	"[9.65]"	"[1812]"	"[0.057]"
"tpiA"	1	"[10.95]"	"[1812]"	"[0.0534]"
"yojI"	1	"[8.79]"	"[1812]"	"[0.0439]"
"pfkA"	1	"[10.71]"	"[1812]"	"[0.0486]"
"apbE"	1	"[8.97]"	"[1812]"	"[0.0395]"
"rsuA"	1	"[10.02]"	"[1812]"	"[0.0435]"
"rcsC"	1	"[9.2]"	"[1812]"	"[0.0288]"
"yfaQ"	1	"[7.21]"	"[1812]"	"[0.0578]"
"yfaS_2"	1	"[8.42]"	"[1812]"	"[0.039]"
"yfaT"	1	"[6.92]"	"[1812]"	"[0.0473]"
"yfaE"	1	"[9.23]"	"[1812]"	"[0.0544]"
"inaA"	1	"[9.39]"	"[1812]"	"[0.0371]"
"dsbA"	1	"[10.73]"	"[1812]"	"[0.0546]"
"yfaH"	1	"[6.41]"	"[1812]"	"[0.0886]"
"yfaY"	1	"[8.39]"	"[1812]"	"[0.0456]"
"trkH"	1	"[9.42]"	"[1812]"	"[0.0336]"
"fadB"	1	"[8.94]"	"[1812]"	"[0.1021]"
"fadA"	1	"[8.65]"	"[1812]"	"[0.0685]"
"yfaZ"	1	"[8.91]"	"[1812]"	"[0.0387]"
"sodA"	1	"[12.35]"	"[1812]"	"[0.1053]"
"kdsC"	1	"[10.57]"	"[1812]"	"[0.0412]"
"kdsD"	1	"[10.29]"	"[1812]"	"[0.0359]"
"yphB"	1	"[8.78]"	"[1812]"	"[0.0357]"
"xapB"	1	"[6.98]"	"[1812]"	"[0.0426]"
"ygfF"	1	"[8.58]"	"[1812]"	"[0.0363]"
"mntH"	1	"[7.87]"	"[1812]"	"[0.0961]"
"glk"	1	"[9.66]"	"[1812]"	"[0.0503]"
"alaC"	1	"[9.45]"	"[1812]"	"[0.0378]"
"frc"	1	"[6.87]"	"[1812]"	"[0.069]"
"zapA"	1	"[10.9]"	"[1812]"	"[0.061]"
"fadL"	1	"[8.86]"	"[1812]"	"[0.0833]"
"fadJ"	1	"[9.57]"	"[1812]"	"[0.0778]"
"aroC"	1	"[10.07]"	"[1812]"	"[0.0523]"
"mepA"	1	"[9.41]"	"[1812]"	"[0.0539]"
"argK"	1	"[7.78]"	"[1812]"	"[0.055]"
"yggE"	1	"[10.32]"	"[1812]"	"[0.0583]"
"mscS"	1	"[10.49]"	"[1812]"	"[0.0797]"
"folC"	1	"[10.21]"	"[1812]"	"[0.0409]"
"yggC"	1	"[8.33]"	"[1812]"	"[0.0642]"
"cmtA"	1	"[7.82]"	"[1812]"	"[0.0516]"
"argT"	1	"[9.0]"	"[1812]"	"[0.1059]"
"hisJ"	1	"[10.14]"	"[1812]"	"[0.0782]"
"hisQ"	1	"[8.24]"	"[1812]"	"[0.0857]"
"hisM"	1	"[8.5]"	"[1812]"	"[0.0563]"
"hisP"	1	"[9.57]"	"[1812]"	"[0.0645]"
"folX"	1	"[10.56]"	"[1812]"	"[0.0781]"
"pta"	1	"[10.1]"	"[1812]"	"[0.0637]"
"cmtB"	1	"[6.3]"	"[1812]"	"[0.0707]"
"xapA"	1	"[7.2]"	"[1812]"	"[0.0551]"
"ligA"	1	"[9.86]"	"[1812]"	"[0.0429]"
"yqfB"	1	"[9.91]"	"[1812]"	"[0.0483]"
"yqfA"	1	"[9.28]"	"[1812]"	"[0.0711]"
"ppdA"	1	"[7.93]"	"[1812]"	"[0.0457]"
"guaB"	1	"[10.93]"	"[1812]"	"[0.0807]"
"guaA"	1	"[9.94]"	"[1812]"	"[0.0752]"
"ppx"	1	"[9.73]"	"[1812]"	"[0.0549]"
"ptsP"	1	"[9.78]"	"[1812]"	"[0.045]"
"rppH"	1	"[10.96]"	"[1812]"	"[0.0494]"
"tas"	1	"[10.07]"	"[1812]"	"[0.0377]"
"ygeA"	1	"[8.75]"	"[1812]"	"[0.0785]"
"hyfE"	1	"[8.52]"	"[1812]"	"[0.0435]"
"yqeH"	1	"[6.49]"	"[1812]"	"[0.0826]"
"hyfC"	1	"[6.8]"	"[1812]"	"[0.0642]"
"hyfA"	1	"[7.68]"	"[1812]"	"[0.0487]"
"nuoB"	1	"[11.39]"	"[1812]"	"[0.0752]"
"ygeQ"	1	"[8.44]"	"[1812]"	"[0.0792]"
"acrD"	1	"[8.79]"	"[1812]"	"[0.044]"
"nudK"	1	"[9.24]"	"[1812]"	"[0.0355]"
"ygeR"	1	"[9.02]"	"[1812]"	"[0.0292]"
"eutB"	1	"[9.55]"	"[1812]"	"[0.0404]"
"eutC"	1	"[9.4]"	"[1812]"	"[0.0328]"
"amiA"	1	"[9.51]"	"[1812]"	"[0.032]"
"recJ"	1	"[9.4]"	"[1812]"	"[0.0453]"
"cysW"	1	"[9.59]"	"[1812]"	"[0.065]"
"cysA"	1	"[9.22]"	"[1812]"	"[0.079]"
"cptA"	1	"[9.44]"	"[1812]"	"[0.046]"
"pdxK"	1	"[9.33]"	"[1812]"	"[0.0432]"
"crr"	1	"[11.23]"	"[1812]"	"[0.0524]"
"dapE"	1	"[9.32]"	"[1812]"	"[0.0308]"
"ygdB"	1	"[8.45]"	"[1812]"	"[0.0497]"
"rsmE"	1	"[10.14]"	"[1812]"	"[0.0485]"
