"gene"	"num_peaks"	"peaks"	"areas"	"standard_devs"
"rpiA"	1	"[10.63]"	"[1943]"	"[0.0406]"
"dedA"	1	"[9.71]"	"[1943]"	"[0.0437]"
"truA"	1	"[10.49]"	"[1943]"	"[0.047]"
"ubiH"	1	"[9.98]"	"[1943]"	"[0.0408]"
"usg"	1	"[9.84]"	"[1943]"	"[0.0499]"
"frlD"	1	"[9.02]"	"[1943]"	"[0.0327]"
"yfeH"	1	"[9.23]"	"[1943]"	"[0.0506]"
"yeiI"	1	"[9.28]"	"[1943]"	"[0.0414]"
"gph"	1	"[11.07]"	"[1943]"	"[0.0543]"
"yeeA"	1	"[8.99]"	"[1943]"	"[0.0437]"
"sbmC"	1	"[9.95]"	"[1943]"	"[0.0802]"
"sbcB"	1	"[9.43]"	"[1943]"	"[0.033]"
"waaY"	1	"[9.96]"	"[1943]"	"[0.1113]"
"yeeE"	1	"[8.66]"	"[1943]"	"[0.0893]"
"plaP"	1	"[8.62]"	"[1943]"	"[0.096]"
"yeeZ"	1	"[9.84]"	"[1943]"	"[0.051]"
"waaC"	1	"[9.75]"	"[1943]"	"[0.0435]"
"waaF"	1	"[10.24]"	"[1943]"	"[0.0622]"
"rfaD"	1	"[11.18]"	"[1943]"	"[0.0521]"
"flu"	1	"[8.61]"	"[1943]"	"[0.0939]"
"wcaF"	1	"[7.61]"	"[1943]"	"[0.0797]"
"wcaC"	1	"[8.86]"	"[1943]"	"[0.062]"
"wcaA"	1	"[8.72]"	"[1943]"	"[0.0672]"
"wzb"	1	"[8.36]"	"[1943]"	"[0.0561]"
"lldD"	1	"[9.43]"	"[1943]"	"[0.0826]"
"yegE"	1	"[8.65]"	"[1943]"	"[0.0467]"
"alkA"	1	"[8.56]"	"[1943]"	"[0.0439]"
"yegD"	1	"[8.58]"	"[1943]"	"[0.0378]"
"sgbH"	1	"[8.63]"	"[1943]"	"[0.0311]"
"yegL"	1	"[7.31]"	"[1943]"	"[0.0463]"
"yiaO"	1	"[8.62]"	"[1943]"	"[0.0584]"
"wcaD"	1	"[5.84]"	"[1943]"	"[0.0988]"
"yiaK"	1	"[8.41]"	"[1943]"	"[0.0673]"
"yeeP"	1	"[8.65]"	"[1943]"	"[0.0575]"
"yoeE"	1	"[8.35]"	"[1943]"	"[0.0558]"
"wzyE"	1	"[9.39]"	"[1943]"	"[0.0347]"
"rffA"	1	"[9.51]"	"[1943]"	"[0.0413]"
"rffC"	1	"[9.31]"	"[1943]"	"[0.0461]"
"rffH"	1	"[10.49]"	"[1943]"	"[0.0602]"
"rffG"	1	"[9.7]"	"[1943]"	"[0.0415]"
"rffD"	1	"[9.81]"	"[1943]"	"[0.0519]"
"wzzE"	1	"[9.54]"	"[1943]"	"[0.0536]"
"rfe"	1	"[9.98]"	"[1943]"	"[0.0618]"
"rbsC"	1	"[9.96]"	"[1943]"	"[0.0944]"
"rbsA"	1	"[9.58]"	"[1943]"	"[0.09]"
"coaD"	1	"[9.45]"	"[1943]"	"[0.0395]"
"atpE"	1	"[12.76]"	"[1943]"	"[0.0823]"
"yodC"	1	"[8.9]"	"[1943]"	"[0.1168]"
"pstC"	1	"[9.23]"	"[1943]"	"[0.0589]"
"pstA"	1	"[9.34]"	"[1943]"	"[0.0523]"
"dgoK"	1	"[7.83]"	"[1943]"	"[0.054]"
"dgoT"	1	"[7.78]"	"[1943]"	"[0.0641]"
"ilvN"	1	"[8.97]"	"[1943]"	"[0.082]"
"yeeJ"	1	"[7.21]"	"[1943]"	"[0.0532]"
"gltS"	1	"[9.04]"	"[1943]"	"[0.0589]"
"pyrE"	1	"[8.72]"	"[1943]"	"[0.0431]"
"erfK"	1	"[8.95]"	"[1943]"	"[0.0574]"
"yedQ"	1	"[8.25]"	"[1943]"	"[0.0506]"
"avtA"	1	"[10.0]"	"[1943]"	"[0.0552]"
"baeS"	1	"[9.11]"	"[1943]"	"[0.0765]"
"yegP"	1	"[8.16]"	"[1943]"	"[0.1187]"
"yohD"	1	"[8.77]"	"[1943]"	"[0.0381]"
"ugpQ"	1	"[9.7]"	"[1943]"	"[0.0467]"
"mdtQ"	1	"[8.42]"	"[1943]"	"[0.0587]"
"gntU_1"	1	"[9.47]"	"[1943]"	"[0.0785]"
"asd"	1	"[10.88]"	"[1943]"	"[0.0715]"
