variant,reaction id,stoichiometry,average flux,average substrate concentrations,average transporter concentrations
0,TRANS-RXN0-592,"{u'PROTON[c]': 1, u'CPD-15189[p]': 1, u'CPD-15189[c]': -1, u'PROTON[p]': -1}",0.0,"{u'PROTON[c]': 0.0, u'CPD-15189[c]': 4.803598001001776e-07, u'PROTON[p]': 8.129924402836882e-07}",{u'TRANS-CPLX-201[s]': 0.0}
1,TRANS-RXN0-592,"{u'PROTON[c]': 1, u'CPD-15189[p]': 1, u'CPD-15189[c]': -1, u'PROTON[p]': -1}",0.0,"{u'PROTON[c]': 0.0, u'CPD-15189[c]': 5.797648085969704e-07, u'PROTON[p]': 9.335027643025821e-07}",{u'TRANS-CPLX-201[s]': 0.0}
2,TRANS-RXN0-592,"{u'PROTON[c]': 1, u'CPD-15189[p]': 1, u'CPD-15189[c]': -1, u'PROTON[p]': -1}",0.0,"{u'PROTON[c]': 0.0, u'CPD-15189[c]': 4.0757708226221605e-07, u'PROTON[p]': 6.736072455419057e-07}",{u'TRANS-CPLX-201[s]': 0.0}
0,TRANS-RXN-108-5-METHYLAMINOMETHYL-2-SELENOURIDINE/PROTON//5-METHYLAMINOMETHYL-2-SELENOURIDINE/PROTON.87.,"{u'5-METHYLAMINOMETHYL-2-SELENOURIDINE[p]': -1, u'PROTON[c]': 1, u'5-METHYLAMINOMETHYL-2-SELENOURIDINE[c]': 1, u'PROTON[p]': -1}",0.0,"{u'PROTON[c]': 0.0, u'5-METHYLAMINOMETHYL-2-SELENOURIDINE[c]': 8.27529560169789e-06, u'PROTON[p]': 8.129924402836882e-07}",{u'NUPG-MONOMER[i]': 0.0}
1,TRANS-RXN-108-5-METHYLAMINOMETHYL-2-SELENOURIDINE/PROTON//5-METHYLAMINOMETHYL-2-SELENOURIDINE/PROTON.87.,"{u'5-METHYLAMINOMETHYL-2-SELENOURIDINE[p]': -1, u'PROTON[c]': 1, u'5-METHYLAMINOMETHYL-2-SELENOURIDINE[c]': 1, u'PROTON[p]': -1}",0.0,"{u'PROTON[c]': 0.0, u'5-METHYLAMINOMETHYL-2-SELENOURIDINE[c]': 1.0994530320830703e-05, u'PROTON[p]': 9.335027643025821e-07}",{u'NUPG-MONOMER[i]': 0.0}
2,TRANS-RXN-108-5-METHYLAMINOMETHYL-2-SELENOURIDINE/PROTON//5-METHYLAMINOMETHYL-2-SELENOURIDINE/PROTON.87.,"{u'5-METHYLAMINOMETHYL-2-SELENOURIDINE[p]': -1, u'PROTON[c]': 1, u'5-METHYLAMINOMETHYL-2-SELENOURIDINE[c]': 1, u'PROTON[p]': -1}",0.0,"{u'PROTON[c]': 0.0, u'5-METHYLAMINOMETHYL-2-SELENOURIDINE[c]': 6.509816464878087e-06, u'PROTON[p]': 6.736072455419057e-07}",{u'NUPG-MONOMER[i]': 0.0}
0,TRANS-RXN0-266,"{u'PROTON[c]': 1, u'SPERMIDINE[p]': 1, u'SPERMIDINE[c]': -1, u'PROTON[p]': -1}",0.0,"{u'PROTON[c]': 0.0, u'SPERMIDINE[p]': 0.0, u'SPERMIDINE[c]': 2.9425685546841083e-05, u'PROTON[p]': 8.129924402836882e-07}",{u'YDGEF-CPLX[i]': 0.0}
1,TRANS-RXN0-266,"{u'PROTON[c]': 1, u'SPERMIDINE[p]': 1, u'SPERMIDINE[c]': -1, u'PROTON[p]': -1}",0.0,"{u'PROTON[c]': 0.0, u'SPERMIDINE[p]': 0.0, u'SPERMIDINE[c]': 2.956161492527429e-05, u'PROTON[p]': 9.335027643025821e-07}",{u'YDGEF-CPLX[i]': 0.0}
2,TRANS-RXN0-266,"{u'PROTON[c]': 1, u'SPERMIDINE[p]': 1, u'SPERMIDINE[c]': -1, u'PROTON[p]': -1}",0.0,"{u'PROTON[c]': 0.0, u'SPERMIDINE[p]': 0.0, u'SPERMIDINE[c]': 0.000592601609696652, u'PROTON[p]': 6.736072455419057e-07}",{u'YDGEF-CPLX[i]': 0.0}
0,TRANS-RXN0-264,"{u'CPD-763[p]': 1, u'CPD-763[c]': -1, u'PROTON[c]': 1, u'PROTON[p]': -1}",0.0,"{u'CPD-763[p]': 8.778832520543902e-09, u'CPD-763[c]': 1.5744968399888016e-07, u'PROTON[c]': 0.0, u'PROTON[p]': 8.129924402836882e-07}",{u'CPLX-7[i]': 0.008298197887502266}
1,TRANS-RXN0-264,"{u'CPD-763[p]': 1, u'CPD-763[c]': -1, u'PROTON[c]': 1, u'PROTON[p]': -1}",0.0,"{u'CPD-763[p]': 1.2263920980727106e-08, u'CPD-763[c]': 1.844585467637294e-07, u'PROTON[c]': 0.0, u'PROTON[p]': 9.335027643025821e-07}",{u'CPLX-7[i]': 0.00829923458166775}
2,TRANS-RXN0-264,"{u'CPD-763[p]': 1, u'CPD-763[c]': -1, u'PROTON[c]': 1, u'PROTON[p]': -1}",0.0,"{u'CPD-763[p]': 8.149716372691877e-09, u'CPD-763[c]': 1.3822177288486128e-07, u'PROTON[c]': 0.0, u'PROTON[p]': 6.736072455419057e-07}",{u'CPLX-7[i]': 0.008296874712879328}
0,TRANS-RXN0-269,"{u'VAL[c]': -1, u'VAL[p]': 1}",0.0,{u'VAL[c]': 0.0},{u'CPLX0-7684[i]': 0.0}
1,TRANS-RXN0-269,"{u'VAL[c]': -1, u'VAL[p]': 1}",0.0,{u'VAL[c]': 0.0},{u'CPLX0-7684[i]': 0.0}
