lambda_sec,lambda_eff,lambda_kin,lambda_div,obj_total,obj_homeo,obj_kin,obj_eff,obj_sec,obj_div,,,
1.58E-09,1.06243E-05,0.000674592,8.49E-10,0.019437068,6.03E-12,22.16325684,422.2224261,49.78219562,0.011990779,,,
1.13E-10,5.97E-10,1.35E-10,6.03E-10,5.59E-06,1.12E-12,911.1654678,9148.722856,11.63331565,0.012094183,,,
7.49E-06,7.39E-07,0.000662189,0.002130427,0.015233238,9.76E-12,22.04579679,433.6906433,40.97366065,0.003445436,,,
7.43E-07,3.86E-08,0.00060441,1.97E-08,0.013371726,2.78E-12,22.04554586,433.6717286,40.97213578,0.011914949,,,
7.50E-07,7.19069E-05,0.002759587,3.70E-07,0.073837048,0.019988296,12.29714117,276.6787691,24.81277373,0.01189151,,,
1.62E-10,2.87594E-05,0.000592633,3.15E-06,0.024757306,4.03E-12,24.01408864,365.992558,36.08975095,0.011982506,,,
1.34E-08,1.30E-06,0.005875992,2.85E-09,0.091259411,0.019302018,12.17970827,300.3233404,25.10124242,0.0119246,,,
1.61E-10,6.55E-06,0.000589853,0.000747184,0.015827527,2.07E-12,22.07243004,428.2239367,51.3604226,0.003507479,,,
6.09E-10,2.42E-09,0.000569205,3.25E-09,0.012549525,3.46E-12,22.04554586,433.8049261,52.96723129,0.011885995,,,
3.79E-10,1.08E-06,0.000567778,1.03E-07,0.012983507,2.72E-12,22.04554586,431.7836939,52.28338091,0.011930115,,,
2.61633E-05,2.36E-10,0.000551894,0.000430298,0.013299238,2.66E-11,22.04560653,249647.6989,40.97336422,0.003615019,,,
4.51E-06,6.79E-10,0.000551108,0.000183107,0.012338292,9.91E-12,22.04554724,5048.050471,40.9731002,0.003739104,,,
4.34E-09,4.12691E-05,0.000697916,6.14433E-05,0.031857548,5.85757E-05,24.01838652,364.3332673,39.5691391,0.004685475,,,
1.37E-06,3.22E-07,0.000549086,4.77981E-05,0.012301222,6.45E-12,22.04554586,433.6285133,40.98193806,0.003744619,,,
5.95E-10,6.24E-10,0.000535748,1.97878E-05,0.011814124,9.42E-12,22.04554586,5069.862885,50.70941262,0.003744619,,,
1.14E-08,1.85E-07,0.006489579,5.01E-08,0.09839767,0.019358621,12.17078173,299.9871774,25.05464805,0.011872208,,,
8.39E-09,9.37E-10,0.000531581,5.03E-09,0.011724163,3.43E-12,22.04554586,5069.431564,50.40962293,0.010912615,,,
4.29E-07,3.28E-10,0.000507099,8.55E-07,0.011278713,2.37E-11,22.04554586,249634.5136,40.97232501,0.004052075,,,
4.98E-09,2.12987E-05,0.000500113,4.04E-07,0.019798945,1.60E-12,23.84059794,369.7778089,37.35152424,0.011990779,,,
1.63E-09,4.32E-09,0.000493317,0.000110401,0.010877839,1.89E-12,22.04554586,439.963236,52.07438688,0.003744619,,,
6.99E-08,2.99248E-05,3.99E-09,8.15E-10,0.003511789,0.000132486,109.2814746,112.8919856,8.546377629,0.012314779,,,
4.99048E-05,3.49339E-05,2.756E-05,1.88154E-05,0.0074688,0.000138672,104.4029135,115.6251789,8.282109705,0.012089479,,,
5.25E-07,7.69E-09,0.000489326,0.000216863,0.0108131,6.91E-12,22.04555551,434.2222178,40.97313053,0.003717045,,,
1.44E-10,7.39991E-05,2.50324E-05,0.000122356,0.011222322,0.000132452,109.2007707,112.9167044,8.5479058,0.004719517,,,
3.27E-09,3.89E-06,0.000486299,5.92E-09,0.012400374,1.38E-12,22.07226184,428.2061814,51.3580636,0.011965962,,,
5.94E-09,1.66E-08,0.000483328,5.21E-06,0.010662661,6.78E-12,22.04554586,432.3946744,41.48206581,0.003744619,,,
0.000330106,1.02E-06,0.000442213,3.50E-08,0.019878786,4.75E-12,35.376079,278.0856049,11.96727389,0.012048685,,,
3.35E-07,3.55E-08,0.000429738,1.44207E-05,0.00950301,7.84E-12,22.04554586,433.687019,40.97309468,0.003744619,,,
2.53942E-05,7.67E-10,0.00042924,0.000502271,0.010508622,1.03E-11,22.07243004,5044.858897,40.50585539,0.003507479,,,
3.50E-06,4.06E-08,0.000416415,9.07E-06,0.009341341,7.20E-12,22.04554586,433.7002109,40.97280549,0.003812177,,,
2.40101E-05,1.04635E-05,0.000411338,3.68E-07,0.014480717,4.59E-12,23.82689628,370.3512225,33.51211687,0.011986642,,,
7.30E-06,1.66E-07,0.000411243,1.62E-10,0.009437156,1.73E-12,22.04554586,433.6706939,40.97213578,0.011988021,,,
5.54E-06,1.22E-09,0.000408587,5.77E-07,0.009234969,1.06E-11,22.04554586,448.6485912,40.97213578,0.004278186,,,
0.00088436,1.61E-08,0.00039021,8.27E-08,0.023390137,6.41E-12,39.02786996,254.7090393,9.223563131,0.004727394,,,
2.60642E-05,2.99E-09,0.000383254,0.000273129,0.00951734,6.06E-12,22.07230595,431.4824817,40.50567064,0.003649487,,,
1.80248E-05,1.11E-06,0.000375877,2.42E-07,0.009503816,4.73E-12,22.07226184,430.1241485,40.50460626,0.011938387,,,
1.57118E-05,1.35E-09,0.000360799,2.48E-08,0.008598371,7.90E-12,22.04554586,448.6440056,40.97213578,0.004289216,,,
1.81E-06,2.08E-09,0.000359935,4.15E-09,0.008009913,4.13E-12,22.04554586,446.5400178,40.97213578,0.011573025,,,
0.000169878,6.46E-10,3.09E-10,3.16E-08,0.001339794,1.37E-12,911.0652601,5538.403318,7.86408655,0.004739001,,,
3.35E-08,1.22E-08,0.000359423,1.37E-07,0.00793034,1.30E-11,22.04554586,432.5231271,41.45674753,0.004086543,,,
3.79E-06,4.52E-06,0.000358158,4.17E-08,0.009997228,7.27E-12,22.07226184,428.7801356,41.02804216,0.011939766,,,
4.13E-08,2.46E-08,0.000351414,6.54768E-05,0.007759709,5.60E-12,22.04554586,432.488705,41.50315748,0.003744619,,,
0.000608464,1.08403E-05,0.003127939,0.000122099,0.075237526,0.019358621,12.4617718,287.8855553,22.64382682,0.004214765,,,
3.01E-07,4.44E-08,0.000348885,3.73E-06,0.00772296,6.36E-12,22.04554586,433.6288725,40.9818512,0.003757028,,,
1.80E-09,1.42E-09,0.000336674,1.27E-07,0.007422881,5.03E-12,22.04554586,448.770768,42.38412967,0.003745998,,,
1.79E-10,6.69E-07,0.000335618,3.97968E-05,0.007688063,4.88E-12,22.04554586,431.7988265,52.28513916,0.003745998,,,
8.05E-09,2.19E-08,0.008759184,1.48394E-05,0.125938427,0.019530568,12.14736714,300.3299173,25.36018322,0.003562628,,,
