lambda_hom,lambda_sec,lambda_eff,lambda_kin,lambda_div,fraction_kinetic_target,obj_total,obj_homeo,obj_kin,obj_eff,obj_sec,obj_div,obj_hom_w,obj_kin_w,obj_eff_w,obj_sec_w,obj_div_w,toya_pearson_r_squared,toya_r_squared
0.816759272,8.62E-07,5.29E-07,3.45884E-05,0.000240834,1,0.000542453,8.97E-12,10.73041571,282.910711,24.52148359,0.001827994,7.33E-12,0.000371148,0.00014973,2.11355E-05,4.40E-07,0.688139811,-42.27164624
0.477928978,9.75675E-05,1.13E-07,0.008585146,1.73487E-05,1,0.093326163,0.004390925,10.35378362,280.875851,23.64627399,0.002224977,0.00209855,0.088888741,3.17271E-05,0.002307107,3.86E-08,0.697133931,-43.49302543
0.216346808,4.40E-07,3.65942E-05,2.19314E-05,8.0615E-05,1,0.00295632,0.000505105,79.60035406,30.06633384,1.942898714,0.002343936,0.000109278,0.001745744,0.001100254,8.55E-07,1.89E-07,0.770657462,0.610478589
0.003836331,2.44E-07,9.71E-07,0.00995923,3.5036E-05,1,0.073346198,3.883962855,5.835847036,327.3083328,30.71486695,0.001900854,0.014900169,0.058120542,0.000317921,7.50E-06,6.66E-08,0.650135605,-73.16263484
0.025128294,5.98514E-05,1.10E-06,0.001445208,0.006572574,1,0.016668011,0.012172282,10.15190081,272.4857217,23.03756574,0.001827994,0.000305869,0.014671607,0.00029969,0.001378831,1.20146E-05,0.691867697,-40.35037182
0.001353354,3.06E-07,2.99E-07,0.000772621,5.36026E-05,1,0.006960789,0.520586964,7.958551012,330.0913868,28.15648878,0.001876925,0.000704538,0.006148947,9.85868E-05,8.62E-06,1.01E-07,0.704484044,-88.54157331
0.002903143,4.3435E-05,1.19956E-05,0.000104556,0.000330514,1,0.003984706,0.034689059,18.4991812,142.4182031,5.543490006,0.001871863,0.000100707,0.001934207,0.001708391,0.000240781,6.19E-07,0.701114511,0.469156455
0.111981649,8.94E-06,6.92E-07,0.004012447,0.00172412,1,0.0423805,0.006600959,10.27750961,277.8320182,23.23752237,0.0018762,0.000739186,0.041237963,0.000192357,0.000207759,3.23E-06,0.619358722,-36.16302228
0.171508823,5.38E-06,3.39E-07,0.005372604,2.98905E-05,1,0.05654518,0.005060651,10.32191502,280.1126225,23.5515571,0.001912456,0.000867946,0.055455563,9.49647E-05,0.00012665,5.72E-08,0.697152549,-42.88043427
0.798967654,1.7948E-05,3.24E-06,0.001464374,0.000205335,1,0.016987466,3.06E-12,10.66334682,288.5085687,24.4029079,0.001897954,2.45E-12,0.015615127,0.000933966,0.000437983,3.90E-07,0.697438818,-49.16133882
0.009494587,1.5066E-05,1.7834E-05,0.001347925,0.000911684,1,0.01896934,0.029447155,10.16078117,261.0122459,22.3816786,0.001861698,0.000279589,0.013695971,0.004654881,0.000337202,1.70E-06,0.693557752,-32.2243752
0.012923469,2.15E-07,6.44E-07,0.000301623,0.004424469,1,0.003370751,0.00511822,10.32353218,275.915085,23.55847592,0.001827994,6.61452E-05,0.003113811,0.000177652,5.06E-06,8.09E-06,0.69506223,-42.97718139
0.02562521,9.96319E-05,1.46594E-05,1.712E-05,0.000916874,1,0.001964554,0.001442369,75.19786184,32.07474546,1.689447968,0.001835245,3.6961E-05,0.00128739,0.000470197,0.000168323,1.68E-06,0.781220594,0.589572892
0.00370181,6.69375E-05,2.43E-06,0.009933153,1.73881E-05,1,0.075176174,3.898941301,5.832850856,323.3934198,30.14713362,0.002229327,0.014433138,0.057938601,0.000786424,0.002017972,3.88E-08,0.704630403,-84.47156948
0.002453378,4.89526E-05,1.63E-06,1.11344E-05,9.21901E-05,1,0.000565294,0.007995102,23.80695645,128.9302103,1.444154783,0.001867875,1.9615E-05,0.000265076,0.000209736,7.06952E-05,1.72E-07,0.584929421,0.472170359
0.026737129,7.36E-06,1.20E-06,0.000306332,0.000112927,1,0.003786675,0.000334853,10.63695567,283.954467,24.29532223,0.001892878,8.95E-06,0.003258439,0.00034026,0.000178809,2.14E-07,0.694280021,-49.06989765
0.004794331,3.70E-06,2.73E-07,0.0001263,0.000146157,1,0.001490846,0.005453964,10.31756645,275.3270398,23.24971249,0.00183307,2.61481E-05,0.001303107,7.52648E-05,8.60581E-05,2.68E-07,0.694726857,-42.83998785
0.102197903,4.06E-06,9.95E-07,0.002130086,0.006681218,1,0.022889832,0.005021823,10.32353291,280.0183878,23.55848643,0.001828719,0.00051322,0.02199001,0.000278668,9.57157E-05,1.22181E-05,0.619117672,-37.47317948
0.020485933,1.11E-07,4.34265E-05,0.001611911,1.27971E-05,1,0.028271279,0.028025911,10.22135537,258.3319119,24.35810943,0.006279048,0.000574137,0.016475916,0.011218445,2.70E-06,8.04E-08,0.689753069,-29.76439571
0.314799902,3.15E-06,2.03E-07,0.00076586,8.06345E-05,1,0.008302084,2.54E-12,10.66334682,288.5700801,24.39448455,0.001893603,8.01E-13,0.008166626,5.84456E-05,7.686E-05,1.53E-07,0.697294019,-49.28872845
0.126123294,7.44E-06,7.49722E-05,1.67577E-05,0.00030017,1,0.003572395,0.001441999,80.22793217,27.10698218,1.770670915,0.002168565,0.00018187,0.001344439,0.002032269,1.31658E-05,6.51E-07,0.888165581,0.641011064
0.00865167,9.46E-06,2.10E-07,5.13509E-05,1.8163E-05,1,0.000834874,0.000331936,10.76457412,277.034291,23.34725469,0.002056752,2.87E-06,0.000552771,5.82134E-05,0.000220981,3.74E-08,0.696845942,-44.09881876
0.313891391,9.92E-07,1.22E-06,1.91635E-05,0.000282237,1,0.000557031,5.51E-12,14.6982043,213.3424803,14.84853498,0.001827994,1.73E-12,0.000281669,0.000260119,1.47266E-05,5.16E-07,0.641814072,-11.20953192
0.259593057,2.59E-06,6.59E-06,0.008648267,2.09598E-05,1,0.092476296,0.005787996,10.300946,277.0260632,24.16059358,0.002204674,0.001502524,0.089085331,0.001825741,6.26548E-05,4.62E-08,0.680269913,-37.76042339
0.014535673,8.11E-06,3.2623E-05,2.4174E-05,0.003260969,1,0.002766168,0.008459232,78.57678539,22.23022994,1.542364296,0.001830169,0.000122961,0.001899516,0.000725217,1.2506E-05,5.97E-06,0.828366656,0.464283167
0.007327981,1.93E-06,2.70E-07,0.0079722,6.46031E-05,1,0.067404959,0.520950812,7.958134835,330.5276179,28.20851312,0.001892878,0.003817517,0.063443841,8.91161E-05,5.43622E-05,1.22E-07,0.704337016,-88.92973682
0.11155435,7.69849E-05,2.65E-07,2.17839E-05,0.000370709,1,0.000739811,8.35E-13,24.82309549,150.5087386,2.058806281,0.001830169,9.32E-14,0.000540745,3.98904E-05,0.000158497,6.78E-07,0.716739063,0.600819763
0.002625775,1.30715E-05,7.68E-06,0.003860922,0.000716067,1,0.034945027,0.587376487,7.942081182,309.909123,27.44558062,0.001868224,0.001542318,0.030663756,0.002378859,0.000358756,1.34E-06,0.656566679,-53.86641261
