Time,T 600,Series1,Series2,Series3,Series4,Series5,Series6,Time_seconds,mean,ID
00:01:02,37.00,0.11,0.11,0.11,0.11,0.11,0.11,62.00,0.01,RM
00:06:02,37.00,0.11,0.11,0.11,0.11,0.11,0.11,362.00,0.01,RM
00:11:02,37.00,0.11,0.11,0.11,0.11,0.11,0.11,662.00,0.01,RM
00:16:02,37.00,0.11,0.11,0.11,0.11,0.11,0.11,962.00,0.010499999999999995,RM
00:21:02,37.00,0.11,0.11,0.11,0.11,0.11,0.11,1262.00,0.010166666666666671,RM
00:26:02,37.00,0.11,0.11,0.11,0.11,0.11,0.11,1562.00,0.011499999999999996,RM
00:31:02,37.00,0.11,0.11,0.11,0.11,0.11,0.11,1862.00,0.011666666666666672,RM
00:36:02,37.00,0.11,0.11,0.11,0.11,0.11,0.11,2162.00,0.011833333333333335,RM
00:41:02,37.00,0.11,0.11,0.11,0.11,0.11,0.11,2462.00,0.012333333333333335,RM
00:46:02,37.00,0.11,0.11,0.11,0.11,0.11,0.11,2762.00,0.011499999999999996,RM
00:51:02,37.00,0.11,0.11,0.11,0.11,0.11,0.11,3062.00,0.011999999999999997,RM
00:56:02,36.90,0.11,0.11,0.11,0.11,0.11,0.11,3362.00,0.012499999999999997,RM
01:01:02,37.00,0.11,0.11,0.11,0.11,0.11,0.11,3662.00,0.011999999999999997,RM
01:06:02,37.00,0.11,0.11,0.11,0.11,0.11,0.11,3962.00,0.012833333333333335,RM
01:11:02,37.00,0.11,0.11,0.11,0.12,0.11,0.11,4262.00,0.013333333333333336,RM
01:16:02,37.00,0.11,0.11,0.11,0.12,0.11,0.11,4562.00,0.012999999999999998,RM
01:21:02,37.00,0.11,0.11,0.11,0.12,0.11,0.11,4862.00,0.013499999999999998,RM
01:26:02,37.10,0.11,0.11,0.11,0.12,0.11,0.11,5162.00,0.013666666666666674,RM
01:31:02,37.10,0.11,0.11,0.11,0.12,0.11,0.11,5462.00,0.014333333333333337,RM
01:36:02,37.00,0.11,0.11,0.11,0.12,0.11,0.11,5762.00,0.014666666666666675,RM
01:41:02,37.00,0.11,0.11,0.11,0.12,0.11,0.11,6062.00,0.015166666666666676,RM
01:46:02,37.00,0.11,0.11,0.11,0.12,0.11,0.11,6362.00,0.015833333333333338,RM
01:51:02,37.10,0.11,0.11,0.11,0.12,0.11,0.11,6662.00,0.016666666666666677,RM
01:56:02,37.00,0.11,0.11,0.11,0.12,0.11,0.11,6962.00,0.017166666666666677,RM
02:01:02,37.00,0.11,0.11,0.12,0.12,0.12,0.11,7262.00,0.02,RM
